architecture,budget_multiplier,diagnostic_tier,mean_accuracy,passes_0_80_worst_seed,passes_0_90_worst_seed,predicate,seed_count,seed_variance,status,worst_seed_accuracy
baseline,2,easy,0.30092592592592593,False,False,ancestor_k,3,0.0002036179698216734,observed_complete_2x,0.2847222222222222
baseline,2,easy,0.22569444444444442,False,False,grandparent,3,0.0035686728395061713,observed_complete_2x,0.15625
baseline,2,easy,0.9444444444444445,True,False,isAncestor,3,0.0061728395061728366,observed_complete_2x,0.8333333333333334
baseline,2,easy,0.46527777777777785,False,False,parent,3,0.027512538580246906,observed_complete_2x,0.3229166666666667
baseline,2,easy,0.22222222222222224,False,False,root,3,0.0050154320987654336,observed_complete_2x,0.125
baseline,2,hard,0.06635802469135803,False,False,ancestor_k,3,6.191891479957324e-05,observed_complete_2x,0.05555555555555555
baseline,2,hard,0.09722222222222222,False,False,grandparent,3,0.0003134645061728394,observed_complete_2x,0.07291666666666667
baseline,2,hard,0.8996913580246915,False,False,isAncestor,3,0.015361844612101811,observed_complete_2x,0.7245370370370371
baseline,2,hard,0.22916666666666666,False,False,parent,3,0.0431857638888889,observed_complete_2x,0.052083333333333336
baseline,2,hard,0.08333333333333333,False,False,root,3,0.00012860082304526747,observed_complete_2x,0.06944444444444445
baseline,2,medium,0.1527777777777778,False,False,ancestor_k,3,0.0003858024691358023,observed_complete_2x,0.1388888888888889
baseline,2,medium,0.14814814814814814,False,False,grandparent,3,0.00030006858710562406,observed_complete_2x,0.125
baseline,2,medium,0.9351851851851851,True,False,isAncestor,3,0.004704646776406036,observed_complete_2x,0.8402777777777778
baseline,2,medium,0.3333333333333333,False,False,parent,3,0.05555555555555555,observed_complete_2x,0.16666666666666666
baseline,2,medium,0.09722222222222222,False,False,root,3,9.645061728395071e-05,observed_complete_2x,0.08333333333333333
depth8,2,easy,0.3101851851851852,False,False,ancestor_k,3,1.0716735253772215e-05,observed_complete_2x,0.3055555555555556
depth8,2,easy,0.23263888888888892,False,False,grandparent,3,0.0006751543209876548,observed_complete_2x,0.19791666666666666
depth8,2,easy,1.0,True,True,isAncestor,3,0.0,observed_complete_2x,1.0
depth8,2,easy,0.5104166666666667,False,False,parent,3,0.03305844907407408,observed_complete_2x,0.2604166666666667
depth8,2,easy,0.20833333333333334,False,False,root,3,0.0009002057613168726,observed_complete_2x,0.16666666666666666
depth8,2,hard,0.07407407407407407,False,False,ancestor_k,3,0.00011073959762231376,observed_complete_2x,0.06018518518518518
depth8,2,hard,0.09722222222222222,False,False,grandparent,3,0.00045814043209876535,observed_complete_2x,0.07291666666666667
depth8,2,hard,0.9969135802469135,True,True,isAncestor,3,4.762993446121061e-06,observed_complete_2x,0.9953703703703703
depth8,2,hard,0.28472222222222227,False,False,parent,3,0.027223186728395063,observed_complete_2x,0.052083333333333336
depth8,2,hard,0.05092592592592592,False,False,root,3,0.00017146776406035675,observed_complete_2x,0.041666666666666664
depth8,2,medium,0.14814814814814814,False,False,ancestor_k,3,0.0002036179698216734,observed_complete_2x,0.13194444444444445
depth8,2,medium,0.15277777777777776,False,False,grandparent,3,0.00012860082304526734,observed_complete_2x,0.1388888888888889
depth8,2,medium,0.9976851851851851,True,True,isAncestor,3,1.0716735253772215e-05,observed_complete_2x,0.9930555555555556
depth8,2,medium,0.4212962962962962,False,False,parent,3,0.022805212620027427,observed_complete_2x,0.20833333333333334
depth8,2,medium,0.05555555555555555,False,False,root,3,0.00038580246913580245,observed_complete_2x,0.041666666666666664
