architecture,budget_multiplier,diagnostic_tier,expected_seed_count,gate_status,mean_accuracy,observed_seed_count,predicate,status,worst_observed_seed_accuracy
baseline,2,easy,3,observed_fail,0.30092592592592593,3,ancestor_k,observed_partial_2x,0.2847222222222222
baseline,2,easy,3,observed_fail,0.22569444444444442,3,grandparent,observed_partial_2x,0.15625
baseline,2,easy,3,observed_pass,0.9444444444444445,3,isAncestor,observed_partial_2x,0.8333333333333334
baseline,2,easy,3,observed_fail,0.46527777777777785,3,parent,observed_partial_2x,0.3229166666666667
baseline,2,easy,3,observed_fail,0.22222222222222224,3,root,observed_partial_2x,0.125
baseline,2,hard,3,observed_fail,0.06635802469135803,3,ancestor_k,observed_partial_2x,0.05555555555555555
baseline,2,hard,3,observed_fail,0.09722222222222222,3,grandparent,observed_partial_2x,0.07291666666666667
baseline,2,hard,3,observed_fail,0.8996913580246915,3,isAncestor,observed_partial_2x,0.7245370370370371
baseline,2,hard,3,observed_fail,0.22916666666666666,3,parent,observed_partial_2x,0.052083333333333336
baseline,2,hard,3,observed_fail,0.08333333333333333,3,root,observed_partial_2x,0.06944444444444445
baseline,2,medium,3,observed_fail,0.1527777777777778,3,ancestor_k,observed_partial_2x,0.1388888888888889
baseline,2,medium,3,observed_fail,0.14814814814814814,3,grandparent,observed_partial_2x,0.125
baseline,2,medium,3,observed_pass,0.9351851851851851,3,isAncestor,observed_partial_2x,0.8402777777777778
baseline,2,medium,3,observed_fail,0.3333333333333333,3,parent,observed_partial_2x,0.16666666666666666
baseline,2,medium,3,observed_fail,0.09722222222222222,3,root,observed_partial_2x,0.08333333333333333
depth8,2,easy,3,not_evaluable_incomplete_seeds,0.3090277777777778,2,ancestor_k,observed_partial_2x,0.3055555555555556
depth8,2,easy,3,not_evaluable_incomplete_seeds,0.22916666666666669,2,grandparent,observed_partial_2x,0.19791666666666666
depth8,2,easy,3,not_evaluable_incomplete_seeds,1.0,2,isAncestor,observed_partial_2x,1.0
depth8,2,easy,3,not_evaluable_incomplete_seeds,0.6354166666666667,2,parent,observed_partial_2x,0.5833333333333334
depth8,2,easy,3,not_evaluable_incomplete_seeds,0.2013888888888889,2,root,observed_partial_2x,0.16666666666666666
depth8,2,hard,3,not_evaluable_incomplete_seeds,0.08101851851851852,2,ancestor_k,observed_partial_2x,0.0763888888888889
depth8,2,hard,3,not_evaluable_incomplete_seeds,0.08333333333333334,2,grandparent,observed_partial_2x,0.07291666666666667
depth8,2,hard,3,not_evaluable_incomplete_seeds,0.9976851851851851,2,isAncestor,observed_partial_2x,0.9953703703703703
depth8,2,hard,3,not_evaluable_incomplete_seeds,0.4010416666666667,2,parent,observed_partial_2x,0.3854166666666667
depth8,2,hard,3,not_evaluable_incomplete_seeds,0.05555555555555555,2,root,observed_partial_2x,0.041666666666666664
depth8,2,medium,3,not_evaluable_incomplete_seeds,0.1388888888888889,2,ancestor_k,observed_partial_2x,0.13194444444444445
depth8,2,medium,3,not_evaluable_incomplete_seeds,0.1597222222222222,2,grandparent,observed_partial_2x,0.1527777777777778
depth8,2,medium,3,not_evaluable_incomplete_seeds,0.9965277777777778,2,isAncestor,observed_partial_2x,0.9930555555555556
depth8,2,medium,3,not_evaluable_incomplete_seeds,0.5277777777777777,2,parent,observed_partial_2x,0.5138888888888888
depth8,2,medium,3,not_evaluable_incomplete_seeds,0.041666666666666664,2,root,observed_partial_2x,0.041666666666666664
