architecture,budget_multiplier,elapsed_seconds,ff_dimension,final_loss,head_dimension,heads,layers,model_seed,parameters,training_steps,width
baseline,1,282.57379031181335,128,1.137784719467163,16,4,4,11,158592,500,64
baseline,1,290.7902991771698,128,3.046109199523926,16,4,4,23,158592,500,64
baseline,1,293.02713084220886,128,3.1479361057281494,16,4,4,37,158592,500,64
depth8,1,557.1586890220642,128,1.5144119262695312,16,4,8,11,292480,500,64
depth8,1,570.3363361358643,128,2.853569507598877,16,4,8,23,292480,500,64
depth8,1,556.3027651309967,128,3.123922348022461,16,4,8,37,292480,500,64
width128,1,350.5112581253052,256,1.5674266815185547,32,4,4,11,579328,500,128
width128,1,369.1743440628052,256,3.3406314849853516,32,4,4,23,579328,500,128
width128,1,5610.774943113327,256,3.4387364387512207,32,4,4,37,579328,500,128
heads2,1,501.9583058357239,128,2.319953441619873,32,2,4,11,158592,500,64
heads2,1,200.86219596862793,128,3.646174192428589,32,2,4,23,158592,500,64
heads2,1,201.08150005340576,128,3.6793899536132812,32,2,4,37,158592,500,64
heads8,1,140.93312072753906,128,0.2476310431957245,8,8,4,11,158592,500,64
heads8,1,141.16106009483337,128,2.8704724311828613,8,8,4,23,158592,500,64
heads8,1,141.1610288619995,128,2.8837180137634277,8,8,4,37,158592,500,64
deep_narrow_match,1,323.67469787597656,96,1.891379475593567,12,4,12,11,246048,500,48
deep_narrow_match,1,307.38479495048523,96,2.2244133949279785,12,4,12,23,246048,500,48
deep_narrow_match,1,297.9972560405731,96,0.5640729665756226,12,4,12,37,246048,500,48
shallow_wide_match,1,329.95747208595276,192,5.1945085525512695,24,4,4,11,336192,500,96
shallow_wide_match,1,328.7029838562012,192,3.0382018089294434,24,4,4,23,336192,500,96
shallow_wide_match,1,330.72673201560974,192,3.7685980796813965,24,4,4,37,336192,500,96
