architecture,branching,budget_multiplier,diagnostic_tier,distractors,evaluation_axis,example_id,heads,label_mode,model_depth,model_seed,output_entropy,position_mode,predicate,required_path,sequence_length,target_margin,target_probability,target_rank,template_id,top1_correct,total_depth,tree_seed,width
baseline,2,1,easy,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree101:i0,4,arbitrary,4,11,3.074523448944092,aligned,parent,1,15,-0.06365394592285156,0.18312019109725952,2,0,0,2,101,64
baseline,2,1,easy,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree101:i1,4,arbitrary,4,11,3.530971050262451,aligned,parent,1,15,-1.6448144912719727,0.03668868914246559,4,1,0,2,101,64
baseline,2,1,easy,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree101:i2,4,arbitrary,4,11,3.171177387237549,aligned,parent,1,15,2.429001808166504,0.40228986740112305,1,2,1,2,101,64
baseline,2,1,easy,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree101:i3,4,arbitrary,4,11,2.716895580291748,aligned,parent,1,15,-2.051807403564453,0.0587739460170269,3,3,0,2,101,64
baseline,2,1,easy,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree211:i0,4,arbitrary,4,11,1.8084392547607422,aligned,parent,1,15,-4.629188060760498,0.006865025032311678,13,0,0,2,211,64
baseline,2,1,easy,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree211:i1,4,arbitrary,4,11,2.688400983810425,aligned,parent,1,15,2.3300552368164062,0.49668240547180176,1,1,1,2,211,64
baseline,2,1,easy,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree211:i2,4,arbitrary,4,11,1.507190227508545,aligned,parent,1,15,3.6009016036987305,0.7629997730255127,1,2,1,2,211,64
baseline,2,1,easy,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree211:i3,4,arbitrary,4,11,0.8549157381057739,aligned,parent,1,15,3.690614700317383,0.8698742389678955,1,3,1,2,211,64
baseline,2,1,easy,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree307:i0,4,arbitrary,4,11,3.5968098640441895,aligned,parent,1,15,1.4517316818237305,0.2640625238418579,1,0,1,2,307,64
baseline,2,1,easy,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree307:i1,4,arbitrary,4,11,3.437889575958252,aligned,parent,1,15,-2.0279459953308105,0.024201637133955956,7,1,0,2,307,64
baseline,2,1,easy,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree307:i2,4,arbitrary,4,11,3.8361892700195312,aligned,parent,1,15,0.7355890274047852,0.14716854691505432,1,2,1,2,307,64
baseline,2,1,easy,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree307:i3,4,arbitrary,4,11,1.8363584280014038,aligned,parent,1,15,-4.778597354888916,0.005867159925401211,13,3,0,2,307,64
baseline,2,1,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:paligned:tree101:i0,4,arbitrary,4,11,3.097013473510742,aligned,grandparent,2,15,-0.2465829849243164,0.15833544731140137,3,0,0,2,101,64
baseline,2,1,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t1:paligned:tree101:i1,4,arbitrary,4,11,3.532975673675537,aligned,grandparent,2,15,-0.06762027740478516,0.17494432628154755,2,1,0,2,101,64
baseline,2,1,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t2:paligned:tree101:i2,4,arbitrary,4,11,3.167146682739258,aligned,grandparent,2,15,-8.346120834350586,9.583738574292511e-05,138,2,0,2,101,64
baseline,2,1,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t3:paligned:tree101:i3,4,arbitrary,4,11,2.7179136276245117,aligned,grandparent,2,15,1.7888965606689453,0.4589565098285675,1,3,1,2,101,64
baseline,2,1,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:paligned:tree211:i0,4,arbitrary,4,11,1.826819658279419,aligned,grandparent,2,15,2.981128692626953,0.6999490857124329,1,0,1,2,211,64
baseline,2,1,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t1:paligned:tree211:i1,4,arbitrary,4,11,2.6761839389801025,aligned,grandparent,2,15,-4.621892929077148,0.004934261552989483,23,1,0,2,211,64
baseline,2,1,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t2:paligned:tree211:i2,4,arbitrary,4,11,1.519200086593628,aligned,grandparent,2,15,-5.816418170928955,0.002265015384182334,29,2,0,2,211,64
baseline,2,1,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t3:paligned:tree211:i3,4,arbitrary,4,11,0.8783174753189087,aligned,grandparent,2,15,-3.6420888900756836,0.022677971050143242,2,3,0,2,211,64
baseline,2,1,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:paligned:tree307:i0,4,arbitrary,4,11,3.7167351245880127,aligned,grandparent,2,15,-1.328901767730713,0.05802769213914871,3,0,0,2,307,64
baseline,2,1,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t1:paligned:tree307:i1,4,arbitrary,4,11,3.432328701019287,aligned,grandparent,2,15,0.1461024284362793,0.1827266812324524,1,1,1,2,307,64
baseline,2,1,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t2:paligned:tree307:i2,4,arbitrary,4,11,3.831759452819824,aligned,grandparent,2,15,-1.032796859741211,0.05226949602365494,3,2,0,2,307,64
baseline,2,1,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t3:paligned:tree307:i3,4,arbitrary,4,11,1.8491308689117432,aligned,grandparent,2,15,3.090651512145996,0.6959758996963501,1,3,1,2,307,64
baseline,2,1,easy,4,depth_path,test:root:D2:d2:b2:N4:t0:paligned:tree101:i0,4,arbitrary,4,11,3.0962631702423096,aligned,root,2,15,-0.24890804290771484,0.15873420238494873,3,0,0,2,101,64
baseline,2,1,easy,4,depth_path,test:root:D2:d2:b2:N4:t1:paligned:tree101:i1,4,arbitrary,4,11,3.5330986976623535,aligned,root,2,15,-0.08491897583007812,0.17326930165290833,2,1,0,2,101,64
baseline,2,1,easy,4,depth_path,test:root:D2:d2:b2:N4:t2:paligned:tree101:i2,4,arbitrary,4,11,3.1870226860046387,aligned,root,2,15,-8.309816360473633,9.82073979685083e-05,138,2,0,2,101,64
baseline,2,1,easy,4,depth_path,test:root:D2:d2:b2:N4:t3:paligned:tree101:i3,4,arbitrary,4,11,2.709249496459961,aligned,root,2,15,1.7788829803466797,0.46064823865890503,1,3,1,2,101,64
baseline,2,1,easy,4,depth_path,test:root:D2:d2:b2:N4:t0:paligned:tree211:i0,4,arbitrary,4,11,1.8345232009887695,aligned,root,2,15,3.0087409019470215,0.6986093521118164,1,0,1,2,211,64
baseline,2,1,easy,4,depth_path,test:root:D2:d2:b2:N4:t1:paligned:tree211:i1,4,arbitrary,4,11,2.746173143386841,aligned,root,2,15,-4.549742698669434,0.005121697671711445,23,1,0,2,211,64
baseline,2,1,easy,4,depth_path,test:root:D2:d2:b2:N4:t2:paligned:tree211:i2,4,arbitrary,4,11,1.5259281396865845,aligned,root,2,15,-5.809163570404053,0.0022774797398597,29,2,0,2,211,64
baseline,2,1,easy,4,depth_path,test:root:D2:d2:b2:N4:t3:paligned:tree211:i3,4,arbitrary,4,11,0.8581385016441345,aligned,root,2,15,-3.687546730041504,0.021762670949101448,2,3,0,2,211,64
