accuracy,architecture,budget_multiplier,diagnostic_tier,heads,layers,mean_margin,model_seed,n,predicate,width
0.2604166666666667,depth8,2,easy,4,8,-1.464959924419721,37,96,parent,64
0.23958333333333334,depth8,2,easy,4,8,-1.8977585285902023,37,96,grandparent,64
0.2222222222222222,depth8,2,easy,4,8,-2.352027505636215,37,72,root,64
0.3125,depth8,2,easy,4,8,-1.3418570309877396,37,144,ancestor_k,64
1.0,depth8,2,easy,4,8,9.498413893911573,37,144,isAncestor,64
0.20833333333333334,depth8,2,medium,4,8,-1.771831625037723,37,72,parent,64
0.1388888888888889,depth8,2,medium,4,8,-2.251239981916216,37,72,grandparent,64
0.16666666666666666,depth8,2,medium,4,8,-2.1582769221729703,37,144,ancestor_k,64
1.0,depth8,2,medium,4,8,9.320869968997108,37,144,isAncestor,64
0.052083333333333336,depth8,2,hard,4,8,-2.301823382576307,37,96,parent,64
0.125,depth8,2,hard,4,8,-2.8443696995576224,37,96,grandparent,64
0.08333333333333333,depth8,2,medium,4,8,-3.1576200127601624,37,48,root,64
0.041666666666666664,depth8,2,hard,4,8,-3.579401741425196,37,72,root,64
0.9953703703703703,depth8,2,hard,4,8,8.259465117145467,37,432,isAncestor,64
0.06018518518518518,depth8,2,hard,4,8,-3.165822296782776,37,432,ancestor_k,64
