architecture,branching,budget_multiplier,diagnostic_tier,distractors,evaluation_axis,example_id,heads,label_mode,model_depth,model_seed,output_entropy,position_mode,predicate,required_path,sequence_length,target_margin,target_probability,target_rank,template_id,top1_correct,total_depth,tree_seed,width
depth8,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree101:i0,4,arbitrary,8,37,3.440620183944702,aligned,parent,1,15,-0.5334057807922363,0.09783357381820679,3,0,0,2,101,64
depth8,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree101:i1,4,arbitrary,8,37,2.3522768020629883,aligned,parent,1,15,-1.4649152755737305,0.0917050838470459,3,1,0,2,101,64
depth8,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree101:i2,4,arbitrary,8,37,0.46094459295272827,aligned,parent,1,15,-7.083720684051514,0.0007864079670980573,20,2,0,2,101,64
depth8,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree101:i3,4,arbitrary,8,37,1.418205976486206,aligned,parent,1,15,-2.5902280807495117,0.051502346992492676,3,3,0,2,101,64
depth8,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree211:i0,4,arbitrary,8,37,2.3779687881469727,aligned,parent,1,15,0.6902074813842773,0.3583383560180664,1,0,1,2,211,64
depth8,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree211:i1,4,arbitrary,8,37,3.0288383960723877,aligned,parent,1,15,1.2225303649902344,0.31062963604927063,1,1,1,2,211,64
depth8,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree211:i2,4,arbitrary,8,37,1.878089427947998,aligned,parent,1,15,-1.3956375122070312,0.127500981092453,3,2,0,2,211,64
depth8,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree211:i3,4,arbitrary,8,37,2.7068281173706055,aligned,parent,1,15,-6.828140735626221,0.00035967325675301254,68,3,0,2,211,64
depth8,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree307:i0,4,arbitrary,8,37,1.5142561197280884,aligned,parent,1,15,0.19282817840576172,0.4667026102542877,1,0,1,2,307,64
depth8,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree307:i1,4,arbitrary,8,37,0.16140422224998474,aligned,parent,1,15,6.067420959472656,0.9810954928398132,1,1,1,2,307,64
depth8,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree307:i2,4,arbitrary,8,37,1.1028988361358643,aligned,parent,1,15,1.1967859268188477,0.69922935962677,1,2,1,2,307,64
depth8,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree307:i3,4,arbitrary,8,37,1.5698187351226807,aligned,parent,1,15,1.718907356262207,0.6535321474075317,1,3,1,2,307,64
depth8,2,2,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:paligned:tree101:i0,4,arbitrary,8,37,3.3898563385009766,aligned,grandparent,2,15,-0.5006570816040039,0.10631930083036423,3,0,0,2,101,64
depth8,2,2,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t1:paligned:tree101:i1,4,arbitrary,8,37,1.3774583339691162,aligned,grandparent,2,15,2.3280200958251953,0.7508907318115234,1,1,1,2,101,64
depth8,2,2,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t2:paligned:tree101:i2,4,arbitrary,8,37,0.4997275471687317,aligned,grandparent,2,15,4.86063289642334,0.9316007494926453,1,2,1,2,101,64
depth8,2,2,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t3:paligned:tree101:i3,4,arbitrary,8,37,2.1272764205932617,aligned,grandparent,2,15,1.0426750183105469,0.46896204352378845,1,3,1,2,101,64
depth8,2,2,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:paligned:tree211:i0,4,arbitrary,8,37,2.8004298210144043,aligned,grandparent,2,15,0.7826271057128906,0.31096598505973816,1,0,1,2,211,64
depth8,2,2,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t1:paligned:tree211:i1,4,arbitrary,8,37,3.321333646774292,aligned,grandparent,2,15,0.11664581298828125,0.1598058044910431,1,1,1,2,211,64
depth8,2,2,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t2:paligned:tree211:i2,4,arbitrary,8,37,1.613519310951233,aligned,grandparent,2,15,2.121295928955078,0.6729100346565247,1,2,1,2,211,64
depth8,2,2,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t3:paligned:tree211:i3,4,arbitrary,8,37,3.2311208248138428,aligned,grandparent,2,15,-0.15153121948242188,0.1543673574924469,2,3,0,2,211,64
depth8,2,2,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:paligned:tree307:i0,4,arbitrary,8,37,1.6651806831359863,aligned,grandparent,2,15,0.24341201782226562,0.45086613297462463,1,0,1,2,307,64
depth8,2,2,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t1:paligned:tree307:i1,4,arbitrary,8,37,0.5459989309310913,aligned,grandparent,2,15,-4.822991847991943,0.0074506900273263454,2,1,0,2,307,64
depth8,2,2,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t2:paligned:tree307:i2,4,arbitrary,8,37,0.9926722049713135,aligned,grandparent,2,15,1.8988933563232422,0.7900630235671997,1,2,1,2,307,64
depth8,2,2,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t3:paligned:tree307:i3,4,arbitrary,8,37,2.303150177001953,aligned,grandparent,2,15,-1.821756362915039,0.07816711068153381,2,3,0,2,307,64
depth8,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t0:paligned:tree101:i0,4,arbitrary,8,37,3.4646031856536865,aligned,root,2,15,-0.4374408721923828,0.11452475190162659,3,0,0,2,101,64
depth8,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t1:paligned:tree101:i1,4,arbitrary,8,37,1.451486587524414,aligned,root,2,15,2.2600440979003906,0.7344661355018616,1,1,1,2,101,64
depth8,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t2:paligned:tree101:i2,4,arbitrary,8,37,0.5729366540908813,aligned,root,2,15,4.48354434967041,0.9196774363517761,1,2,1,2,101,64
depth8,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t3:paligned:tree101:i3,4,arbitrary,8,37,1.9815409183502197,aligned,root,2,15,1.1573944091796875,0.49623990058898926,1,3,1,2,101,64
depth8,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t0:paligned:tree211:i0,4,arbitrary,8,37,2.8903403282165527,aligned,root,2,15,-0.2152109146118164,0.20385952293872833,2,0,0,2,211,64
depth8,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t1:paligned:tree211:i1,4,arbitrary,8,37,3.254304885864258,aligned,root,2,15,0.1944122314453125,0.19056491553783417,1,1,1,2,211,64
depth8,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t2:paligned:tree211:i2,4,arbitrary,8,37,1.6917335987091064,aligned,root,2,15,2.5222082138061523,0.6588426828384399,1,2,1,2,211,64
depth8,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t3:paligned:tree211:i3,4,arbitrary,8,37,2.8908534049987793,aligned,root,2,15,1.0349740982055664,0.33834898471832275,1,3,1,2,211,64
depth8,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t0:paligned:tree307:i0,4,arbitrary,8,37,1.6960902214050293,aligned,root,2,15,0.5121364593505859,0.5017273426055908,1,0,1,2,307,64
depth8,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t1:paligned:tree307:i1,4,arbitrary,8,37,0.942861795425415,aligned,root,2,15,-4.068195819854736,0.014753743074834347,2,1,0,2,307,64
depth8,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t2:paligned:tree307:i2,4,arbitrary,8,37,0.6628236770629883,aligned,root,2,15,3.024350166320801,0.8917596340179443,1,2,1,2,307,64
depth8,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t3:paligned:tree307:i3,4,arbitrary,8,37,2.0112767219543457,aligned,root,2,15,-2.159097671508789,0.05611610785126686,4,3,0,2,307,64
depth8,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t0:prandomized:tree101:i4,4,arbitrary,8,37,2.1399779319763184,randomized,parent,1,16,1.5494575500488281,0.5145927667617798,1,0,1,2,101,64
depth8,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t2:prandomized:tree211:i6,4,arbitrary,8,37,1.9964691400527954,randomized,parent,1,16,2.017314910888672,0.608279824256897,1,2,1,2,211,64
