architecture,branching,budget_multiplier,diagnostic_tier,distractors,evaluation_axis,example_id,heads,label_mode,model_depth,model_seed,output_entropy,position_mode,predicate,required_path,sequence_length,target_margin,target_probability,target_rank,template_id,top1_correct,total_depth,tree_seed,width
baseline,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree101:i0,4,arbitrary,4,11,2.086066722869873,aligned,parent,1,15,-3.6924686431884766,0.014125024899840355,9,0,0,2,101,64
baseline,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree101:i1,4,arbitrary,4,11,1.5015751123428345,aligned,parent,1,15,2.9831972122192383,0.7327756285667419,1,1,1,2,101,64
baseline,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree101:i2,4,arbitrary,4,11,2.0012195110321045,aligned,parent,1,15,2.851396083831787,0.6458196640014648,1,2,1,2,101,64
baseline,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree101:i3,4,arbitrary,4,11,0.4748668968677521,aligned,parent,1,15,2.9851951599121094,0.9179537296295166,1,3,1,2,101,64
baseline,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree211:i0,4,arbitrary,4,11,0.8908932209014893,aligned,parent,1,15,2.4731149673461914,0.8333451151847839,1,0,1,2,211,64
baseline,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree211:i1,4,arbitrary,4,11,1.0140318870544434,aligned,parent,1,15,3.0344433784484863,0.8337028622627258,1,1,1,2,211,64
baseline,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree211:i2,4,arbitrary,4,11,1.53025484085083,aligned,parent,1,15,2.2849812507629395,0.7289702892303467,1,2,1,2,211,64
baseline,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree211:i3,4,arbitrary,4,11,1.057826280593872,aligned,parent,1,15,0.5714836120605469,0.602020263671875,1,3,1,2,211,64
baseline,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree307:i0,4,arbitrary,4,11,4.3424787521362305,aligned,parent,1,15,-0.2600431442260742,0.05351250618696213,2,0,0,2,307,64
baseline,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree307:i1,4,arbitrary,4,11,3.071624279022217,aligned,parent,1,15,0.23052263259887695,0.20564746856689453,1,1,1,2,307,64
