architecture,budget_multiplier,elapsed_seconds,heads,loss,model_depth,model_seed,step,width
depth8,2,1.3677418231964111,4,39.42542266845703,8,37,1,64
depth8,2,99.75192189216614,4,5.875289440155029,8,37,100,64
depth8,2,217.72299313545227,4,0.9754477143287659,8,37,200,64
depth8,2,340.85280108451843,4,2.0260257720947266,8,37,300,64
depth8,2,460.59853410720825,4,4.595956325531006,8,37,400,64
depth8,2,563.2535669803619,4,3.2841501235961914,8,37,500,64
depth8,2,668.6507980823517,4,2.6153674125671387,8,37,600,64
depth8,2,777.3296370506287,4,3.2382631301879883,8,37,700,64
depth8,2,891.5128581523895,4,2.6293463706970215,8,37,800,64
depth8,2,1010.3704299926758,4,0.005897936411201954,8,37,900,64
depth8,2,1126.5783700942993,4,1.3598320484161377,8,37,1000,64
depth8,2,1.3677418231964111,4,39.42542266845703,8,37,1,64
depth8,2,99.75192189216614,4,5.875289440155029,8,37,100,64
depth8,2,217.72299313545227,4,0.9754477143287659,8,37,200,64
depth8,2,340.85280108451843,4,2.0260257720947266,8,37,300,64
depth8,2,460.59853410720825,4,4.595956325531006,8,37,400,64
depth8,2,563.2535669803619,4,3.2841501235961914,8,37,500,64
depth8,2,668.6507980823517,4,2.6153674125671387,8,37,600,64
depth8,2,777.3296370506287,4,3.2382631301879883,8,37,700,64
depth8,2,891.5128581523895,4,2.6293463706970215,8,37,800,64
depth8,2,1010.3704299926758,4,0.005897936411201954,8,37,900,64
depth8,2,1126.5783700942993,4,1.3598320484161377,8,37,1000,64
depth8,2,1.3677418231964111,4,39.42542266845703,8,37,1,64
depth8,2,99.75192189216614,4,5.875289440155029,8,37,100,64
depth8,2,217.72299313545227,4,0.9754477143287659,8,37,200,64
depth8,2,340.85280108451843,4,2.0260257720947266,8,37,300,64
depth8,2,460.59853410720825,4,4.595956325531006,8,37,400,64
depth8,2,563.2535669803619,4,3.2841501235961914,8,37,500,64
depth8,2,668.6507980823517,4,2.6153674125671387,8,37,600,64
depth8,2,777.3296370506287,4,3.2382631301879883,8,37,700,64
depth8,2,891.5128581523895,4,2.6293463706970215,8,37,800,64
depth8,2,1010.3704299926758,4,0.005897936411201954,8,37,900,64
depth8,2,1126.5783700942993,4,1.3598320484161377,8,37,1000,64
depth8,2,1.3677418231964111,4,39.42542266845703,8,37,1,64
depth8,2,99.75192189216614,4,5.875289440155029,8,37,100,64
depth8,2,217.72299313545227,4,0.9754477143287659,8,37,200,64
depth8,2,340.85280108451843,4,2.0260257720947266,8,37,300,64
depth8,2,460.59853410720825,4,4.595956325531006,8,37,400,64
depth8,2,563.2535669803619,4,3.2841501235961914,8,37,500,64
depth8,2,668.6507980823517,4,2.6153674125671387,8,37,600,64
depth8,2,777.3296370506287,4,3.2382631301879883,8,37,700,64
