evaluation_axis,examples,mechanism_status,predicate,task_type
branching,24,gated_pending_competence,ancestor_k,variable_hop
depth_path,330,gated_pending_competence,ancestor_k,variable_hop
distractors,30,gated_pending_competence,ancestor_k,variable_hop
branching,24,gated_pending_competence,grandparent,fixed_hop
depth_path,60,gated_pending_competence,grandparent,fixed_hop
distractors,30,gated_pending_competence,grandparent,fixed_hop
branching,24,gated_pending_competence,isAncestor,variable_hop
depth_path,330,gated_pending_competence,isAncestor,variable_hop
distractors,30,gated_pending_competence,isAncestor,variable_hop
branching,24,gated_pending_competence,parent,fixed_hop
depth_path,60,gated_pending_competence,parent,fixed_hop
distractors,30,gated_pending_competence,parent,fixed_hop
branching,24,gated_pending_competence,root,variable_hop
depth_path,60,gated_pending_competence,root,variable_hop
distractors,30,gated_pending_competence,root,variable_hop
branching,24,gated_pending_competence,sameAncestorAtLevel_k,variable_hop
depth_path,330,gated_pending_competence,sameAncestorAtLevel_k,variable_hop
distractors,30,gated_pending_competence,sameAncestorAtLevel_k,variable_hop
branching,24,gated_pending_competence,sameGrandparent,variable_hop
depth_path,60,gated_pending_competence,sameGrandparent,variable_hop
distractors,30,gated_pending_competence,sameGrandparent,variable_hop
branching,24,gated_pending_competence,sameParent,fixed_hop
depth_path,60,gated_pending_competence,sameParent,fixed_hop
distractors,30,gated_pending_competence,sameParent,fixed_hop
