architecture,branching,distractors,evaluation_axis,example_id,heads,layers,model_seed,position_mode,predicate,required_path,sequence_length,target_margin,target_rank,template_id,top1_correct,total_depth,tree_seed,width
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t0:paligned:tree101:i0,4,4,11,aligned,isAncestor,1,23,16.78605842590332,1,0,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t1:paligned:tree101:i1,4,4,11,aligned,isAncestor,1,23,11.126789093017578,1,1,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t2:paligned:tree101:i2,4,4,11,aligned,isAncestor,1,23,18.129249572753906,1,2,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t3:paligned:tree101:i3,4,4,11,aligned,isAncestor,1,23,16.241836547851562,1,3,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t0:paligned:tree211:i0,4,4,11,aligned,isAncestor,1,23,15.896492004394531,1,0,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t1:paligned:tree211:i1,4,4,11,aligned,isAncestor,1,23,13.659897804260254,1,1,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t2:paligned:tree211:i2,4,4,11,aligned,isAncestor,1,23,17.767040252685547,1,2,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t3:paligned:tree211:i3,4,4,11,aligned,isAncestor,1,23,13.142602920532227,1,3,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t0:paligned:tree307:i0,4,4,11,aligned,isAncestor,1,23,16.336406707763672,1,0,1,2,307,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t1:paligned:tree307:i1,4,4,11,aligned,isAncestor,1,23,15.355759620666504,1,1,1,2,307,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t2:paligned:tree307:i2,4,4,11,aligned,isAncestor,1,23,17.848962783813477,1,2,1,2,307,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t3:paligned:tree307:i3,4,4,11,aligned,isAncestor,1,23,16.569856643676758,1,3,1,2,307,64
