architecture,loss,model_seed,step
L2_W64_H4,52.09123992919922,11,1
L2_W64_H4,0.8361202478408813,11,50
L2_W64_H4,0.7448122501373291,11,100
L2_W64_H4,0.7063571214675903,11,150
L2_W64_H4,0.6991000771522522,11,200
L2_W64_H4,0.6911814212799072,11,250
L2_W64_H4,0.6942510604858398,11,300
L2_W64_H4,0.6956718564033508,11,350
L2_W64_H4,0.69818115234375,11,400
L2_W64_H4,0.6992738842964172,11,450
L2_W64_H4,0.6946392059326172,11,500
L2_W64_H4,0.6969762444496155,11,550
L2_W64_H4,0.6909946799278259,11,600
L2_W64_H4,0.6920398473739624,11,650
L2_W64_H4,0.6974655985832214,11,700
L2_W64_H4,0.6955133676528931,11,750
L2_W64_H4,0.6957952976226807,11,800
L2_W64_H4,0.691669762134552,11,850
L2_W64_H4,0.6926040053367615,11,900
L2_W64_H4,0.6953548789024353,11,950
L2_W64_H4,0.6921896934509277,11,1000
L2_W64_H4,0.6956234574317932,11,1050
L2_W64_H4,0.6978166103363037,11,1100
L2_W64_H4,0.6986127495765686,11,1150
L2_W64_H4,0.6935405135154724,11,1200
L2_W64_H4,46.167484283447266,23,1
L2_W64_H4,1.2512954473495483,23,50
L2_W64_H4,0.6836963295936584,23,100
L2_W64_H4,0.7027696967124939,23,150
L2_W64_H4,0.6846265196800232,23,200
L2_W64_H4,0.8156893253326416,23,250
L2_W64_H4,0.713081419467926,23,300
L2_W64_H4,0.7118602991104126,23,350
L2_W64_H4,0.696773111820221,23,400
L2_W64_H4,0.7051388621330261,23,450
L2_W64_H4,0.6927112340927124,23,500
L2_W64_H4,0.6996443867683411,23,550
L2_W64_H4,0.6945620775222778,23,600
L2_W64_H4,0.6923525333404541,23,650
L2_W64_H4,0.6981121897697449,23,700
L2_W64_H4,0.699362576007843,23,750
L2_W64_H4,0.6938525438308716,23,800
L2_W64_H4,0.6976295113563538,23,850
L2_W64_H4,0.6982669830322266,23,900
L2_W64_H4,0.694042444229126,23,950
L2_W64_H4,0.6899749040603638,23,1000
L2_W64_H4,0.6970846652984619,23,1050
L2_W64_H4,0.6935538649559021,23,1100
L2_W64_H4,0.690018892288208,23,1150
L2_W64_H4,0.6914874315261841,23,1200
L2_W64_H4,51.84516143798828,37,1
L2_W64_H4,0.7071727514266968,37,50
L2_W64_H4,0.7244090437889099,37,100
L2_W64_H4,0.6956193447113037,37,150
L2_W64_H4,0.7008728384971619,37,200
L2_W64_H4,0.7049459218978882,37,250
L2_W64_H4,0.7054263949394226,37,300
L2_W64_H4,0.6958475112915039,37,350
L2_W64_H4,0.6947330832481384,37,400
L2_W64_H4,0.7023249864578247,37,450
L2_W64_H4,0.6993718147277832,37,500
L2_W64_H4,0.6939099431037903,37,550
L2_W64_H4,0.6975494027137756,37,600
L2_W64_H4,0.6945515871047974,37,650
L2_W64_H4,0.6954900622367859,37,700
L2_W64_H4,0.6925634145736694,37,750
L2_W64_H4,0.700394332408905,37,800
L2_W64_H4,0.6972376108169556,37,850
L2_W64_H4,0.7107152342796326,37,900
L2_W64_H4,0.6921798586845398,37,950
L2_W64_H4,0.6835196018218994,37,1000
L2_W64_H4,0.6933566927909851,37,1050
L2_W64_H4,0.6932084560394287,37,1100
L2_W64_H4,0.6977410316467285,37,1150
L2_W64_H4,0.6946749091148376,37,1200
L4_W64_H4,49.490394592285156,11,1
L4_W64_H4,0.7452670931816101,11,50
L4_W64_H4,0.9114127159118652,11,100
L4_W64_H4,0.7469439506530762,11,150
L4_W64_H4,0.8307584524154663,11,200
L4_W64_H4,0.6949084997177124,11,250
L4_W64_H4,0.6946226358413696,11,300
L4_W64_H4,0.7011994123458862,11,350
L4_W64_H4,0.683486819267273,11,400
L4_W64_H4,0.6949332356452942,11,450
L4_W64_H4,0.6959428787231445,11,500
L4_W64_H4,0.6944152116775513,11,550
L4_W64_H4,0.6976322531700134,11,600
L4_W64_H4,0.6892101168632507,11,650
L4_W64_H4,0.6961466073989868,11,700
L4_W64_H4,0.6959222555160522,11,750
L4_W64_H4,0.6984004378318787,11,800
L4_W64_H4,0.7005556225776672,11,850
L4_W64_H4,0.6939415335655212,11,900
L4_W64_H4,0.6960129141807556,11,950
L4_W64_H4,0.6883172392845154,11,1000
L4_W64_H4,0.6969416737556458,11,1050
L4_W64_H4,0.6932728290557861,11,1100
L4_W64_H4,0.6930319666862488,11,1150
L4_W64_H4,0.694790244102478,11,1200
L4_W64_H4,43.78887176513672,23,1
L4_W64_H4,0.7190312743186951,23,50
L4_W64_H4,0.72097247838974,23,100
