accuracy,architecture,heads,layers,mean_margin,model_seed,n,position_mode,required_path,split,template_id,tree_seed,width
0.375,L2_W64_H4,4,2,-0.034212589263916016,11,16,aligned,1,test,0,101,64
0.5,L2_W64_H4,4,2,-0.02108907699584961,11,16,aligned,1,test,0,211,64
0.5,L2_W64_H4,4,2,-0.007601141929626465,11,16,aligned,1,test,0,307,64
0.4375,L2_W64_H4,4,2,-0.0322953462600708,11,16,randomized,1,test,0,101,64
0.5,L2_W64_H4,4,2,0.016779422760009766,11,16,randomized,1,test,0,211,64
0.6875,L2_W64_H4,4,2,0.03256714344024658,11,16,randomized,1,test,0,307,64
0.375,L2_W64_H4,4,2,-0.03916501998901367,11,16,aligned,1,test,1,101,64
0.5,L2_W64_H4,4,2,-0.030134201049804688,11,16,aligned,1,test,1,211,64
0.5,L2_W64_H4,4,2,-0.013413310050964355,11,16,aligned,1,test,1,307,64
0.4375,L2_W64_H4,4,2,-0.035279154777526855,11,16,randomized,1,test,1,101,64
0.5,L2_W64_H4,4,2,0.013564109802246094,11,16,randomized,1,test,1,211,64
0.6875,L2_W64_H4,4,2,0.03460228443145752,11,16,randomized,1,test,1,307,64
0.375,L2_W64_H4,4,2,-0.04124951362609863,11,16,aligned,1,test,2,101,64
0.5,L2_W64_H4,4,2,-0.017755866050720215,11,16,aligned,1,test,2,211,64
0.5,L2_W64_H4,4,2,-0.022231101989746094,11,16,aligned,1,test,2,307,64
0.5625,L2_W64_H4,4,2,0.021915197372436523,11,16,randomized,1,test,2,101,64
0.5,L2_W64_H4,4,2,0.00039374828338623047,11,16,randomized,1,test,2,211,64
0.5625,L2_W64_H4,4,2,0.009810209274291992,11,16,randomized,1,test,2,307,64
0.375,L2_W64_H4,4,2,-0.03400731086730957,11,16,aligned,1,test,3,101,64
0.5,L2_W64_H4,4,2,-0.02702510356903076,11,16,aligned,1,test,3,211,64
0.5,L2_W64_H4,4,2,-0.015963435173034668,11,16,aligned,1,test,3,307,64
0.5625,L2_W64_H4,4,2,0.018994808197021484,11,16,randomized,1,test,3,101,64
0.5,L2_W64_H4,4,2,0.0016311407089233398,11,16,randomized,1,test,3,211,64
0.625,L2_W64_H4,4,2,0.011080622673034668,11,16,randomized,1,test,3,307,64
0.5,L2_W64_H4,4,2,-0.0384289026260376,11,16,aligned,12,test,0,101,64
0.4375,L2_W64_H4,4,2,-0.033405423164367676,11,16,aligned,12,test,0,211,64
0.5625,L2_W64_H4,4,2,0.03219878673553467,11,16,aligned,12,test,0,307,64
0.4375,L2_W64_H4,4,2,-0.04740345478057861,11,16,randomized,12,test,0,101,64
0.3125,L2_W64_H4,4,2,-0.05690789222717285,11,16,randomized,12,test,0,211,64
0.625,L2_W64_H4,4,2,0.041874051094055176,11,16,randomized,12,test,0,307,64
0.5,L2_W64_H4,4,2,-0.03913247585296631,11,16,aligned,12,test,1,101,64
0.4375,L2_W64_H4,4,2,-0.0401684045791626,11,16,aligned,12,test,1,211,64
0.5625,L2_W64_H4,4,2,0.024706006050109863,11,16,aligned,12,test,1,307,64
0.4375,L2_W64_H4,4,2,-0.04490959644317627,11,16,randomized,12,test,1,101,64
0.25,L2_W64_H4,4,2,-0.0653984546661377,11,16,randomized,12,test,1,211,64
0.625,L2_W64_H4,4,2,0.041182756423950195,11,16,randomized,12,test,1,307,64
0.5,L2_W64_H4,4,2,-0.033274292945861816,11,16,aligned,12,test,2,101,64
0.4375,L2_W64_H4,4,2,-0.03904223442077637,11,16,aligned,12,test,2,211,64
0.5625,L2_W64_H4,4,2,0.021723270416259766,11,16,aligned,12,test,2,307,64
0.5,L2_W64_H4,4,2,-0.01766037940979004,11,16,randomized,12,test,2,101,64
0.375,L2_W64_H4,4,2,-0.025151371955871582,11,16,randomized,12,test,2,211,64
0.625,L2_W64_H4,4,2,0.021963119506835938,11,16,randomized,12,test,2,307,64
0.5,L2_W64_H4,4,2,-0.036562204360961914,11,16,aligned,12,test,3,101,64
0.4375,L2_W64_H4,4,2,-0.04312276840209961,11,16,aligned,12,test,3,211,64
0.5625,L2_W64_H4,4,2,0.023584485054016113,11,16,aligned,12,test,3,307,64
0.5,L2_W64_H4,4,2,-0.018398761749267578,11,16,randomized,12,test,3,101,64
0.375,L2_W64_H4,4,2,-0.024483084678649902,11,16,randomized,12,test,3,211,64
0.5625,L2_W64_H4,4,2,0.02149331569671631,11,16,randomized,12,test,3,307,64
0.5,L2_W64_H4,4,2,-0.01655292510986328,11,16,aligned,16,test,0,101,64
0.4375,L2_W64_H4,4,2,-0.02001190185546875,11,16,aligned,16,test,0,211,64
0.375,L2_W64_H4,4,2,-0.04096412658691406,11,16,aligned,16,test,0,307,64
0.5,L2_W64_H4,4,2,-0.0314791202545166,11,16,randomized,16,test,0,101,64
0.625,L2_W64_H4,4,2,0.020417094230651855,11,16,randomized,16,test,0,211,64
0.5625,L2_W64_H4,4,2,-0.020457029342651367,11,16,randomized,16,test,0,307,64
0.5,L2_W64_H4,4,2,-0.012297630310058594,11,16,aligned,16,test,1,101,64
0.5,L2_W64_H4,4,2,-0.02499830722808838,11,16,aligned,16,test,1,211,64
0.25,L2_W64_H4,4,2,-0.043730735778808594,11,16,aligned,16,test,1,307,64
0.5,L2_W64_H4,4,2,-0.02899169921875,11,16,randomized,16,test,1,101,64
0.625,L2_W64_H4,4,2,0.01968669891357422,11,16,randomized,16,test,1,211,64
0.5625,L2_W64_H4,4,2,-0.020466327667236328,11,16,randomized,16,test,1,307,64
0.4375,L2_W64_H4,4,2,-0.015806078910827637,11,16,aligned,16,test,2,101,64
0.5,L2_W64_H4,4,2,-0.01853311061859131,11,16,aligned,16,test,2,211,64
0.25,L2_W64_H4,4,2,-0.041794657707214355,11,16,aligned,16,test,2,307,64
0.5,L2_W64_H4,4,2,-0.006320595741271973,11,16,randomized,16,test,2,101,64
0.625,L2_W64_H4,4,2,0.045300841331481934,11,16,randomized,16,test,2,211,64
0.4375,L2_W64_H4,4,2,-0.01620030403137207,11,16,randomized,16,test,2,307,64
0.5,L2_W64_H4,4,2,-0.01919245719909668,11,16,aligned,16,test,3,101,64
0.5,L2_W64_H4,4,2,-0.019125938415527344,11,16,aligned,16,test,3,211,64
0.25,L2_W64_H4,4,2,-0.04426836967468262,11,16,aligned,16,test,3,307,64
0.5625,L2_W64_H4,4,2,-0.005360722541809082,11,16,randomized,16,test,3,101,64
