architecture,candidate_chain_first,example_id,heads,layers,model_seed,position_mode,positive,required_path,split,target_margin,template_id,top1_correct,total_depth,tree_seed,width
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10000,4,4,11,aligned,0,1,validation,0.1317920684814453,0,1,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10001,4,4,11,aligned,1,1,validation,-0.05065727233886719,0,0,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10002,4,4,11,aligned,0,1,validation,0.042633056640625,0,1,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10003,4,4,11,aligned,1,1,validation,-0.027341842651367188,0,0,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10004,4,4,11,aligned,0,1,validation,-0.08872795104980469,0,0,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10005,4,4,11,aligned,1,1,validation,-0.013120651245117188,0,0,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10006,4,4,11,aligned,0,1,validation,0.08617210388183594,0,1,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10007,4,4,11,aligned,1,1,validation,-0.08412933349609375,0,0,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10008,4,4,11,aligned,0,1,validation,0.013559341430664062,0,1,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10009,4,4,11,aligned,1,1,validation,-0.02188873291015625,0,0,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10010,4,4,11,aligned,0,1,validation,0.09475135803222656,0,1,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10011,4,4,11,aligned,1,1,validation,-0.13265419006347656,0,0,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10012,4,4,11,aligned,0,1,validation,0.06533241271972656,0,1,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree101:i10013,4,4,11,aligned,1,1,validation,0.01409149169921875,0,1,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10014,4,4,11,aligned,0,1,validation,0.08167648315429688,0,1,3,101,64
L4_W64_H4,1,validation:d1:t0:paligned:tree101:i10015,4,4,11,aligned,1,1,validation,0.0397186279296875,0,1,3,101,64
L4_W64_H4,0,validation:d1:t0:paligned:tree211:i10000,4,4,11,aligned,0,1,validation,0.05223655700683594,0,1,3,211,64
L4_W64_H4,0,validation:d1:t0:paligned:tree211:i10001,4,4,11,aligned,1,1,validation,-0.050777435302734375,0,0,3,211,64
L4_W64_H4,1,validation:d1:t0:paligned:tree211:i10002,4,4,11,aligned,0,1,validation,-0.0104217529296875,0,0,3,211,64
L4_W64_H4,1,validation:d1:t0:paligned:tree211:i10003,4,4,11,aligned,1,1,validation,0.020486831665039062,0,1,3,211,64
L4_W64_H4,0,validation:d1:t0:paligned:tree211:i10004,4,4,11,aligned,0,1,validation,-0.004993438720703125,0,0,3,211,64
