accuracy,competent,examples,model_seed,split,stage,worst_template_accuracy
1.0,1,768,11,test,F2,1.0
1.0,1,768,11,validation,F2,1.0
0.9166666666666666,0,768,23,test,F2,0.9010416666666666
0.9166666666666666,0,768,23,validation,F2,0.8697916666666666
0.9791666666666666,1,768,37,test,F2,0.9635416666666666
0.98828125,1,768,37,validation,F2,0.9739583333333334
0.9934895833333334,1,768,11,test,P2,0.96875
0.9986979166666666,1,768,11,validation,P2,0.9921875
1.0,1,768,23,test,P2,1.0
1.0,1,768,23,validation,P2,1.0
0.9986979166666666,1,768,37,test,P2,0.9921875
0.9986979166666666,1,768,37,validation,P2,0.9921875
