candidate,cell_id,condition,episodes,example_id,family,heads,layers,mappings,margin,minimality_axis,mlp_ratio,pairs,probability,rank,regime,seed,target,top1,vocabulary,width
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,0,sa_ff,2,2,fresh-random,9.654179573059082,reference,2,3,0.9999352693557739,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,0,sa_ff,2,2,fresh-random,-0.022057533264160156,reference,2,3,0.4766741096973419,2,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,0,sa_ff,2,2,fresh-random,-11.013017654418945,reference,2,3,1.6470326954731718e-05,3,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,0,sa_ff,2,2,fresh-random,-4.628876686096191,reference,2,3,0.009536965750157833,3,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,0,sa_ff,2,2,fresh-random,-10.568204879760742,reference,2,3,2.571680124674458e-05,3,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,1,sa_ff,2,2,fresh-random,-12.988982200622559,reference,2,3,2.2853544123790925e-06,3,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,1,sa_ff,2,2,fresh-random,-25.07192039489746,reference,2,3,1.2924184292217866e-11,7,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,1,sa_ff,2,2,fresh-random,-27.547866821289062,reference,2,3,1.0867044026793837e-12,7,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,1,sa_ff,2,2,fresh-random,-11.424537658691406,reference,2,3,9.413281077286229e-06,6,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,1,sa_ff,2,2,fresh-random,-27.518043518066406,reference,2,3,1.119562884240033e-12,7,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,2,sa_ff,2,2,fresh-random,-20.000736236572266,reference,2,3,2.0596317984455936e-09,5,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,2,sa_ff,2,2,fresh-random,-7.708114147186279,reference,2,3,0.00021888180344831198,5,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,2,sa_ff,2,2,fresh-random,-18.898395538330078,reference,2,3,6.20189677391636e-09,4,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,2,sa_ff,2,2,fresh-random,10.858243942260742,reference,2,3,0.9999805688858032,1,C2,11,4,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,2,sa_ff,2,2,fresh-random,-27.439889907836914,reference,2,3,1.2105137855641934e-12,7,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,3,sa_ff,2,2,fresh-random,11.620386123657227,reference,2,3,0.9999833106994629,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,3,sa_ff,2,2,fresh-random,1.9304132461547852,reference,2,3,0.8732946515083313,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,3,sa_ff,2,2,fresh-random,-11.259225845336914,reference,2,3,1.288766179641243e-05,2,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,3,sa_ff,2,2,fresh-random,10.870220184326172,reference,2,3,0.9999798536300659,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,3,sa_ff,2,2,fresh-random,-8.638825416564941,reference,2,3,0.00017706092330627143,2,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,4,sa_ff,2,2,fresh-random,16.176584243774414,reference,2,3,0.9999998807907104,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,4,sa_ff,2,2,fresh-random,7.010490894317627,reference,2,3,0.9990676045417786,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,4,sa_ff,2,2,fresh-random,-6.8217597007751465,reference,2,3,0.0010699041886255145,4,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,4,sa_ff,2,2,fresh-random,10.645245552062988,reference,2,3,0.9999603033065796,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,4,sa_ff,2,2,fresh-random,-11.659801483154297,reference,2,3,8.633937795821112e-06,2,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,5,sa_ff,2,2,fresh-random,-5.691544532775879,reference,2,3,0.003362664021551609,2,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,5,sa_ff,2,2,fresh-random,-21.16404151916504,reference,2,3,6.435372790214444e-10,5,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,5,sa_ff,2,2,fresh-random,3.513127326965332,reference,2,3,0.9707395434379578,1,C2,11,5,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,5,sa_ff,2,2,fresh-random,-5.735910892486572,reference,2,3,0.0032131425105035305,2,C2,11,5,0,4,32
