cell_id,condition,episodes,example_id,family,heads,layers,mappings,margin,mlp_ratio,pairs,probability,rank,regime,seed,target,top1,vocabulary,width
C2_sa_ff_L2_W64_H2_S11,correct,256,0,sa_ff,2,2,fresh-random,12.069960594177246,2,3,0.9999942779541016,1,C2,11,3,1,4,64
C2_sa_ff_L2_W64_H2_S11,none,256,0,sa_ff,2,2,fresh-random,-13.042044639587402,2,3,2.1672294678865e-06,3,C2,11,3,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_pairings,256,0,sa_ff,2,2,fresh-random,-2.437784194946289,2,3,0.08033531159162521,2,C2,11,3,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_order,256,0,sa_ff,2,2,fresh-random,13.71249771118164,2,3,0.999998927116394,1,C2,11,3,1,4,64
C2_sa_ff_L2_W64_H2_S11,wrong_query,256,0,sa_ff,2,2,fresh-random,-27.174203872680664,2,3,1.5790376818591856e-12,6,C2,11,3,0,4,64
C2_sa_ff_L2_W64_H2_S11,correct,256,1,sa_ff,2,2,fresh-random,11.626590728759766,2,3,0.9999887943267822,1,C2,11,4,1,4,64
C2_sa_ff_L2_W64_H2_S11,none,256,1,sa_ff,2,2,fresh-random,10.373250961303711,2,3,0.9999586343765259,1,C2,11,4,1,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_pairings,256,1,sa_ff,2,2,fresh-random,-9.826623916625977,2,3,5.3991814638720825e-05,2,C2,11,4,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_order,256,1,sa_ff,2,2,fresh-random,10.775553703308105,2,3,0.9999696016311646,1,C2,11,4,1,4,64
C2_sa_ff_L2_W64_H2_S11,wrong_query,256,1,sa_ff,2,2,fresh-random,-40.289222717285156,2,3,3.181237374205438e-18,7,C2,11,4,0,4,64
C2_sa_ff_L2_W64_H2_S11,correct,256,2,sa_ff,2,2,fresh-random,2.8431644439697266,2,3,0.9429133534431458,1,C2,11,4,1,4,64
C2_sa_ff_L2_W64_H2_S11,none,256,2,sa_ff,2,2,fresh-random,11.175581932067871,2,3,0.9999837875366211,1,C2,11,4,1,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_pairings,256,2,sa_ff,2,2,fresh-random,-31.389835357666016,2,3,2.3311395335227046e-14,4,C2,11,4,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_order,256,2,sa_ff,2,2,fresh-random,13.72816276550293,2,3,0.999998927116394,1,C2,11,4,1,4,64
C2_sa_ff_L2_W64_H2_S11,wrong_query,256,2,sa_ff,2,2,fresh-random,-39.30308532714844,2,3,8.528286709342144e-18,7,C2,11,4,0,4,64
C2_sa_ff_L2_W64_H2_S11,correct,256,3,sa_ff,2,2,fresh-random,16.89684295654297,2,3,1.0,1,C2,11,3,1,4,64
C2_sa_ff_L2_W64_H2_S11,none,256,3,sa_ff,2,2,fresh-random,15.278792381286621,2,3,0.9999997615814209,1,C2,11,3,1,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_pairings,256,3,sa_ff,2,2,fresh-random,-13.797137260437012,2,3,1.0185380006078049e-06,3,C2,11,3,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_order,256,3,sa_ff,2,2,fresh-random,15.15677547454834,2,3,0.9999996423721313,1,C2,11,3,1,4,64
C2_sa_ff_L2_W64_H2_S11,wrong_query,256,3,sa_ff,2,2,fresh-random,-52.51042175292969,2,3,1.566797033537799e-23,7,C2,11,3,0,4,64
C2_sa_ff_L2_W64_H2_S11,correct,256,4,sa_ff,2,2,fresh-random,17.018272399902344,2,3,1.0,1,C2,11,3,1,4,64
C2_sa_ff_L2_W64_H2_S11,none,256,4,sa_ff,2,2,fresh-random,0.7746810913085938,2,3,0.684532642364502,1,C2,11,3,1,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_pairings,256,4,sa_ff,2,2,fresh-random,-10.907428741455078,2,3,1.832078669394832e-05,3,C2,11,3,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_order,256,4,sa_ff,2,2,fresh-random,17.410995483398438,2,3,1.0,1,C2,11,3,1,4,64
C2_sa_ff_L2_W64_H2_S11,wrong_query,256,4,sa_ff,2,2,fresh-random,-14.352466583251953,2,3,5.845245141244959e-07,2,C2,11,3,0,4,64
C2_sa_ff_L2_W64_H2_S11,correct,256,5,sa_ff,2,2,fresh-random,9.104951858520508,2,3,0.9998884201049805,1,C2,11,5,1,4,64
C2_sa_ff_L2_W64_H2_S11,none,256,5,sa_ff,2,2,fresh-random,-18.33721160888672,2,3,1.087006840094773e-08,5,C2,11,5,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_pairings,256,5,sa_ff,2,2,fresh-random,-24.597524642944336,2,3,2.0769747033355657e-11,3,C2,11,5,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_order,256,5,sa_ff,2,2,fresh-random,10.310848236083984,2,3,0.9999630451202393,1,C2,11,5,1,4,64
C2_sa_ff_L2_W64_H2_S11,wrong_query,256,5,sa_ff,2,2,fresh-random,-33.97809982299805,2,3,1.7516979103606649e-15,7,C2,11,5,0,4,64
C2_sa_ff_L2_W64_H2_S11,correct,256,6,sa_ff,2,2,fresh-random,23.062618255615234,2,3,1.0,1,C2,11,5,1,4,64
C2_sa_ff_L2_W64_H2_S11,none,256,6,sa_ff,2,2,fresh-random,-19.262346267700195,2,3,2.9502800202863e-09,4,C2,11,5,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_pairings,256,6,sa_ff,2,2,fresh-random,-11.23074722290039,2,3,1.3173425941204187e-05,3,C2,11,5,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_order,256,6,sa_ff,2,2,fresh-random,23.062618255615234,2,3,1.0,1,C2,11,5,1,4,64
C2_sa_ff_L2_W64_H2_S11,wrong_query,256,6,sa_ff,2,2,fresh-random,-14.814192771911621,2,3,3.683643967633543e-07,2,C2,11,5,0,4,64
C2_sa_ff_L2_W64_H2_S11,correct,256,7,sa_ff,2,2,fresh-random,9.838069915771484,2,3,0.9999465942382812,1,C2,11,6,1,4,64
C2_sa_ff_L2_W64_H2_S11,none,256,7,sa_ff,2,2,fresh-random,-20.62837791442871,2,3,1.0995354626786025e-09,5,C2,11,6,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_pairings,256,7,sa_ff,2,2,fresh-random,-5.946043014526367,2,3,0.0026093448977917433,2,C2,11,6,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_order,256,7,sa_ff,2,2,fresh-random,11.948038101196289,2,3,0.9999935626983643,1,C2,11,6,1,4,64
C2_sa_ff_L2_W64_H2_S11,wrong_query,256,7,sa_ff,2,2,fresh-random,-17.056011199951172,2,3,3.914426827122952e-08,3,C2,11,6,0,4,64
C2_sa_ff_L2_W64_H2_S11,correct,256,8,sa_ff,2,2,fresh-random,13.34449577331543,2,3,0.9999984502792358,1,C2,11,5,1,4,64
C2_sa_ff_L2_W64_H2_S11,none,256,8,sa_ff,2,2,fresh-random,-17.64388084411621,2,3,2.174502533591749e-08,3,C2,11,5,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_pairings,256,8,sa_ff,2,2,fresh-random,-17.836835861206055,2,3,1.792917991849663e-08,3,C2,11,5,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_order,256,8,sa_ff,2,2,fresh-random,12.57819652557373,2,3,0.9999953508377075,1,C2,11,5,1,4,64
C2_sa_ff_L2_W64_H2_S11,wrong_query,256,8,sa_ff,2,2,fresh-random,-33.1092414855957,2,3,4.1767563088441605e-15,7,C2,11,5,0,4,64
C2_sa_ff_L2_W64_H2_S11,correct,256,9,sa_ff,2,2,fresh-random,4.48490047454834,2,3,0.9866042733192444,1,C2,11,4,1,4,64
C2_sa_ff_L2_W64_H2_S11,none,256,9,sa_ff,2,2,fresh-random,-0.7746810913085938,2,3,0.31546735763549805,2,C2,11,4,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_pairings,256,9,sa_ff,2,2,fresh-random,3.7087440490722656,2,3,0.9760646224021912,1,C2,11,4,1,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_order,256,9,sa_ff,2,2,fresh-random,9.912527084350586,2,3,0.9999254941940308,1,C2,11,4,1,4,64
C2_sa_ff_L2_W64_H2_S11,wrong_query,256,9,sa_ff,2,2,fresh-random,-15.07118034362793,2,3,2.848849476322357e-07,2,C2,11,4,0,4,64
C2_sa_ff_L2_W64_H2_S11,correct,256,10,sa_ff,2,2,fresh-random,9.080262184143066,2,3,0.999886155128479,1,C2,11,6,1,4,64
C2_sa_ff_L2_W64_H2_S11,none,256,10,sa_ff,2,2,fresh-random,-11.175581932067871,2,3,1.4011968232807703e-05,2,C2,11,6,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_pairings,256,10,sa_ff,2,2,fresh-random,-9.554584503173828,2,3,7.086256664479151e-05,3,C2,11,6,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_order,256,10,sa_ff,2,2,fresh-random,5.996801376342773,2,3,0.9975194334983826,1,C2,11,6,1,4,64
C2_sa_ff_L2_W64_H2_S11,wrong_query,256,10,sa_ff,2,2,fresh-random,-12.61678695678711,2,3,3.0444157346209977e-06,3,C2,11,6,0,4,64
C2_sa_ff_L2_W64_H2_S11,correct,256,11,sa_ff,2,2,fresh-random,20.05544090270996,2,3,1.0,1,C2,11,6,1,4,64
C2_sa_ff_L2_W64_H2_S11,none,256,11,sa_ff,2,2,fresh-random,-11.516838073730469,2,3,9.960531315300614e-06,3,C2,11,6,0,4,64
C2_sa_ff_L2_W64_H2_S11,shuffled_pairings,256,11,sa_ff,2,2,fresh-random,-19.425270080566406,2,3,3.6619203225285446e-09,5,C2,11,6,0,4,64
