heads,layers,loss,model_seed,stage,step,width
2,1,12.509700775146484,11,D4,1,16
2,1,0.9227386713027954,11,D4,51,16
2,1,0.1810908317565918,11,D4,101,16
2,1,0.01804538443684578,11,D4,151,16
2,1,0.005774098448455334,11,D4,201,16
2,1,0.005177444778382778,11,D4,251,16
2,1,0.0036055734381079674,11,D4,301,16
2,1,0.0035398267209529877,11,D4,351,16
2,1,0.00211005425080657,11,D4,400,16
2,1,12.008909225463867,23,D4,1,16
2,1,1.264170527458191,23,D4,51,16
2,1,0.9248182773590088,23,D4,101,16
2,1,0.04774627462029457,23,D4,151,16
2,1,0.006046835798770189,23,D4,201,16
2,1,0.003182664979249239,23,D4,251,16
2,1,0.0025005952920764685,23,D4,301,16
2,1,0.0017239341977983713,23,D4,351,16
2,1,12.246782302856445,37,D4,1,16
2,1,1.2423646450042725,37,D4,51,16
2,1,1.1907801628112793,37,D4,101,16
2,1,1.1071627140045166,37,D4,151,16
2,1,1.2198458909988403,37,D4,201,16
2,1,1.0793886184692383,37,D4,251,16
2,1,0.5514354109764099,37,D4,301,16
2,1,0.4600392282009125,37,D4,351,16
2,1,0.3955497443675995,37,D4,400,16
