condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
none,0,0,1,,6,-13.623405456542969,11,9.278178367821965e-07,119,D4,6,0,8
correct,0,0,1,20.32322120666504,6,6.69981575012207,11,0.9893701076507568,1,D4,6,1,8
shuffled,0,0,1,,6,-13.780779838562012,11,1.0233879947918467e-06,101,D4,6,0,8
wrong_chain,0,0,1,,6,-12.735153198242188,11,2.8753647711710073e-06,98,D4,6,0,8
irrelevant,0,0,1,,6,-11.413647651672363,11,1.0401554391137324e-05,48,D4,6,0,8
reversed,0,0,1,,6,6.831951141357422,11,0.9898378849029541,1,D4,6,1,8
none,1,0,1,,6,-13.623405456542969,11,9.278178367821965e-07,119,D4,6,0,8
correct,1,0,1,20.32322120666504,6,6.69981575012207,11,0.9893701076507568,1,D4,6,1,8
shuffled,1,0,1,,6,-13.780779838562012,11,1.0233879947918467e-06,101,D4,6,0,8
wrong_chain,1,0,1,,6,-12.735153198242188,11,2.8753647711710073e-06,98,D4,6,0,8
irrelevant,1,0,1,,6,-11.413647651672363,11,1.0401554391137324e-05,48,D4,6,0,8
reversed,1,0,1,,6,6.831951141357422,11,0.9898378849029541,1,D4,6,1,8
none,2,0,1,,6,-13.623405456542969,11,9.278178367821965e-07,119,D4,6,0,8
correct,2,0,1,20.32322120666504,6,6.69981575012207,11,0.9893701076507568,1,D4,6,1,8
shuffled,2,0,1,,6,-13.780779838562012,11,1.0233879947918467e-06,101,D4,6,0,8
wrong_chain,2,0,1,,6,-12.735153198242188,11,2.8753647711710073e-06,98,D4,6,0,8
irrelevant,2,0,1,,6,-11.413647651672363,11,1.0401554391137324e-05,48,D4,6,0,8
reversed,2,0,1,,6,6.831951141357422,11,0.9898378849029541,1,D4,6,1,8
none,3,0,1,,6,-13.623405456542969,11,9.278178367821965e-07,119,D4,6,0,8
correct,3,0,1,20.32322120666504,6,6.69981575012207,11,0.9893701076507568,1,D4,6,1,8
shuffled,3,0,1,,6,-8.885608673095703,11,0.00013768156350124627,9,D4,6,0,8
wrong_chain,3,0,1,,6,-12.735153198242188,11,2.8753647711710073e-06,98,D4,6,0,8
irrelevant,3,0,1,,6,-11.413647651672363,11,1.0401554391137324e-05,48,D4,6,0,8
reversed,3,0,1,,6,6.831951141357422,11,0.9898378849029541,1,D4,6,1,8
none,4,0,1,,6,-13.623405456542969,11,9.278178367821965e-07,119,D4,6,0,8
correct,4,0,1,20.32322120666504,6,6.69981575012207,11,0.9893701076507568,1,D4,6,1,8
