condition,episode_id,family,heads,layers,modulus,parameters,seed,split,target,target_margin,target_rank,top1,variant,width
correct,77a425e8255c7fd9,successor,1,1,5,,11,seen_parameter,0,-2.0976622104644775,7,0,sa_only,32
none,77a425e8255c7fd9,successor,1,1,5,,11,seen_parameter,0,-2.137338638305664,7,0,sa_only,32
shuffled,77a425e8255c7fd9,successor,1,1,5,,11,seen_parameter,0,-2.0388174057006836,7,0,sa_only,32
wrong_rule,77a425e8255c7fd9,successor,1,1,5,,11,seen_parameter,0,-2.00002384185791,7,0,sa_only,32
correct,dfdcf7e54acda161,successor,1,1,5,,11,seen_parameter,3,-2.5159244537353516,19,0,sa_only,32
none,dfdcf7e54acda161,successor,1,1,5,,11,seen_parameter,3,-2.0551199913024902,23,0,sa_only,32
shuffled,dfdcf7e54acda161,successor,1,1,5,,11,seen_parameter,3,-2.5189642906188965,19,0,sa_only,32
wrong_rule,dfdcf7e54acda161,successor,1,1,5,,11,seen_parameter,3,-2.699131488800049,19,0,sa_only,32
correct,28a2a509f749e5ed,successor,1,1,5,,11,seen_parameter,0,-2.0932345390319824,7,0,sa_only,32
none,28a2a509f749e5ed,successor,1,1,5,,11,seen_parameter,0,-2.137338638305664,7,0,sa_only,32
shuffled,28a2a509f749e5ed,successor,1,1,5,,11,seen_parameter,0,-2.008479118347168,7,0,sa_only,32
wrong_rule,28a2a509f749e5ed,successor,1,1,5,,11,seen_parameter,0,-2.0901365280151367,7,0,sa_only,32
correct,596f29a61cc16223,successor,1,1,5,,11,seen_parameter,3,-2.729184865951538,19,0,sa_only,32
none,596f29a61cc16223,successor,1,1,5,,11,seen_parameter,3,-2.0551199913024902,23,0,sa_only,32
shuffled,596f29a61cc16223,successor,1,1,5,,11,seen_parameter,3,-2.7597904205322266,19,0,sa_only,32
wrong_rule,596f29a61cc16223,successor,1,1,5,,11,seen_parameter,3,-2.7001895904541016,19,0,sa_only,32
correct,211294454c6aa4d7,add_n,1,1,5,4,11,seen_parameter,3,-2.302750587463379,10,0,sa_only,32
none,211294454c6aa4d7,add_n,1,1,5,4,11,seen_parameter,3,-2.221045970916748,9,0,sa_only,32
shuffled,211294454c6aa4d7,add_n,1,1,5,4,11,seen_parameter,3,-2.3836231231689453,9,0,sa_only,32
wrong_rule,211294454c6aa4d7,add_n,1,1,5,4,11,seen_parameter,3,-2.3346915245056152,8,0,sa_only,32
correct,02c31be29d04844d,add_n,1,1,5,4,11,seen_parameter,1,-1.868311882019043,7,0,sa_only,32
none,02c31be29d04844d,add_n,1,1,5,4,11,seen_parameter,1,-1.4202156066894531,13,0,sa_only,32
shuffled,02c31be29d04844d,add_n,1,1,5,4,11,seen_parameter,1,-1.9089558124542236,7,0,sa_only,32
wrong_rule,02c31be29d04844d,add_n,1,1,5,4,11,seen_parameter,1,-1.7688183784484863,7,0,sa_only,32
correct,3cee7c3c578d2fa0,add_n,1,1,5,4,11,seen_parameter,3,-2.25004506111145,10,0,sa_only,32
