architecture,competent,context_free_accuracy,context_free_mean_rank,correct_accuracy,heads,icl_margin_gain,layers,max_matched_control_accuracy,model_seed,selectivity,stage,width
L2_W16_H1,1,0.125,15.125,1.0,1,12.968062341213226,2,0.125,11,0.875,D4,16
L2_W16_H1,0,0.0,120.625,1.0,1,28.365646064281464,2,1.0,23,0.0,D4,16
L2_W16_H1,1,0.5,11.125,1.0,1,9.670121431350708,2,0.125,37,0.875,D4,16
L1_W16_H2,1,0.0,75.375,1.0,2,20.464608669281006,1,0.0,11,1.0,D4,16
L1_W16_H2,0,0.25,12.125,1.0,2,10.602016389369965,1,1.0,23,0.0,D4,16
L1_W16_H2,0,0.0,18.0,0.25,2,5.462170779705048,1,0.015625,37,0.234375,D4,16
L3_W8_H1,1,0.0,125.375,1.0,1,19.495176136493683,3,0.0,11,1.0,D4,8
L3_W8_H1,0,0.25,2.5,1.0,1,7.3552292585372925,3,1.0,23,0.0,D4,8
L3_W8_H1,0,0.125,3.125,1.0,1,9.594446957111359,3,0.875,37,0.125,D4,8
L6_W8_H1,1,0.0,119.625,1.0,1,20.700220346450806,6,0.0,11,1.0,D4,8
L6_W8_H1,0,0.0,3.25,1.0,1,10.655040442943573,6,0.875,23,0.125,D4,8
L6_W8_H1,1,0.0,93.5,1.0,1,17.243523955345154,6,0.25,37,0.75,D4,8
L1_W16_H1,1,0.0,26.5,1.0,1,18.369637846946716,1,0.0,11,1.0,D4,16
L1_W16_H1,0,0.0,25.5,0.25,1,5.648161709308624,1,0.25,23,0.0,D4,16
L1_W16_H1,0,0.125,5.375,0.25,1,2.25459486246109,1,0.25,37,0.0,D4,16
