competent,context_free_accuracy,context_free_mean_rank,correct_accuracy,heads,icl_margin_gain,layers,max_matched_control_accuracy,model_seed,selectivity,stage,width
0,0.25,17.875,0.34375,2,2.8395994305610657,2,0.25,11,0.09375,D0,32
0,0.25,17.375,0.421875,2,5.750211387872696,2,0.59375,23,-0.171875,D0,32
0,0.0,4.375,0.171875,2,1.0257384181022644,2,0.328125,37,-0.15625,D0,32
0,0.0,120.0,0.875,2,32.95699203014374,2,0.875,11,0.0,D1,32
1,0.625,16.75,0.875,2,9.097352981567383,2,0.625,23,0.25,D1,32
0,1.0,1.0,0.875,2,-3.2357946634292603,2,1.0,37,-0.125,D1,32
0,0.0,120.0,0.875,2,32.956990361213684,2,0.875,11,0.0,D2,32
1,0.625,16.75,0.875,2,9.097354292869568,2,0.625,23,0.25,D2,32
0,1.0,1.0,0.875,2,-3.2357962131500244,2,1.0,37,-0.125,D2,32
1,0.125,35.75,1.0,2,17.94669771194458,2,0.625,11,0.375,D3,32
0,1.0,1.0,1.0,2,0.8988224267959595,2,0.0,23,1.0,D3,32
0,0.875,1.125,1.0,2,4.346378326416016,2,1.0,37,0.0,D3,32
0,0.375,8.0,0.625,1,1.4932619035243988,1,0.625,11,0.0,D4,8
0,0.25,67.125,1.0,2,11.994716942310333,1,1.0,11,0.0,D4,8
1,0.0,26.5,1.0,1,18.36963790655136,1,0.0,11,1.0,D4,16
1,0.0,75.375,1.0,2,20.4646053314209,1,0.0,11,1.0,D4,16
0,0.125,2.25,0.875,1,2.889760375022888,1,0.25,11,0.625,D4,32
0,0.625,2.875,1.0,2,6.941163718700409,1,0.125,11,0.875,D4,32
0,0.0,2.375,0.0,1,1.3545048236846924,1,0.0,11,0.0,D4,64
0,0.375,1.875,1.0,2,8.861200332641602,1,1.0,11,0.0,D4,64
0,0.0,104.875,0.625,1,13.41705173254013,2,0.5,11,0.125,D4,8
0,0.0,103.0,1.0,2,17.877503514289856,2,1.0,11,0.0,D4,8
1,0.125,15.125,1.0,1,12.968062818050385,2,0.125,11,0.875,D4,16
1,0.375,4.125,1.0,2,9.436969757080078,2,0.25,11,0.75,D4,16
0,0.625,1.875,1.0,1,8.748174965381622,2,0.0,11,1.0,D4,32
1,0.5,9.625,1.0,2,9.161641955375671,2,0.25,11,0.75,D4,32
0,0.5,1.5,1.0,2,6.92993438243866,2,0.0,23,1.0,D4,32
0,0.0,28.125,1.0,2,20.57402539253235,2,1.0,37,0.0,D4,32
0,0.0,3.0,1.0,1,23.172756671905518,2,1.0,11,0.0,D4,64
0,1.0,1.0,1.0,2,2.036975622177124,2,1.0,11,0.0,D4,64
1,0.0,125.375,1.0,1,19.49517524242401,3,0.0,11,1.0,D4,8
0,0.0,101.25,1.0,2,18.482280015945435,3,0.875,11,0.125,D4,8
1,0.25,20.375,1.0,1,13.146117627620697,3,0.25,11,0.75,D4,16
1,0.25,6.625,1.0,2,11.175093591213226,3,0.25,11,0.75,D4,16
0,0.0,2.75,1.0,1,10.365275621414185,3,0.0,11,1.0,D4,32
0,0.875,1.375,1.0,2,5.739472210407257,3,0.0,11,1.0,D4,32
0,1.0,1.0,1.0,1,2.463379383087158,3,1.0,11,0.0,D4,64
0,1.0,1.0,1.0,2,4.678632736206055,3,1.0,11,0.0,D4,64
0,0.0,116.5,1.0,1,18.577549636363983,4,1.0,11,0.0,D4,8
1,0.0,102.625,1.0,2,18.431251108646393,4,0.625,11,0.375,D4,8
1,0.25,4.75,1.0,1,9.896491169929504,4,0.375,11,0.625,D4,16
0,0.5,1.875,1.0,2,8.178970634937286,4,0.375,11,0.625,D4,16
0,0.875,1.125,1.0,1,3.5777376890182495,4,1.0,11,0.0,D4,32
0,0.75,1.5,1.0,2,6.547794938087463,4,0.375,11,0.625,D4,32
0,0.25,2.0,1.0,1,17.78274917602539,4,1.0,11,0.0,D4,64
0,0.0,2.375,1.0,2,11.9186532497406,4,1.0,11,0.0,D4,64
1,0.0,119.625,1.0,1,20.70022141933441,6,0.0,11,1.0,D4,8
1,0.0,117.5,1.0,2,19.71337479352951,6,0.25,11,0.75,D4,8
0,0.25,2.375,1.0,1,8.065241754055023,6,0.125,11,0.875,D4,16
1,0.5,5.5,1.0,2,7.408383131027222,6,0.125,11,0.875,D4,16
0,1.0,1.0,1.0,1,2.4177721738815308,6,1.0,11,0.0,D4,32
0,1.0,1.0,1.0,2,2.292622685432434,6,1.0,11,0.0,D4,32
0,0.25,1.75,1.0,1,16.03975534439087,6,1.0,11,0.0,D4,64
0,0.125,2.0,1.0,2,15.95314908027649,6,1.0,11,0.0,D4,64
