condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
none,0,0,2,,2,-10.938499450683594,11,1.7738753740559332e-05,5,D0,6,0,32
correct,0,0,2,-1.5096607208251953,2,-12.448160171508789,11,3.9211809053085744e-06,5,D0,6,0,32
shuffled,0,0,2,,2,-2.156073570251465,11,0.09537191689014435,2,D0,6,0,32
wrong_chain,0,0,2,,2,-1.4032506942749023,11,0.1608288586139679,3,D0,6,0,32
irrelevant,0,0,2,,2,-0.9097461700439453,11,0.2767438292503357,2,D0,6,0,32
reversed,0,0,2,,2,-2.156073570251465,11,0.09537191689014435,2,D0,6,0,32
none,1,0,2,,2,-10.938499450683594,11,1.7738753740559332e-05,5,D0,6,0,32
correct,1,0,2,2.7961292266845703,2,-8.142370223999023,11,0.0002897040394600481,3,D0,6,0,32
shuffled,1,0,2,,2,0.3363790512084961,11,0.5159176588058472,1,D0,6,1,32
wrong_chain,1,0,2,,2,-0.3193244934082031,11,0.31486424803733826,2,D0,6,0,32
irrelevant,1,0,2,,2,-9.80020523071289,11,5.38449312443845e-05,3,D0,6,0,32
reversed,1,0,2,,2,0.3363790512084961,11,0.5159176588058472,1,D0,6,1,32
none,2,0,2,,2,-10.938499450683594,11,1.7738753740559332e-05,5,D0,6,0,32
correct,2,0,2,0.8094844818115234,2,-10.12901496887207,11,3.969258978031576e-05,4,D0,6,0,32
shuffled,2,0,2,,2,-2.879549980163574,11,0.04450510814785957,3,D0,6,0,32
wrong_chain,2,0,2,,2,-0.4912376403808594,11,0.2879742681980133,2,D0,6,0,32
irrelevant,2,0,2,,2,-7.964066505432129,11,0.0003357488021720201,3,D0,6,0,32
reversed,2,0,2,,2,-2.879549980163574,11,0.04450510814785957,3,D0,6,0,32
none,3,0,2,,2,-10.938499450683594,11,1.7738753740559332e-05,5,D0,6,0,32
correct,3,0,2,-2.194382667541504,2,-13.132882118225098,11,1.9779783997364575e-06,7,D0,6,0,32
shuffled,3,0,2,,2,-11.319955825805664,11,1.1312703463772777e-05,7,D0,6,0,32
wrong_chain,3,0,2,,2,-1.777735710144043,11,0.1154034361243248,3,D0,6,0,32
irrelevant,3,0,2,,2,-0.9150009155273438,11,0.2761703431606293,2,D0,6,0,32
reversed,3,0,2,,2,-11.319955825805664,11,1.1312703463772777e-05,7,D0,6,0,32
none,4,0,2,,2,-10.938499450683594,11,1.7738753740559332e-05,5,D0,6,0,32
correct,4,0,2,4.843812942504883,2,-6.094686508178711,11,0.002002603840082884,3,D0,6,0,32
shuffled,4,0,2,,2,-4.925567626953125,11,0.006637123879045248,3,D0,6,0,32
wrong_chain,4,0,2,,2,-8.36135482788086,11,0.00022662471747025847,3,D0,6,0,32
irrelevant,4,0,2,,2,-8.415191650390625,11,0.0002152828237740323,3,D0,6,0,32
reversed,4,0,2,,2,-4.925567626953125,11,0.006637123879045248,3,D0,6,0,32
none,5,0,2,,2,-10.938499450683594,11,1.7738753740559332e-05,5,D0,6,0,32
correct,5,0,2,6.544062614440918,2,-4.394436836242676,11,0.011888640932738781,3,D0,6,0,32
shuffled,5,0,2,,2,-3.014012336730957,11,0.041947461664676666,3,D0,6,0,32
wrong_chain,5,0,2,,2,-6.0861005783081055,11,0.002025212161242962,3,D0,6,0,32
irrelevant,5,0,2,,2,-12.690901756286621,11,3.0512219382217154e-06,7,D0,6,0,32
reversed,5,0,2,,2,-3.014012336730957,11,0.041947461664676666,3,D0,6,0,32
none,6,0,2,,2,-10.938499450683594,11,1.7738753740559332e-05,5,D0,6,0,32
correct,6,0,2,-4.398073196411133,2,-15.336572647094727,11,2.1795938209834276e-07,16,D0,6,0,32
shuffled,6,0,2,,2,-6.618565559387207,11,0.0013066378887742758,3,D0,6,0,32
wrong_chain,6,0,2,,2,-1.654585838317871,11,0.12729130685329437,3,D0,6,0,32
irrelevant,6,0,2,,2,-3.2136878967285156,11,0.03574840724468231,3,D0,6,0,32
reversed,6,0,2,,2,-6.618565559387207,11,0.0013066378887742758,3,D0,6,0,32
none,7,0,2,,2,-10.938499450683594,11,1.7738753740559332e-05,5,D0,6,0,32
correct,7,0,2,-1.5096607208251953,2,-12.448160171508789,11,3.9211809053085744e-06,5,D0,6,0,32
shuffled,7,0,2,,2,-2.156073570251465,11,0.09537191689014435,2,D0,6,0,32
wrong_chain,7,0,2,,2,-1.4032506942749023,11,0.1608288586139679,3,D0,6,0,32
irrelevant,7,0,2,,2,-0.9097461700439453,11,0.2767438292503357,2,D0,6,0,32
reversed,7,0,2,,2,-2.156073570251465,11,0.09537191689014435,2,D0,6,0,32
none,8,1,2,,2,-3.5314435958862305,11,0.024652423337101936,3,D0,6,0,32
correct,8,1,2,-2.6954174041748047,2,-6.226861000061035,11,0.0017714302521198988,3,D0,6,0,32
shuffled,8,1,2,,2,-4.988600730895996,11,0.006553496699780226,3,D0,6,0,32
wrong_chain,8,1,2,,2,-8.472466468811035,11,0.00015990660176612437,3,D0,6,0,32
irrelevant,8,1,2,,2,-6.711272239685059,11,0.0010174427879974246,3,D0,6,0,32
reversed,8,1,2,,2,-4.988600730895996,11,0.006553496699780226,3,D0,6,0,32
none,9,1,2,,2,-3.5314435958862305,11,0.024652423337101936,3,D0,6,0,32
correct,9,1,2,-0.8705015182495117,2,-4.401945114135742,11,0.009664369747042656,3,D0,6,0,32
shuffled,9,1,2,,2,-0.16388702392578125,11,0.3934151232242584,2,D0,6,0,32
wrong_chain,9,1,2,,2,-3.456265449523926,11,0.025672711431980133,3,D0,6,0,32
irrelevant,9,1,2,,2,-8.509034156799316,11,0.00015393666399177164,3,D0,6,0,32
reversed,9,1,2,,2,-0.16388702392578125,11,0.3934151232242584,2,D0,6,0,32
none,10,1,2,,2,-3.5314435958862305,11,0.024652423337101936,3,D0,6,0,32
correct,10,1,2,-5.513505935668945,2,-9.044949531555176,11,0.00011722199997166172,3,D0,6,0,32
shuffled,10,1,2,,2,-5.167323112487793,11,0.00322479079477489,3,D0,6,0,32
wrong_chain,10,1,2,,2,-4.801438331604004,11,0.00564756290987134,3,D0,6,0,32
irrelevant,10,1,2,,2,-6.680351257324219,11,0.0011736906599253416,3,D0,6,0,32
reversed,10,1,2,,2,-5.167323112487793,11,0.00322479079477489,3,D0,6,0,32
none,11,1,2,,2,-3.5314435958862305,11,0.024652423337101936,3,D0,6,0,32
correct,11,1,2,1.9307785034179688,2,-1.6006650924682617,11,0.09275300800800323,3,D0,6,0,32
shuffled,11,1,2,,2,-6.619549751281738,11,0.0008642373722977936,3,D0,6,0,32
wrong_chain,11,1,2,,2,2.677450180053711,11,0.9078399538993835,1,D0,6,1,32
irrelevant,11,1,2,,2,-6.151466369628906,11,0.0012856971006840467,3,D0,6,0,32
reversed,11,1,2,,2,-6.619549751281738,11,0.0008642373722977936,3,D0,6,0,32
none,12,1,2,,2,-3.5314435958862305,11,0.024652423337101936,3,D0,6,0,32
correct,12,1,2,-6.30587100982666,2,-9.83731460571289,11,5.266980952001177e-05,3,D0,6,0,32
shuffled,12,1,2,,2,1.3432645797729492,11,0.7090437412261963,1,D0,6,1,32
wrong_chain,12,1,2,,2,-8.594353675842285,11,0.00014895993808750063,3,D0,6,0,32
irrelevant,12,1,2,,2,-9.8634614944458,11,5.0616657972568646e-05,3,D0,6,0,32
reversed,12,1,2,,2,1.3432645797729492,11,0.7090437412261963,1,D0,6,1,32
none,13,1,2,,2,-3.5314435958862305,11,0.024652423337101936,3,D0,6,0,32
correct,13,1,2,5.439114570617676,2,1.9076709747314453,11,0.8146149516105652,1,D0,6,1,32
shuffled,13,1,2,,2,-6.514638900756836,11,0.0009629206033423543,3,D0,6,0,32
wrong_chain,13,1,2,,2,-0.20781230926513672,11,0.38707396388053894,2,D0,6,0,32
irrelevant,13,1,2,,2,-4.859609603881836,11,0.003876943839713931,3,D0,6,0,32
reversed,13,1,2,,2,-6.514638900756836,11,0.0009629206033423543,3,D0,6,0,32
none,14,1,2,,2,-3.5314435958862305,11,0.024652423337101936,3,D0,6,0,32
correct,14,1,2,2.322925567626953,2,-1.2085180282592773,11,0.14164455235004425,3,D0,6,0,32
shuffled,14,1,2,,2,-7.303990364074707,11,0.000662580190692097,3,D0,6,0,32
wrong_chain,14,1,2,,2,-1.4437456130981445,11,0.12156415730714798,3,D0,6,0,32
irrelevant,14,1,2,,2,-7.044109344482422,11,0.00046355827362276614,3,D0,6,0,32
reversed,14,1,2,,2,-7.303990364074707,11,0.000662580190692097,3,D0,6,0,32
none,15,1,2,,2,-3.5314435958862305,11,0.024652423337101936,3,D0,6,0,32
correct,15,1,2,-3.516554832458496,2,-7.047998428344727,11,0.000434717076132074,3,D0,6,0,32
shuffled,15,1,2,,2,-1.6672134399414062,11,0.14941683411598206,2,D0,6,0,32
wrong_chain,15,1,2,,2,-4.958090782165527,11,0.0069549791514873505,2,D0,6,0,32
irrelevant,15,1,2,,2,-4.362859725952148,11,0.012469381093978882,2,D0,6,0,32
reversed,15,1,2,,2,-1.6672134399414062,11,0.14941683411598206,2,D0,6,0,32
none,16,2,2,,2,1.2920351028442383,11,0.7823938727378845,1,D0,6,1,32
correct,16,2,2,-5.628844261169434,2,-4.336809158325195,11,0.01276052463799715,2,D0,6,0,32
shuffled,16,2,2,,2,-6.855457305908203,11,0.000824946619104594,3,D0,6,0,32
wrong_chain,16,2,2,,2,2.492694854736328,11,0.9189169406890869,1,D0,6,1,32
irrelevant,16,2,2,,2,7.186374664306641,11,0.9991139769554138,1,D0,6,1,32
