O0_generated_tokens_mean,O0_total_tokens_mean,O1_generated_tokens_mean,O1_total_tokens_mean,O2_generated_tokens_mean,O2_total_tokens_mean,O3_generated_tokens_mean,O3_total_tokens_mean,prompt_tokens_mean,proof_depth
1.0,11.0,2.0,12.0,7.0,17.0,7.0,17.0,10.0,1
1.0,15.0,3.0,17.0,9.0,23.0,9.0,23.0,14.0,2
1.0,19.0,4.0,22.0,11.0,29.0,11.0,29.0,18.0,3
1.0,23.0,5.0,27.0,13.0,35.0,13.0,35.0,22.0,4
1.0,31.0,7.0,37.0,17.0,47.0,17.0,47.0,30.0,6
1.0,39.0,9.0,47.0,21.0,59.0,21.0,59.0,38.0,8
1.0,55.0,13.0,67.0,29.0,83.0,29.0,83.0,54.0,12
1.0,71.0,17.0,87.0,37.0,107.0,37.0,107.0,70.0,16
1.0,103.0,25.0,127.0,53.0,155.0,53.0,155.0,102.0,24
1.0,135.0,33.0,167.0,69.0,203.0,69.0,203.0,134.0,32
1.0,263.0,65.0,327.0,133.0,395.0,133.0,395.0,262.0,64
