budget,condition,heads,layers,model_result,seed,status,width
1,O0,1,1,False,11,planned_accelerator,16
1,O1,1,1,False,11,planned_accelerator,16
1,O2,1,1,False,11,planned_accelerator,16
1,O3,1,1,False,11,planned_accelerator,16
1,O0,1,1,False,23,planned_accelerator,16
1,O1,1,1,False,23,planned_accelerator,16
1,O2,1,1,False,23,planned_accelerator,16
1,O3,1,1,False,23,planned_accelerator,16
1,O0,1,1,False,37,planned_accelerator,16
1,O1,1,1,False,37,planned_accelerator,16
1,O2,1,1,False,37,planned_accelerator,16
1,O3,1,1,False,37,planned_accelerator,16
2,O0,1,1,False,11,planned_accelerator,16
2,O1,1,1,False,11,planned_accelerator,16
2,O2,1,1,False,11,planned_accelerator,16
2,O3,1,1,False,11,planned_accelerator,16
2,O0,1,1,False,23,planned_accelerator,16
2,O1,1,1,False,23,planned_accelerator,16
2,O2,1,1,False,23,planned_accelerator,16
2,O3,1,1,False,23,planned_accelerator,16
2,O0,1,1,False,37,planned_accelerator,16
2,O1,1,1,False,37,planned_accelerator,16
2,O2,1,1,False,37,planned_accelerator,16
2,O3,1,1,False,37,planned_accelerator,16
4,O0,1,1,False,11,planned_accelerator,16
4,O1,1,1,False,11,planned_accelerator,16
4,O2,1,1,False,11,planned_accelerator,16
4,O3,1,1,False,11,planned_accelerator,16
4,O0,1,1,False,23,planned_accelerator,16
4,O1,1,1,False,23,planned_accelerator,16
4,O2,1,1,False,23,planned_accelerator,16
4,O3,1,1,False,23,planned_accelerator,16
4,O0,1,1,False,37,planned_accelerator,16
4,O1,1,1,False,37,planned_accelerator,16
4,O2,1,1,False,37,planned_accelerator,16
4,O3,1,1,False,37,planned_accelerator,16
1,O0,2,1,False,11,planned_accelerator,16
1,O1,2,1,False,11,planned_accelerator,16
1,O2,2,1,False,11,planned_accelerator,16
1,O3,2,1,False,11,planned_accelerator,16
1,O0,2,1,False,23,planned_accelerator,16
1,O1,2,1,False,23,planned_accelerator,16
1,O2,2,1,False,23,planned_accelerator,16
1,O3,2,1,False,23,planned_accelerator,16
1,O0,2,1,False,37,planned_accelerator,16
1,O1,2,1,False,37,planned_accelerator,16
1,O2,2,1,False,37,planned_accelerator,16
