condition,depth,mean_delayed_termination,mean_final_correct,mean_premature_termination,mean_termination_correct,mean_trajectory_exact,mean_transition_accuracy,min_delayed_termination,min_final_correct,min_premature_termination,min_termination_correct,min_trajectory_exact,min_transition_accuracy,seeds
baseline,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3
baseline,2,0.0,0.9895833333333334,0.0,1.0,0.9895833333333334,0.9947916666666666,0.0,0.984375,0.0,1.0,0.984375,0.9921875,3
baseline,3,0.0,0.9947916666666666,0.0,1.0,0.9895833333333334,0.9965277777777777,0.0,0.984375,0.0,1.0,0.96875,0.9895833333333333,3
baseline,4,0.84375,0.0,0.13541666666666666,0.020833333333333332,0.0,0.3046875,0.734375,0.0,0.046875,0.0,0.0,0.28125,3
baseline,5,0.8854166666666666,0.0,0.11458333333333333,0.0,0.0,0.2260416666666666,0.75,0.0,0.0,0.0,0.0,0.19999999999999998,3
baseline,6,0.7760416666666666,0.0,0.14583333333333334,0.078125,0.0,0.1831597222222222,0.5,0.0,0.0,0.0,0.0,0.17447916666666666,3
baseline,8,0.5364583333333334,0.005208333333333333,0.4635416666666667,0.0,0.0,0.10091145833333333,0.109375,0.0,0.09375,0.0,0.0,0.009765625,3
partial_starts,1,0.005208333333333333,1.0,0.0,0.9947916666666666,0.9947916666666666,1.0,0.0,1.0,0.0,0.984375,0.984375,1.0,3
partial_starts,2,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3
partial_starts,3,0.0,0.9947916666666666,0.0,1.0,0.9895833333333334,0.9965277777777778,0.0,0.984375,0.0,1.0,0.984375,0.9947916666666667,3
partial_starts,4,0.0,0.0,1.0,0.0,0.0,0.0078125,0.0,0.0,1.0,0.0,0.0,0.00390625,3
partial_starts,5,0.0,0.0,1.0,0.0,0.0,0.004166666666666667,0.0,0.0,1.0,0.0,0.0,0.0,3
partial_starts,6,0.0,0.0,1.0,0.0,0.0,0.003472222222222222,0.0,0.0,1.0,0.0,0.0,0.0026041666666666665,3
partial_starts,8,0.0,0.0,1.0,0.0,0.0,0.001953125,0.0,0.0,1.0,0.0,0.0,0.0,3
high_diversity,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3
high_diversity,2,0.0,0.9947916666666666,0.0,1.0,0.9947916666666666,0.9973958333333334,0.0,0.984375,0.0,1.0,0.984375,0.9921875,3
high_diversity,3,0.0,0.9895833333333334,0.0,1.0,0.9791666666666666,0.9930555555555557,0.0,0.984375,0.0,1.0,0.96875,0.9895833333333334,3
high_diversity,4,0.7708333333333334,0.0,0.18229166666666666,0.046875,0.0,0.3046875,0.46875,0.0,0.078125,0.0,0.0,0.25,3
high_diversity,5,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.21666666666666665,0.25,0.0,0.125,0.0,0.0,0.190625,3
high_diversity,6,0.6145833333333334,0.0,0.3072916666666667,0.078125,0.0,0.17361111111111108,0.203125,0.0,0.0625,0.0,0.0,0.16145833333333331,3
high_diversity,8,0.7291666666666666,0.005208333333333333,0.2708333333333333,0.0,0.0,0.10807291666666667,0.265625,0.0,0.015625,0.0,0.0,0.05859375,3
partial_diversity,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3
partial_diversity,2,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3
partial_diversity,3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3
partial_diversity,4,0.0,0.0,1.0,0.0,0.0,0.0026041666666666665,0.0,0.0,1.0,0.0,0.0,0.0,3
partial_diversity,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
partial_diversity,6,0.0,0.0,1.0,0.0,0.0,0.0008680555555555555,0.0,0.0,1.0,0.0,0.0,0.0,3
partial_diversity,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
