depth,examples,final_correct,forced_prefix_length,next_state_correct,remaining_trajectory_exact,seed,termination_correct
4,64,0.0,0,0.984375,0.0,11,0.03125
4,64,0.0,1,0.171875,0.0,11,0.03125
4,64,0.0,2,0.234375,0.0,11,0.015625
4,64,0.015625,3,0.015625,0.0,11,0.0625
4,64,0.0,0,1.0,0.0,23,0.046875
4,64,0.0,1,0.25,0.0,23,0.046875
4,64,0.0,2,0.046875,0.0,23,0.015625
4,64,0.0,3,0.0,0.0,23,0.046875
4,64,0.0,0,0.90625,0.0,37,0.0
4,64,0.0,1,0.015625,0.0,37,0.0
4,64,0.0,2,0.015625,0.0,37,0.0
4,64,0.0,3,0.0,0.0,37,0.0
