condition,delayed_termination,depth,final_correct,k_ar_seed,premature_termination,seed,termination_correct,trajectory_exact,transition_accuracy
baseline,0.0,1,1.0,3,0.0,11,1.0,1.0,1.0
baseline,0.0,2,1.0,3,0.0,11,1.0,1.0,1.0
baseline,0.0,3,0.984375,3,0.0,11,1.0,0.96875,0.9895833333333333
baseline,0.921875,4,0.0,3,0.046875,11,0.03125,0.0,0.34765625
baseline,0.75,5,0.0,3,0.25,11,0.0,0.0,0.25625
baseline,0.5,6,0.0,3,0.265625,11,0.234375,0.0,0.19010416666666666
baseline,0.59375,8,0.015625,3,0.40625,11,0.0,0.0,0.12109375
baseline,0.0,1,1.0,3,0.0,23,1.0,1.0,1.0
baseline,0.0,2,0.984375,3,0.0,23,1.0,0.984375,0.9921875
baseline,0.0,3,1.0,3,0.0,23,1.0,1.0,1.0
baseline,0.875,4,0.0,3,0.09375,23,0.03125,0.0,0.28515625
baseline,1.0,5,0.0,3,0.0,23,0.0,0.0,0.19999999999999998
baseline,1.0,6,0.0,3,0.0,23,0.0,0.0,0.18489583333333331
baseline,0.109375,8,0.0,3,0.890625,23,0.0,0.0,0.009765625
baseline,0.0,1,1.0,3,0.0,37,1.0,1.0,1.0
baseline,0.0,2,0.984375,3,0.0,37,1.0,0.984375,0.9921875
baseline,0.0,3,1.0,3,0.0,37,1.0,1.0,1.0
baseline,0.734375,4,0.0,3,0.265625,37,0.0,0.0,0.28125
baseline,0.90625,5,0.0,3,0.09375,37,0.0,0.0,0.221875
baseline,0.828125,6,0.0,3,0.171875,37,0.0,0.0,0.17447916666666666
baseline,0.90625,8,0.0,3,0.09375,37,0.0,0.0,0.171875
partial_starts,0.0,1,1.0,3,0.0,11,1.0,1.0,1.0
partial_starts,0.0,2,1.0,3,0.0,11,1.0,1.0,1.0
partial_starts,0.0,3,1.0,3,0.0,11,1.0,0.984375,0.9947916666666667
partial_starts,0.0,4,0.0,3,1.0,11,0.0,0.0,0.01171875
partial_starts,0.0,5,0.0,3,1.0,11,0.0,0.0,0.0
partial_starts,0.0,6,0.0,3,1.0,11,0.0,0.0,0.0026041666666666665
partial_starts,0.0,8,0.0,3,1.0,11,0.0,0.0,0.001953125
partial_starts,0.015625,1,1.0,3,0.0,23,0.984375,0.984375,1.0
partial_starts,0.0,2,1.0,3,0.0,23,1.0,1.0,1.0
partial_starts,0.0,3,1.0,3,0.0,23,1.0,1.0,1.0
partial_starts,0.0,4,0.0,3,1.0,23,0.0,0.0,0.0078125
partial_starts,0.0,5,0.0,3,1.0,23,0.0,0.0,0.0125
partial_starts,0.0,6,0.0,3,1.0,23,0.0,0.0,0.0026041666666666665
partial_starts,0.0,8,0.0,3,1.0,23,0.0,0.0,0.0
partial_starts,0.0,1,1.0,3,0.0,37,1.0,1.0,1.0
partial_starts,0.0,2,1.0,3,0.0,37,1.0,1.0,1.0
partial_starts,0.0,3,0.984375,3,0.0,37,1.0,0.984375,0.9947916666666667
partial_starts,0.0,4,0.0,3,1.0,37,0.0,0.0,0.00390625
partial_starts,0.0,5,0.0,3,1.0,37,0.0,0.0,0.0
partial_starts,0.0,6,0.0,3,1.0,37,0.0,0.0,0.005208333333333333
partial_starts,0.0,8,0.0,3,1.0,37,0.0,0.0,0.00390625
high_diversity,0.0,1,1.0,3,0.0,11,1.0,1.0,1.0
high_diversity,0.0,2,1.0,3,0.0,11,1.0,1.0,1.0
high_diversity,0.0,3,0.984375,3,0.0,11,1.0,0.984375,0.9947916666666666
high_diversity,0.921875,4,0.0,3,0.078125,11,0.0,0.0,0.3515625
high_diversity,0.875,5,0.0,3,0.125,11,0.0,0.0,0.253125
high_diversity,0.703125,6,0.0,3,0.109375,11,0.1875,0.0,0.19010416666666669
high_diversity,0.9375,8,0.0,3,0.0625,11,0.0,0.0,0.12109375
high_diversity,0.0,1,1.0,3,0.0,23,1.0,1.0,1.0
high_diversity,0.0,2,0.984375,3,0.0,23,1.0,0.984375,0.9921875
high_diversity,0.0,3,0.984375,3,0.0,23,1.0,0.96875,0.9895833333333334
high_diversity,0.46875,4,0.0,3,0.390625,23,0.140625,0.0,0.3125
high_diversity,0.25,5,0.0,3,0.75,23,0.0,0.0,0.20625
high_diversity,0.203125,6,0.0,3,0.75,23,0.046875,0.0,0.16927083333333331
high_diversity,0.265625,8,0.015625,3,0.734375,23,0.0,0.0,0.05859375
high_diversity,0.0,1,1.0,3,0.0,37,1.0,1.0,1.0
high_diversity,0.0,2,1.0,3,0.0,37,1.0,1.0,1.0
high_diversity,0.0,3,1.0,3,0.0,37,1.0,0.984375,0.9947916666666667
high_diversity,0.921875,4,0.0,3,0.078125,37,0.0,0.0,0.25
high_diversity,0.875,5,0.0,3,0.125,37,0.0,0.0,0.190625
high_diversity,0.9375,6,0.0,3,0.0625,37,0.0,0.0,0.16145833333333331
high_diversity,0.984375,8,0.0,3,0.015625,37,0.0,0.0,0.14453125
partial_diversity,0.0,1,1.0,3,0.0,11,1.0,1.0,1.0
partial_diversity,0.0,2,1.0,3,0.0,11,1.0,1.0,1.0
partial_diversity,0.0,3,1.0,3,0.0,11,1.0,1.0,1.0
partial_diversity,0.0,4,0.0,3,1.0,11,0.0,0.0,0.0
partial_diversity,0.0,5,0.0,3,1.0,11,0.0,0.0,0.0
partial_diversity,0.0,6,0.0,3,1.0,11,0.0,0.0,0.0026041666666666665
partial_diversity,0.0,8,0.0,3,1.0,11,0.0,0.0,0.0
partial_diversity,0.0,1,1.0,3,0.0,23,1.0,1.0,1.0
partial_diversity,0.0,2,1.0,3,0.0,23,1.0,1.0,1.0
partial_diversity,0.0,3,1.0,3,0.0,23,1.0,1.0,1.0
partial_diversity,0.0,4,0.0,3,1.0,23,0.0,0.0,0.0078125
partial_diversity,0.0,5,0.0,3,1.0,23,0.0,0.0,0.0
partial_diversity,0.0,6,0.0,3,1.0,23,0.0,0.0,0.0
partial_diversity,0.0,8,0.0,3,1.0,23,0.0,0.0,0.0
partial_diversity,0.0,1,1.0,3,0.0,37,1.0,1.0,1.0
partial_diversity,0.0,2,1.0,3,0.0,37,1.0,1.0,1.0
partial_diversity,0.0,3,1.0,3,0.0,37,1.0,1.0,1.0
partial_diversity,0.0,4,0.0,3,1.0,37,0.0,0.0,0.0
partial_diversity,0.0,5,0.0,3,1.0,37,0.0,0.0,0.0
partial_diversity,0.0,6,0.0,3,1.0,37,0.0,0.0,0.0
partial_diversity,0.0,8,0.0,3,1.0,37,0.0,0.0,0.0
