condition,depth,final_accuracy_best,final_accuracy_mean,final_accuracy_worst,seeds,termination_accuracy_best,termination_accuracy_mean,termination_accuracy_worst,three_seed_competent,trajectory_accuracy_best,trajectory_accuracy_mean,trajectory_accuracy_worst,transition_accuracy_best,transition_accuracy_mean,transition_accuracy_worst
O0,1,1.0,1.0,1.0,3,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
O0,2,1.0,1.0,1.0,3,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
O0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
O0,4,0.046875,0.020833333333333332,0.0,3,1.0,1.0,1.0,0,0.046875,0.020833333333333332,0.0,0.046875,0.020833333333333332,0.0
O0,6,0.015625,0.005208333333333333,0.0,3,1.0,1.0,1.0,0,0.015625,0.005208333333333333,0.0,0.015625,0.005208333333333333,0.0
O0,8,0.046875,0.020833333333333332,0.0,3,1.0,1.0,1.0,0,0.046875,0.020833333333333332,0.0,0.046875,0.020833333333333332,0.0
O1,1,1.0,1.0,1.0,3,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
O1,2,1.0,1.0,1.0,3,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
O1,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
O1,4,0.015625,0.010416666666666666,0.0,3,0.8125,0.7083333333333334,0.625,0,0.0,0.0,0.0,0.3203125,0.2916666666666667,0.234375
O1,6,0.015625,0.005208333333333333,0.0,3,0.78125,0.5104166666666666,0.21875,0,0.0,0.0,0.0,0.203125,0.1918402777777778,0.17447916666666666
O1,8,0.046875,0.041666666666666664,0.03125,3,0.78125,0.6145833333333334,0.34375,0,0.0,0.0,0.0,0.158203125,0.13151041666666666,0.099609375
O2,1,0.21875,0.125,0.015625,3,1.0,1.0,1.0,0,0.0,0.0,0.0,0.140625,0.06770833333333333,0.015625
O2,2,0.953125,0.3489583333333333,0.03125,3,1.0,1.0,1.0,0,0.0,0.0,0.0,0.1171875,0.041666666666666664,0.0
O2,3,0.34375,0.21354166666666666,0.0625,3,1.0,1.0,1.0,0,0.0,0.0,0.0,0.041666666666666664,0.024305555555555552,0.005208333333333333
O2,4,0.03125,0.010416666666666666,0.0,3,1.0,1.0,1.0,0,0.0,0.0,0.0,0.01171875,0.005208333333333333,0.0
O2,6,0.015625,0.005208333333333333,0.0,3,0.984375,0.5416666666666666,0.03125,0,0.0,0.0,0.0,0.0078125,0.003472222222222222,0.0
O2,8,0.0625,0.046875,0.015625,3,1.0,0.7083333333333334,0.171875,0,0.0,0.0,0.0,0.0078125,0.00390625,0.0
O3,1,1.0,1.0,1.0,3,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
O3,2,1.0,1.0,1.0,3,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
O3,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
O3,4,0.015625,0.005208333333333333,0.0,3,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
O3,6,0.0625,0.036458333333333336,0.0,3,0.578125,0.5260416666666666,0.453125,0,0.0,0.0,0.0,0.05989583333333333,0.041666666666666664,0.018229166666666664
O3,8,0.046875,0.03125,0.015625,3,0.671875,0.625,0.578125,0,0.0,0.0,0.0,0.0390625,0.020182291666666668,0.0
