competent,condition,final_accuracy,heads,layers,mlp_ratio,seed,termination_accuracy,trajectory_accuracy,transition_accuracy,updates,width
0,O0,0.5078125,4,2,2,11,1.0,0.5078125,0.5078125,1000,64
0,O0,0.5052083333333334,4,2,2,23,1.0,0.5052083333333334,0.5052083333333334,1000,64
0,O0,0.5104166666666666,4,2,2,37,1.0,0.5104166666666666,0.5104166666666666,1000,64
0,O1,0.5130208333333334,4,2,2,11,0.7604166666666666,0.5,0.6100260416666666,1000,64
0,O1,0.5078125,4,2,2,23,0.7604166666666666,0.5,0.6029730902777778,1000,64
0,O1,0.5078125,4,2,2,37,0.8958333333333334,0.5,0.594509548611111,1000,64
0,O2,0.09114583333333333,4,2,2,11,0.9973958333333334,0.0,0.012586805555555554,1000,64
0,O2,0.25,4,2,2,23,0.9270833333333334,0.0,0.04644097222222222,1000,64
0,O2,0.033854166666666664,4,2,2,37,0.7005208333333334,0.0,0.014105902777777776,1000,64
0,O3,0.5052083333333334,4,2,2,11,0.8541666666666666,0.5,0.509548611111111,1000,64
0,O3,0.5182291666666666,4,2,2,23,0.8619791666666666,0.5,0.5113932291666666,1000,64
0,O3,0.5130208333333334,4,2,2,37,0.859375,0.5,0.509982638888889,1000,64
