condition,loss,seed,step
O0,36.71787643432617,11,1
O0,5.19359827041626,11,50
O0,0.3227449357509613,11,100
O0,0.0001732973469188437,11,150
O0,9.35827920329757e-05,11,200
O0,0.0001557539071654901,11,250
O0,5.38747881364543e-05,11,300
O0,8.402772800764069e-05,11,350
O0,7.002458005445078e-05,11,400
O0,6.712745380355045e-05,11,450
O0,4.5422042603604496e-05,11,500
O0,4.4607895688386634e-05,11,550
O0,3.8126203435240313e-05,11,600
O0,4.20160467911046e-05,11,650
O0,0.0005951503408141434,11,700
O0,0.0007687562028877437,11,750
O0,2.0339066395536065e-05,11,800
O0,2.056159428320825e-05,11,850
O0,0.0011342683574184775,11,900
O0,0.002308008959516883,11,950
O0,2.7908665288123302e-05,11,1000
O0,37.372859954833984,23,1
O0,5.887349605560303,23,50
O0,0.22232460975646973,23,100
O0,0.2666417062282562,23,150
O0,0.16739504039287567,23,200
O0,8.578249980928376e-05,23,250
O0,4.209430699120276e-05,23,300
O0,0.0001435947051504627,23,350
O0,9.981831681216136e-05,23,400
O0,0.10314925760030746,23,450
O0,0.00021534010011237115,23,500
O0,0.3384875953197479,23,550
O0,0.2847382426261902,23,600
O0,8.780501229921356e-05,23,650
O0,4.200238618068397e-05,23,700
O0,0.00015263336536008865,23,750
O0,0.07200460880994797,23,800
O0,0.07967081665992737,23,850
O0,4.1548366425558925e-05,23,900
O0,0.0359388031065464,23,950
O0,0.0001259871496586129,23,1000
O0,42.23538589477539,37,1
O0,4.526430130004883,37,50
O0,0.504059910774231,37,100
O0,0.06415518373250961,37,150
O0,0.00014288020611274987,37,200
O0,0.00013124669203534722,37,250
O0,0.24449384212493896,37,300
O0,0.008638214319944382,37,350
O0,0.24877852201461792,37,400
O0,9.861237049335614e-05,37,450
O0,0.2721622884273529,37,500
O0,0.016009002923965454,37,550
O0,3.8478243368444964e-05,37,600
O0,0.06621825695037842,37,650
O0,0.0001190930197481066,37,700
O0,5.4085568990558386e-05,37,750
O0,0.0174949299544096,37,800
