condition,depth,examples,final_accuracy,seed,termination_accuracy,trajectory_accuracy,transition_accuracy
O0,1,64,1.0,11,1.0,1.0,1.0
O0,2,64,1.0,11,1.0,1.0,1.0
O0,3,64,1.0,11,1.0,1.0,1.0
O0,4,64,0.0,11,1.0,0.0,0.0
O0,6,64,0.0,11,1.0,0.0,0.0
O0,8,64,0.046875,11,1.0,0.046875,0.046875
O0,1,64,1.0,23,1.0,1.0,1.0
O0,2,64,1.0,23,1.0,1.0,1.0
O0,3,64,1.0,23,1.0,1.0,1.0
O0,4,64,0.015625,23,1.0,0.015625,0.015625
O0,6,64,0.0,23,1.0,0.0,0.0
O0,8,64,0.015625,23,1.0,0.015625,0.015625
O0,1,64,1.0,37,1.0,1.0,1.0
O0,2,64,1.0,37,1.0,1.0,1.0
O0,3,64,1.0,37,1.0,1.0,1.0
O0,4,64,0.046875,37,1.0,0.046875,0.046875
O0,6,64,0.015625,37,1.0,0.015625,0.015625
O0,8,64,0.0,37,1.0,0.0,0.0
O1,1,64,1.0,11,1.0,1.0,1.0
O1,2,64,1.0,11,1.0,1.0,1.0
O1,3,64,1.0,11,1.0,1.0,1.0
O1,4,64,0.015625,11,0.6875,0.0,0.3203125
O1,6,64,0.015625,11,0.53125,0.0,0.203125
O1,8,64,0.046875,11,0.34375,0.0,0.13671875
O1,1,64,1.0,23,1.0,1.0,1.0
O1,2,64,1.0,23,1.0,1.0,1.0
O1,3,64,1.0,23,1.0,1.0,1.0
O1,4,64,0.015625,23,0.625,0.0,0.3203125
O1,6,64,0.0,23,0.21875,0.0,0.19791666666666669
O1,8,64,0.03125,23,0.71875,0.0,0.099609375
O1,1,64,1.0,37,1.0,1.0,1.0
O1,2,64,1.0,37,1.0,1.0,1.0
O1,3,64,1.0,37,1.0,1.0,1.0
O1,4,64,0.0,37,0.8125,0.0,0.234375
O1,6,64,0.0,37,0.78125,0.0,0.17447916666666666
O1,8,64,0.046875,37,0.78125,0.0,0.158203125
O2,1,64,0.21875,11,1.0,0.0,0.046875
O2,2,64,0.0625,11,1.0,0.0,0.0
O2,3,64,0.234375,11,1.0,0.0,0.026041666666666664
O2,4,64,0.0,11,1.0,0.0,0.0
O2,6,64,0.015625,11,0.984375,0.0,0.0026041666666666665
O2,8,64,0.015625,11,1.0,0.0,0.0
O2,1,64,0.140625,23,1.0,0.0,0.140625
O2,2,64,0.953125,23,1.0,0.0,0.1171875
O2,3,64,0.34375,23,1.0,0.0,0.005208333333333333
O2,4,64,0.0,23,1.0,0.0,0.00390625
O2,6,64,0.0,23,0.609375,0.0,0.0078125
O2,8,64,0.0625,23,0.953125,0.0,0.00390625
O2,1,64,0.015625,37,1.0,0.0,0.015625
O2,2,64,0.03125,37,1.0,0.0,0.0078125
O2,3,64,0.0625,37,1.0,0.0,0.041666666666666664
O2,4,64,0.03125,37,1.0,0.0,0.01171875
O2,6,64,0.0,37,0.03125,0.0,0.0
O2,8,64,0.0625,37,0.171875,0.0,0.0078125
O3,1,64,1.0,11,1.0,1.0,1.0
O3,2,64,1.0,11,1.0,1.0,1.0
O3,3,64,1.0,11,1.0,1.0,1.0
O3,4,64,0.015625,11,1.0,0.0,0.0
O3,6,64,0.0,11,0.453125,0.0,0.018229166666666664
O3,8,64,0.015625,11,0.671875,0.0,0.0390625
O3,1,64,1.0,23,1.0,1.0,1.0
O3,2,64,1.0,23,1.0,1.0,1.0
O3,3,64,1.0,23,1.0,1.0,1.0
O3,4,64,0.0,23,1.0,0.0,0.0
O3,6,64,0.0625,23,0.546875,0.0,0.046875
O3,8,64,0.046875,23,0.625,0.0,0.021484375
O3,1,64,1.0,37,1.0,1.0,1.0
O3,2,64,1.0,37,1.0,1.0,1.0
O3,3,64,1.0,37,1.0,1.0,1.0
O3,4,64,0.0,37,1.0,0.0,0.0
O3,6,64,0.046875,37,0.578125,0.0,0.05989583333333333
O3,8,64,0.03125,37,0.578125,0.0,0.0
