condition,depth,seed,termination_accuracy,termination_error
O0,1,11,1.0,0.0
O0,2,11,1.0,0.0
O0,3,11,1.0,0.0
O0,4,11,1.0,0.0
O0,6,11,1.0,0.0
O0,8,11,1.0,0.0
O0,1,23,1.0,0.0
O0,2,23,1.0,0.0
O0,3,23,1.0,0.0
O0,4,23,1.0,0.0
O0,6,23,1.0,0.0
O0,8,23,1.0,0.0
O0,1,37,1.0,0.0
O0,2,37,1.0,0.0
O0,3,37,1.0,0.0
O0,4,37,1.0,0.0
O0,6,37,1.0,0.0
O0,8,37,1.0,0.0
O1,1,11,1.0,0.0
O1,2,11,1.0,0.0
O1,3,11,1.0,0.0
O1,4,11,0.6875,0.3125
O1,6,11,0.53125,0.46875
O1,8,11,0.34375,0.65625
O1,1,23,1.0,0.0
O1,2,23,1.0,0.0
O1,3,23,1.0,0.0
O1,4,23,0.625,0.375
O1,6,23,0.21875,0.78125
O1,8,23,0.71875,0.28125
O1,1,37,1.0,0.0
O1,2,37,1.0,0.0
O1,3,37,1.0,0.0
O1,4,37,0.8125,0.1875
O1,6,37,0.78125,0.21875
O1,8,37,0.78125,0.21875
O2,1,11,1.0,0.0
O2,2,11,1.0,0.0
O2,3,11,1.0,0.0
O2,4,11,1.0,0.0
O2,6,11,0.984375,0.015625
O2,8,11,1.0,0.0
O2,1,23,1.0,0.0
O2,2,23,1.0,0.0
O2,3,23,1.0,0.0
O2,4,23,1.0,0.0
O2,6,23,0.609375,0.390625
O2,8,23,0.953125,0.046875
O2,1,37,1.0,0.0
O2,2,37,1.0,0.0
O2,3,37,1.0,0.0
O2,4,37,1.0,0.0
O2,6,37,0.03125,0.96875
O2,8,37,0.171875,0.828125
O3,1,11,1.0,0.0
O3,2,11,1.0,0.0
O3,3,11,1.0,0.0
O3,4,11,1.0,0.0
O3,6,11,0.453125,0.546875
O3,8,11,0.671875,0.328125
O3,1,23,1.0,0.0
O3,2,23,1.0,0.0
O3,3,23,1.0,0.0
O3,4,23,1.0,0.0
O3,6,23,0.546875,0.453125
O3,8,23,0.625,0.375
O3,1,37,1.0,0.0
O3,2,37,1.0,0.0
O3,3,37,1.0,0.0
O3,4,37,1.0,0.0
O3,6,37,0.578125,0.421875
O3,8,37,0.578125,0.421875
