acquisition_probability,all_seed_gate,depth,machine,mean_execution_metric,mean_final_accuracy,seeds,worst_seed_final_accuracy
1.0,1,1,M3,1.0,1.0,3,1.0
1.0,1,2,M3,0.5,1.0,3,1.0
1.0,1,3,M3,0.3333333333333333,1.0,3,1.0
0.0,0,4,M3,0.07552083333333333,0.020833333333333332,3,0.0
0.0,0,6,M3,0.04513888888888889,0.005208333333333333,3,0.0
0.0,0,8,M3,0.048828125,0.015625,3,0.0
1.0,1,1,M4,1.0,1.0,3,1.0
1.0,1,2,M4,0.9973958333333334,0.9947916666666666,3,0.984375
1.0,1,3,M4,1.0,1.0,3,1.0
0.0,0,4,M4,0.0,0.0,3,0.0
0.0,0,6,M4,0.012152777777777776,0.0,3,0.0
0.0,0,8,M4,0.054036458333333336,0.0,3,0.0
