depth,exact_trajectory_accuracy,final_accuracy,invalid_call_rate,machine,n,nontermination_rate,one_call_edge_coverage,per_transition_accuracy,post_tool_answer_accuracy,seed,seed_pass,selected_edge_validity,termination_accuracy,termination_precision,termination_recall
1,,1.0,0.0,M3,64,0.0,1.0,,1.0,11,1,1.0,,,
2,,1.0,0.0,M3,64,0.0,0.5,,1.0,11,1,1.0,,,
3,,1.0,0.0,M3,64,0.0,0.3333333333333333,,1.0,11,1,1.0,,,
4,,0.03125,0.546875,M3,64,0.0,0.11328125,,0.03125,11,0,0.453125,,,
6,,0.0,0.890625,M3,64,0.0,0.018229166666666664,,0.0,11,0,0.109375,,,
8,,0.015625,0.25,M3,64,0.0,0.09375,,0.015625,11,0,0.75,,,
1,,1.0,0.0,M3,64,0.0,1.0,,1.0,23,1,1.0,,,
2,,1.0,0.0,M3,64,0.0,0.5,,1.0,23,1,1.0,,,
3,,1.0,0.0,M3,64,0.0,0.3333333333333333,,1.0,23,1,1.0,,,
4,,0.0,0.6875,M3,64,0.0,0.078125,,0.0,23,0,0.3125,,,
6,,0.0,0.625,M3,64,0.0,0.0625,,0.0,23,0,0.375,,,
8,,0.03125,0.671875,M3,64,0.0,0.041015625,,0.03125,23,0,0.328125,,,
1,,1.0,0.0,M3,64,0.0,1.0,,1.0,37,1,1.0,,,
2,,1.0,0.0,M3,64,0.0,0.5,,1.0,37,1,1.0,,,
3,,1.0,0.0,M3,64,0.0,0.3333333333333333,,1.0,37,1,1.0,,,
4,,0.03125,0.859375,M3,64,0.0,0.03515625,,0.03125,37,0,0.140625,,,
6,,0.015625,0.671875,M3,64,0.0,0.0546875,,0.015625,37,0,0.328125,,,
8,,0.0,0.90625,M3,64,0.0,0.01171875,,0.0,37,0,0.09375,,,
1,1.0,1.0,0.0,M4,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
2,0.984375,0.984375,0.015625,M4,64,0.0,,0.9921875,,11,1,,0.984375,1.0,0.984375
3,1.0,1.0,0.0,M4,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
4,0.0,0.0,1.0,M4,64,0.0,,0.0,,11,0,,0.0,0.0,0.0
6,0.0,0.0,1.0,M4,64,0.0,,0.015625,,11,0,,0.0,0.0,0.0
8,0.0,0.0,1.0,M4,64,0.0,,0.115234375,,11,0,,0.0,0.0,0.0
1,1.0,1.0,0.0,M4,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
2,1.0,1.0,0.0,M4,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
3,1.0,1.0,0.0,M4,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
4,0.0,0.0,1.0,M4,64,0.0,,0.0,,23,0,,0.0,0.0,0.0
6,0.0,0.0,1.0,M4,64,0.0,,0.013020833333333332,,23,0,,0.0,0.0,0.0
8,0.0,0.0,0.984375,M4,64,0.0,,0.001953125,,23,0,,0.0,0.0,0.0
1,1.0,1.0,0.0,M4,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
2,1.0,1.0,0.0,M4,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
3,1.0,1.0,0.0,M4,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
4,0.0,0.0,1.0,M4,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
6,0.0,0.0,1.0,M4,64,0.0,,0.0078125,,37,0,,0.0,0.0,0.0
8,0.0,0.0,0.984375,M4,64,0.0,,0.044921875,,37,0,,0.0,0.0,0.0
