condition,contiguous_frontier,gate_complete,machine,stage
budget_2000,1,1,M3,A
budget_2000,3,1,M4,A
budget_4000,1,1,M3,A
budget_4000,3,1,M4,A
deep_full,1,1,M3,B
deep_full,3,1,M4,B
deep_matched,1,1,M3,B
deep_matched,3,1,M4,B
shallow_matched,0,1,M3,B
shallow_matched,3,1,M4,B
eight_heads,1,1,M3,C
eight_heads,3,1,M4,C
narrow,1,1,M3,C
narrow,3,1,M4,C
one_head,0,1,M3,C
one_head,0,1,M4,C
wide,1,1,M3,C
wide,3,1,M4,C
diversity_24k,1,1,M3,D
diversity_24k,2,1,M4,D
diversity_48k,1,1,M3,D
diversity_48k,1,1,M4,D
diversity_96k,1,1,M3,D
diversity_96k,2,1,M4,D
train_kmax3,1,1,M3,E
train_kmax3,2,1,M4,E
train_kmax4,1,1,M3,E
train_kmax4,1,1,M4,E
