depth,exact_trajectory_accuracy,final_accuracy,invalid_call_rate,machine,n,one_call_coverage,per_transition_accuracy,post_tool_answer_accuracy,seed,seed_pass,selected_edge_validity,snapshot_updates,termination_accuracy
1,,1.0,0.0,M3,64,1.0,,1.0,11,1,1.0,2000,
2,,1.0,0.0,M3,64,0.5,,1.0,11,0,1.0,2000,
3,,1.0,0.0,M3,64,0.3333333333333333,,1.0,11,0,1.0,2000,
4,,0.015625,0.5625,M3,64,0.109375,,0.015625,11,0,0.4375,2000,
6,,0.015625,0.828125,M3,64,0.02864583333333333,,0.015625,11,0,0.171875,2000,
8,,0.015625,0.28125,M3,64,0.08984375,,0.015625,11,0,0.71875,2000,
1,,1.0,0.0,M3,64,1.0,,1.0,23,1,1.0,2000,
2,,1.0,0.0,M3,64,0.5,,1.0,23,0,1.0,2000,
3,,1.0,0.0,M3,64,0.3333333333333333,,1.0,23,0,1.0,2000,
4,,0.0,0.6875,M3,64,0.078125,,0.0,23,0,0.3125,2000,
6,,0.0,0.625,M3,64,0.0625,,0.0,23,0,0.375,2000,
8,,0.046875,0.6875,M3,64,0.0390625,,0.046875,23,0,0.3125,2000,
1,,1.0,0.0,M3,64,1.0,,1.0,37,1,1.0,2000,
2,,1.0,0.0,M3,64,0.5,,1.0,37,0,1.0,2000,
3,,1.0,0.0,M3,64,0.3333333333333333,,1.0,37,0,1.0,2000,
4,,0.03125,0.765625,M3,64,0.05859375,,0.03125,37,0,0.234375,2000,
6,,0.015625,0.734375,M3,64,0.04427083333333333,,0.015625,37,0,0.265625,2000,
8,,0.0,0.859375,M3,64,0.017578125,,0.0,37,0,0.140625,2000,
1,1.0,1.0,0.0,M4,64,,1.0,,11,1,,2000,1.0
2,1.0,1.0,0.0,M4,64,,1.0,,11,1,,2000,1.0
3,1.0,1.0,0.0,M4,64,,1.0,,11,1,,2000,1.0
4,0.0,0.0,1.0,M4,64,,0.0,,11,0,,2000,0.0
6,0.0,0.0,1.0,M4,64,,0.010416666666666666,,11,0,,2000,0.0
8,0.0,0.0,1.0,M4,64,,0.11328125,,11,0,,2000,0.0
1,1.0,1.0,0.0,M4,64,,1.0,,23,1,,2000,1.0
2,1.0,1.0,0.0,M4,64,,1.0,,23,1,,2000,1.0
3,1.0,1.0,0.0,M4,64,,1.0,,23,1,,2000,1.0
4,0.0,0.0,1.0,M4,64,,0.0,,23,0,,2000,0.0
6,0.0,0.0,1.0,M4,64,,0.018229166666666664,,23,0,,2000,0.0
8,0.0,0.0,1.0,M4,64,,0.001953125,,23,0,,2000,0.0
1,1.0,1.0,0.0,M4,64,,1.0,,37,1,,2000,1.0
2,1.0,1.0,0.0,M4,64,,1.0,,37,1,,2000,1.0
3,1.0,1.0,0.0,M4,64,,1.0,,37,1,,2000,1.0
4,0.0,0.0,1.0,M4,64,,0.0,,37,0,,2000,0.0
6,0.0,0.0,0.96875,M4,64,,0.005208333333333333,,37,0,,2000,0.0
8,0.0,0.0,0.984375,M4,64,,0.033203125,,37,0,,2000,0.0
1,,1.0,0.0,M3,64,1.0,,1.0,11,1,1.0,4000,
2,,1.0,0.0,M3,64,0.5,,1.0,11,0,1.0,4000,
3,,1.0,0.0,M3,64,0.3333333333333333,,1.0,11,0,1.0,4000,
4,,0.0,0.53125,M3,64,0.1171875,,0.0,11,0,0.46875,4000,
6,,0.0,0.84375,M3,64,0.026041666666666664,,0.0,11,0,0.15625,4000,
8,,0.0,0.3125,M3,64,0.0859375,,0.0,11,0,0.6875,4000,
1,,1.0,0.0,M3,64,1.0,,1.0,23,1,1.0,4000,
2,,1.0,0.0,M3,64,0.5,,1.0,23,0,1.0,4000,
3,,1.0,0.0,M3,64,0.3333333333333333,,1.0,23,0,1.0,4000,
4,,0.0,0.6875,M3,64,0.078125,,0.0,23,0,0.3125,4000,
6,,0.0,0.640625,M3,64,0.05989583333333333,,0.0,23,0,0.359375,4000,
8,,0.046875,0.6875,M3,64,0.0390625,,0.046875,23,0,0.3125,4000,
1,,1.0,0.0,M3,64,1.0,,1.0,37,1,1.0,4000,
2,,1.0,0.0,M3,64,0.5,,1.0,37,0,1.0,4000,
3,,1.0,0.0,M3,64,0.3333333333333333,,1.0,37,0,1.0,4000,
4,,0.03125,0.78125,M3,64,0.0546875,,0.03125,37,0,0.21875,4000,
6,,0.015625,0.734375,M3,64,0.04427083333333333,,0.015625,37,0,0.265625,4000,
8,,0.0,0.859375,M3,64,0.017578125,,0.0,37,0,0.140625,4000,
1,1.0,1.0,0.0,M4,64,,1.0,,11,1,,4000,1.0
2,1.0,1.0,0.0,M4,64,,1.0,,11,1,,4000,1.0
3,1.0,1.0,0.0,M4,64,,1.0,,11,1,,4000,1.0
4,0.0,0.0,1.0,M4,64,,0.0,,11,0,,4000,0.0
6,0.0,0.0,1.0,M4,64,,0.010416666666666666,,11,0,,4000,0.0
8,0.0,0.0,1.0,M4,64,,0.115234375,,11,0,,4000,0.0
1,1.0,1.0,0.0,M4,64,,1.0,,23,1,,4000,1.0
2,1.0,1.0,0.0,M4,64,,1.0,,23,1,,4000,1.0
3,1.0,1.0,0.0,M4,64,,1.0,,23,1,,4000,1.0
4,0.0,0.0,1.0,M4,64,,0.0,,23,0,,4000,0.0
6,0.0,0.0,1.0,M4,64,,0.018229166666666664,,23,0,,4000,0.0
8,0.0,0.0,1.0,M4,64,,0.001953125,,23,0,,4000,0.0
1,1.0,1.0,0.0,M4,64,,1.0,,37,1,,4000,1.0
2,1.0,1.0,0.0,M4,64,,1.0,,37,1,,4000,1.0
3,1.0,1.0,0.0,M4,64,,1.0,,37,1,,4000,1.0
4,0.0,0.0,1.0,M4,64,,0.0,,37,0,,4000,0.0
6,0.0,0.0,0.96875,M4,64,,0.013020833333333332,,37,0,,4000,0.0
8,0.0,0.0,0.96875,M4,64,,0.025390625,,37,0,,4000,0.0
