architecture,depth,exact_trajectory_accuracy,final_accuracy,invalid_call_rate,machine,mean_model_forwards,mean_tool_calls,n,nontermination_rate,one_call_coverage,per_transition_accuracy,post_tool_answer_accuracy,seed,seed_pass,selected_edge_validity,termination_accuracy,termination_precision,termination_recall
deep_full,1,,1.0,0.0,M3,,,64,,1.0,,1.0,11,1,1.0,,,
deep_full,2,,1.0,0.0,M3,,,64,,0.5,,1.0,11,0,1.0,,,
deep_full,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,11,0,1.0,,,
deep_full,4,,0.0,0.328125,M3,,,64,,0.16796875,,0.0,11,0,0.671875,,,
deep_full,6,,0.0,0.640625,M3,,,64,,0.05989583333333333,,0.0,11,0,0.359375,,,
deep_full,8,,0.015625,0.234375,M3,,,64,,0.095703125,,0.015625,11,0,0.765625,,,
deep_full,1,,1.0,0.0,M3,,,64,,1.0,,1.0,23,1,1.0,,,
deep_full,2,,1.0,0.0,M3,,,64,,0.5,,1.0,23,0,1.0,,,
deep_full,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,23,0,1.0,,,
deep_full,4,,0.015625,0.359375,M3,,,64,,0.16015625,,0.015625,23,0,0.640625,,,
deep_full,6,,0.0,0.875,M3,,,64,,0.020833333333333332,,0.0,23,0,0.125,,,
deep_full,8,,0.0,0.90625,M3,,,64,,0.01171875,,0.0,23,0,0.09375,,,
deep_full,1,,1.0,0.0,M3,,,64,,1.0,,1.0,37,1,1.0,,,
deep_full,2,,1.0,0.0,M3,,,64,,0.5,,1.0,37,0,1.0,,,
deep_full,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,37,0,1.0,,,
deep_full,4,,0.015625,0.75,M3,,,64,,0.0625,,0.015625,37,0,0.25,,,
deep_full,6,,0.015625,0.921875,M3,,,64,,0.013020833333333332,,0.015625,37,0,0.078125,,,
deep_full,8,,0.0,0.75,M3,,,64,,0.03125,,0.0,37,0,0.25,,,
deep_full,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
deep_full,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
deep_full,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
deep_full,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,11,0,,0.0,0.0,0.0
deep_full,6,0.0,0.0,0.984375,M4,1.109375,1.09375,64,0.0,,0.018229166666666668,,11,0,,0.0,0.0,0.0
deep_full,8,0.0,0.0,0.96875,M4,2.21875,2.1875,64,0.0,,0.15234375,,11,0,,0.0,0.0,0.0
deep_full,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
deep_full,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
deep_full,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
deep_full,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,23,0,,0.0,0.0,0.0
deep_full,6,0.0,0.0,1.0,M4,1.09375,1.09375,64,0.0,,0.015625,,23,0,,0.0,0.0,0.0
deep_full,8,0.0,0.0,0.953125,M4,1.109375,1.0625,64,0.0,,0.013671875,,23,0,,0.0,0.0,0.0
deep_full,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
deep_full,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
deep_full,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
deep_full,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
deep_full,6,0.0,0.0,0.828125,M4,1.109375,0.9375,64,0.0,,0.018229166666666664,,37,0,,0.0,0.0,0.0
deep_full,8,0.0,0.0,1.0,M4,1.265625,1.265625,64,0.0,,0.033203125,,37,0,,0.0,0.0,0.0
deep_matched,1,,1.0,0.0,M3,,,64,,1.0,,1.0,11,1,1.0,,,
deep_matched,2,,1.0,0.0,M3,,,64,,0.5,,1.0,11,0,1.0,,,
deep_matched,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,11,0,1.0,,,
deep_matched,4,,0.015625,0.921875,M3,,,64,,0.01953125,,0.015625,11,0,0.078125,,,
deep_matched,6,,0.0,0.3125,M3,,,64,,0.11458333333333333,,0.0,11,0,0.6875,,,
deep_matched,8,,0.0,0.828125,M3,,,64,,0.021484375,,0.0,11,0,0.171875,,,
deep_matched,1,,1.0,0.0,M3,,,64,,1.0,,1.0,23,1,1.0,,,
deep_matched,2,,1.0,0.0,M3,,,64,,0.5,,1.0,23,0,1.0,,,
deep_matched,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,23,0,1.0,,,
deep_matched,4,,0.015625,0.4375,M3,,,64,,0.140625,,0.015625,23,0,0.5625,,,
deep_matched,6,,0.015625,0.25,M3,,,64,,0.12499999999999999,,0.015625,23,0,0.75,,,
deep_matched,8,,0.0,0.75,M3,,,64,,0.03125,,0.0,23,0,0.25,,,
deep_matched,1,,1.0,0.0,M3,,,64,,1.0,,1.0,37,1,1.0,,,
deep_matched,2,,1.0,0.0,M3,,,64,,0.5,,1.0,37,0,1.0,,,
deep_matched,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,37,0,1.0,,,
deep_matched,4,,0.015625,0.203125,M3,,,64,,0.19921875,,0.015625,37,0,0.796875,,,
deep_matched,6,,0.0,0.09375,M3,,,64,,0.15104166666666666,,0.0,37,0,0.90625,,,
deep_matched,8,,0.0,0.78125,M3,,,64,,0.02734375,,0.0,37,0,0.21875,,,
deep_matched,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
deep_matched,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
deep_matched,3,0.96875,0.96875,0.03125,M4,3.921875,2.953125,64,0.0,,0.9739583333333334,,11,1,,0.96875,1.0,0.96875
deep_matched,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,11,0,,0.0,0.0,0.0
deep_matched,6,0.0,0.0,0.578125,M4,1.34375,0.921875,64,0.0,,0.057291666666666664,,11,0,,0.0,0.0,0.0
deep_matched,8,0.0,0.0,1.0,M4,1.078125,1.078125,64,0.0,,0.009765625,,11,0,,0.0,0.0,0.0
deep_matched,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
deep_matched,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
deep_matched,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
deep_matched,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,23,0,,0.0,0.0,0.0
deep_matched,6,0.0,0.0,0.90625,M4,1.328125,1.234375,64,0.0,,0.0546875,,23,0,,0.0,0.0,0.0
deep_matched,8,0.0,0.0,0.65625,M4,1.140625,0.796875,64,0.0,,0.017578125,,23,0,,0.0,0.0,0.0
deep_matched,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
deep_matched,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
deep_matched,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
deep_matched,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
deep_matched,6,0.0,0.0,0.984375,M4,1.625,1.609375,64,0.0,,0.10416666666666666,,37,0,,0.0,0.0,0.0
deep_matched,8,0.0,0.0,1.0,M4,1.015625,1.015625,64,0.0,,0.001953125,,37,0,,0.0,0.0,0.0
shallow_matched,1,,0.0,1.0,M3,,,64,,0.0,,0.0,11,0,0.0,,,
shallow_matched,2,,0.0,1.0,M3,,,64,,0.0,,0.0,11,0,0.0,,,
shallow_matched,3,,0.015625,0.984375,M3,,,64,,0.005208333333333333,,0.015625,11,0,0.015625,,,
shallow_matched,4,,0.0,1.0,M3,,,64,,0.0,,0.0,11,0,0.0,,,
shallow_matched,6,,0.015625,1.0,M3,,,64,,0.0,,0.015625,11,0,0.0,,,
shallow_matched,8,,0.0,0.984375,M3,,,64,,0.001953125,,0.0,11,0,0.015625,,,
