architecture,depth,exact_trajectory_accuracy,final_accuracy,invalid_call_rate,machine,mean_model_forwards,mean_tool_calls,n,nontermination_rate,one_call_coverage,per_transition_accuracy,post_tool_answer_accuracy,seed,seed_pass,selected_edge_validity,termination_accuracy,termination_precision,termination_recall
eight_heads,1,,1.0,0.0,M3,,,64,,1.0,,1.0,11,1,1.0,,,
eight_heads,2,,1.0,0.0,M3,,,64,,0.5,,1.0,11,0,1.0,,,
eight_heads,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,11,0,1.0,,,
eight_heads,4,,0.0,0.421875,M3,,,64,,0.14453125,,0.0,11,0,0.578125,,,
eight_heads,6,,0.015625,0.875,M3,,,64,,0.020833333333333332,,0.015625,11,0,0.125,,,
eight_heads,8,,0.0,0.546875,M3,,,64,,0.056640625,,0.0,11,0,0.453125,,,
eight_heads,1,,1.0,0.0,M3,,,64,,1.0,,1.0,23,1,1.0,,,
eight_heads,2,,1.0,0.0,M3,,,64,,0.5,,1.0,23,0,1.0,,,
eight_heads,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,23,0,1.0,,,
eight_heads,4,,0.0,0.875,M3,,,64,,0.03125,,0.0,23,0,0.125,,,
eight_heads,6,,0.015625,0.921875,M3,,,64,,0.013020833333333332,,0.015625,23,0,0.078125,,,
eight_heads,8,,0.015625,0.96875,M3,,,64,,0.00390625,,0.015625,23,0,0.03125,,,
eight_heads,1,,1.0,0.0,M3,,,64,,1.0,,1.0,37,1,1.0,,,
eight_heads,2,,1.0,0.0,M3,,,64,,0.5,,1.0,37,0,1.0,,,
eight_heads,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,37,0,1.0,,,
eight_heads,4,,0.03125,0.671875,M3,,,64,,0.08203125,,0.03125,37,0,0.328125,,,
eight_heads,6,,0.03125,0.859375,M3,,,64,,0.0234375,,0.03125,37,0,0.140625,,,
eight_heads,8,,0.015625,0.921875,M3,,,64,,0.009765625,,0.015625,37,0,0.078125,,,
eight_heads,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
eight_heads,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
eight_heads,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
eight_heads,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,11,0,,0.0,0.0,0.0
eight_heads,6,0.0,0.0,1.0,M4,1.03125,1.03125,64,0.0,,0.005208333333333333,,11,0,,0.0,0.0,0.0
eight_heads,8,0.0,0.0,0.96875,M4,1.78125,1.75,64,0.0,,0.09765625,,11,0,,0.0,0.0,0.0
eight_heads,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
eight_heads,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
eight_heads,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
eight_heads,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,23,0,,0.0,0.0,0.0
eight_heads,6,0.0,0.0,1.0,M4,1.140625,1.140625,64,0.0,,0.023437499999999997,,23,0,,0.0,0.0,0.0
eight_heads,8,0.0,0.0,0.984375,M4,1.015625,1.0,64,0.0,,0.001953125,,23,0,,0.0,0.0,0.0
eight_heads,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
eight_heads,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
eight_heads,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
eight_heads,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
eight_heads,6,0.0,0.0,0.953125,M4,1.0,0.953125,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
