architecture,loss,machine,seed,step
narrow,19.19089698791504,M3,11,1
narrow,6.159582138061523,M3,11,50
narrow,4.346083164215088,M3,11,100
narrow,3.649343252182007,M3,11,150
narrow,3.6320369243621826,M3,11,200
narrow,3.7144620418548584,M3,11,250
narrow,3.222696304321289,M3,11,300
narrow,2.6978752613067627,M3,11,350
narrow,2.2954483032226562,M3,11,400
narrow,1.3808432817459106,M3,11,450
narrow,0.7349812388420105,M3,11,500
narrow,0.635886549949646,M3,11,550
narrow,0.25093987584114075,M3,11,600
narrow,0.0860857143998146,M3,11,650
narrow,0.039107080549001694,M3,11,700
narrow,0.021383225917816162,M3,11,750
narrow,0.02014872431755066,M3,11,800
narrow,0.011792178265750408,M3,11,850
narrow,0.007841340266168118,M3,11,900
narrow,0.005603534635156393,M3,11,950
narrow,0.004522925242781639,M3,11,1000
narrow,18.866674423217773,M3,23,1
narrow,8.230433464050293,M3,23,50
narrow,4.7210164070129395,M3,23,100
narrow,3.8485240936279297,M3,23,150
narrow,3.6897614002227783,M3,23,200
narrow,3.59871506690979,M3,23,250
narrow,3.417109727859497,M3,23,300
narrow,3.308067560195923,M3,23,350
narrow,3.1044912338256836,M3,23,400
narrow,2.1807122230529785,M3,23,450
narrow,1.064742922782898,M3,23,500
narrow,0.3099019229412079,M3,23,550
narrow,0.08902299404144287,M3,23,600
narrow,0.05458198860287666,M3,23,650
narrow,0.022945484146475792,M3,23,700
narrow,0.018895750865340233,M3,23,750
narrow,0.01512463390827179,M3,23,800
narrow,0.015401206910610199,M3,23,850
narrow,0.013416741043329239,M3,23,900
narrow,0.008701469749212265,M3,23,950
narrow,0.006848081946372986,M3,23,1000
narrow,17.396242141723633,M3,37,1
narrow,8.205585479736328,M3,37,50
narrow,4.375580787658691,M3,37,100
narrow,4.107530117034912,M3,37,150
narrow,3.737957000732422,M3,37,200
narrow,3.595679521560669,M3,37,250
narrow,3.6678836345672607,M3,37,300
narrow,3.1761207580566406,M3,37,350
narrow,2.5307207107543945,M3,37,400
narrow,1.8007179498672485,M3,37,450
narrow,1.1070961952209473,M3,37,500
narrow,0.3930290937423706,M3,37,550
narrow,0.138516366481781,M3,37,600
