architecture,depth,exact_trajectory_accuracy,final_accuracy,invalid_call_rate,machine,mean_model_forwards,mean_tool_calls,n,nontermination_rate,one_call_coverage,per_transition_accuracy,post_tool_answer_accuracy,seed,seed_pass,selected_edge_validity,termination_accuracy,termination_precision,termination_recall
diversity_24k,1,,1.0,0.0,M3,,,64,,1.0,,1.0,11,1,1.0,,,
diversity_24k,2,,0.984375,0.0,M3,,,64,,0.5,,0.984375,11,0,1.0,,,
diversity_24k,3,,0.96875,0.0,M3,,,64,,0.3333333333333333,,0.96875,11,0,1.0,,,
diversity_24k,4,,0.015625,0.59375,M3,,,64,,0.1015625,,0.015625,11,0,0.40625,,,
diversity_24k,6,,0.015625,0.421875,M3,,,64,,0.09635416666666666,,0.015625,11,0,0.578125,,,
diversity_24k,8,,0.0,0.71875,M3,,,64,,0.03515625,,0.0,11,0,0.28125,,,
diversity_24k,1,,1.0,0.0,M3,,,64,,1.0,,1.0,23,1,1.0,,,
diversity_24k,2,,1.0,0.0,M3,,,64,,0.5,,1.0,23,0,1.0,,,
diversity_24k,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,23,0,1.0,,,
diversity_24k,4,,0.015625,0.875,M3,,,64,,0.03125,,0.015625,23,0,0.125,,,
diversity_24k,6,,0.0,0.90625,M3,,,64,,0.015624999999999998,,0.0,23,0,0.09375,,,
diversity_24k,8,,0.0,0.59375,M3,,,64,,0.05078125,,0.0,23,0,0.40625,,,
diversity_24k,1,,1.0,0.0,M3,,,64,,1.0,,1.0,37,1,1.0,,,
diversity_24k,2,,1.0,0.0,M3,,,64,,0.5,,1.0,37,0,1.0,,,
diversity_24k,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,37,0,1.0,,,
diversity_24k,4,,0.03125,0.859375,M3,,,64,,0.03515625,,0.03125,37,0,0.140625,,,
diversity_24k,6,,0.0,0.8125,M3,,,64,,0.03125,,0.0,37,0,0.1875,,,
diversity_24k,8,,0.015625,0.90625,M3,,,64,,0.01171875,,0.015625,37,0,0.09375,,,
diversity_24k,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
diversity_24k,2,0.984375,0.984375,0.015625,M4,2.984375,2.0,64,0.0,,0.9921875,,11,1,,0.984375,1.0,0.984375
diversity_24k,3,0.90625,0.90625,0.09375,M4,3.828125,2.921875,64,0.0,,0.9427083333333334,,11,0,,0.90625,1.0,0.90625
diversity_24k,4,0.0,0.0,0.75,M4,1.234375,0.984375,64,0.0,,0.05859375,,11,0,,0.0,0.0,0.0
diversity_24k,6,0.0,0.0,0.8125,M4,1.25,1.0625,64,0.0,,0.04166666666666666,,11,0,,0.0,0.0,0.0
diversity_24k,8,0.0,0.0,0.84375,M4,1.140625,0.984375,64,0.0,,0.017578125,,11,0,,0.0,0.0,0.0
diversity_24k,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
diversity_24k,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
diversity_24k,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
diversity_24k,4,0.0,0.0,0.859375,M4,1.0,0.859375,64,0.0,,0.0,,23,0,,0.0,0.0,0.0
diversity_24k,6,0.0,0.0,0.828125,M4,1.015625,0.84375,64,0.0,,0.0026041666666666665,,23,0,,0.0,0.0,0.0
