architecture,loss,machine,seed,step
diversity_24k,18.372987747192383,M3,11,1
diversity_24k,6.46469259262085,M3,11,50
diversity_24k,4.214628219604492,M3,11,100
diversity_24k,3.783642053604126,M3,11,150
diversity_24k,3.7462310791015625,M3,11,200
diversity_24k,3.6386966705322266,M3,11,250
diversity_24k,3.315595865249634,M3,11,300
diversity_24k,2.7680394649505615,M3,11,350
diversity_24k,2.3200888633728027,M3,11,400
diversity_24k,1.949496865272522,M3,11,450
diversity_24k,1.5241543054580688,M3,11,500
diversity_24k,0.833629310131073,M3,11,550
diversity_24k,0.38552308082580566,M3,11,600
diversity_24k,0.20963318645954132,M3,11,650
diversity_24k,0.09105369448661804,M3,11,700
diversity_24k,0.10387621074914932,M3,11,750
diversity_24k,0.03158733621239662,M3,11,800
diversity_24k,0.026167353615164757,M3,11,850
diversity_24k,0.017933685332536697,M3,11,900
diversity_24k,0.008799164555966854,M3,11,950
diversity_24k,0.014284566044807434,M3,11,1000
diversity_24k,18.53205680847168,M3,23,1
diversity_24k,7.9987664222717285,M3,23,50
diversity_24k,4.320272922515869,M3,23,100
diversity_24k,3.708242177963257,M3,23,150
diversity_24k,3.4946768283843994,M3,23,200
diversity_24k,3.307565927505493,M3,23,250
diversity_24k,3.31379771232605,M3,23,300
diversity_24k,3.179271936416626,M3,23,350
diversity_24k,2.6705477237701416,M3,23,400
diversity_24k,1.4417167901992798,M3,23,450
diversity_24k,0.29173746705055237,M3,23,500
diversity_24k,0.0495506227016449,M3,23,550
diversity_24k,0.03713170066475868,M3,23,600
diversity_24k,0.012601005844771862,M3,23,650
diversity_24k,0.016614314168691635,M3,23,700
diversity_24k,0.009336867369711399,M3,23,750
diversity_24k,0.0071530938148498535,M3,23,800
diversity_24k,0.008214308880269527,M3,23,850
diversity_24k,0.004433355759829283,M3,23,900
diversity_24k,0.007048403844237328,M3,23,950
diversity_24k,0.003970323130488396,M3,23,1000
diversity_24k,18.004722595214844,M3,37,1
diversity_24k,8.087584495544434,M3,37,50
diversity_24k,4.733022212982178,M3,37,100
diversity_24k,3.9632155895233154,M3,37,150
diversity_24k,3.585496664047241,M3,37,200
diversity_24k,3.4935922622680664,M3,37,250
diversity_24k,3.5927181243896484,M3,37,300
diversity_24k,3.287389039993286,M3,37,350
diversity_24k,2.723637342453003,M3,37,400
diversity_24k,1.2943334579467773,M3,37,450
diversity_24k,1.16704523563385,M3,37,500
diversity_24k,0.7062650322914124,M3,37,550
diversity_24k,0.09061922878026962,M3,37,600
diversity_24k,0.03639771044254303,M3,37,650
diversity_24k,0.014857511036098003,M3,37,700
diversity_24k,0.010271749459207058,M3,37,750
diversity_24k,0.013653782196342945,M3,37,800
diversity_24k,0.0061521525494754314,M3,37,850
diversity_24k,0.007938574999570847,M3,37,900
diversity_24k,0.004115527495741844,M3,37,950
diversity_24k,0.0045653157867491245,M3,37,1000
diversity_24k,20.242294311523438,M4,11,1
diversity_24k,5.071836948394775,M4,11,50
diversity_24k,3.4324893951416016,M4,11,100
diversity_24k,2.754671096801758,M4,11,150
diversity_24k,2.698714017868042,M4,11,200
diversity_24k,2.1662495136260986,M4,11,250
diversity_24k,2.270705461502075,M4,11,300
diversity_24k,2.4031717777252197,M4,11,350
diversity_24k,2.063541889190674,M4,11,400
diversity_24k,1.8648544549942017,M4,11,450
diversity_24k,1.1647396087646484,M4,11,500
diversity_24k,1.19546377658844,M4,11,550
diversity_24k,1.1469002962112427,M4,11,600
diversity_24k,1.0215035676956177,M4,11,650
diversity_24k,0.6560160517692566,M4,11,700
diversity_24k,0.4009237289428711,M4,11,750
diversity_24k,0.28979864716529846,M4,11,800
diversity_24k,0.27976280450820923,M4,11,850
diversity_24k,0.15862132608890533,M4,11,900
diversity_24k,0.05021163448691368,M4,11,950
diversity_24k,0.0324307344853878,M4,11,1000
diversity_24k,22.295942306518555,M4,23,1
diversity_24k,7.32881498336792,M4,23,50
diversity_24k,4.04387903213501,M4,23,100
diversity_24k,3.477490186691284,M4,23,150
diversity_24k,2.8674049377441406,M4,23,200
diversity_24k,2.6262223720550537,M4,23,250
diversity_24k,2.6326589584350586,M4,23,300
diversity_24k,2.1398909091949463,M4,23,350
diversity_24k,1.6352812051773071,M4,23,400
diversity_24k,1.0881959199905396,M4,23,450
diversity_24k,0.7579101920127869,M4,23,500
diversity_24k,0.3507358133792877,M4,23,550
diversity_24k,0.1872885674238205,M4,23,600
diversity_24k,0.04824906960129738,M4,23,650
diversity_24k,0.024936875328421593,M4,23,700
diversity_24k,0.02227894961833954,M4,23,750
diversity_24k,0.02290748804807663,M4,23,800
diversity_24k,0.0345490463078022,M4,23,850
diversity_24k,0.011427044868469238,M4,23,900
diversity_24k,0.007606203202158213,M4,23,950
diversity_24k,0.007072178181260824,M4,23,1000
diversity_24k,22.767343521118164,M4,37,1
diversity_24k,8.17056941986084,M4,37,50
diversity_24k,4.591308116912842,M4,37,100
diversity_24k,3.54968523979187,M4,37,150
diversity_24k,3.120436906814575,M4,37,200
diversity_24k,2.378480911254883,M4,37,250
diversity_24k,2.8683717250823975,M4,37,300
diversity_24k,2.3338186740875244,M4,37,350
diversity_24k,1.887446403503418,M4,37,400
diversity_24k,0.8966798782348633,M4,37,450
diversity_24k,0.2886248528957367,M4,37,500
diversity_24k,0.15094207227230072,M4,37,550
diversity_24k,0.1544470191001892,M4,37,600
diversity_24k,0.051343947649002075,M4,37,650
diversity_24k,0.03061249665915966,M4,37,700
diversity_24k,0.017681527882814407,M4,37,750
diversity_24k,0.01934734173119068,M4,37,800
diversity_24k,0.09548503905534744,M4,37,850
diversity_24k,0.013568545691668987,M4,37,900
diversity_24k,0.01019966509193182,M4,37,950
diversity_24k,0.007916041649878025,M4,37,1000
diversity_48k,18.372987747192383,M3,11,1
diversity_48k,6.46469259262085,M3,11,50
diversity_48k,4.214628219604492,M3,11,100
diversity_48k,3.783642053604126,M3,11,150
diversity_48k,3.7462310791015625,M3,11,200
diversity_48k,3.6386964321136475,M3,11,250
diversity_48k,3.1552798748016357,M3,11,300
diversity_48k,3.193521499633789,M3,11,350
diversity_48k,2.3507981300354004,M3,11,400
diversity_48k,1.6321786642074585,M3,11,450
diversity_48k,1.1472015380859375,M3,11,500
diversity_48k,0.7565744519233704,M3,11,550
diversity_48k,0.3283136188983917,M3,11,600
diversity_48k,0.11098124831914902,M3,11,650
diversity_48k,0.040453922003507614,M3,11,700
diversity_48k,0.06344423443078995,M3,11,750
diversity_48k,0.01559328380972147,M3,11,800
diversity_48k,0.01811128854751587,M3,11,850
diversity_48k,0.006571369711309671,M3,11,900
diversity_48k,0.013922971673309803,M3,11,950
diversity_48k,0.005705890711396933,M3,11,1000
diversity_48k,18.53205680847168,M3,23,1
diversity_48k,7.9987664222717285,M3,23,50
diversity_48k,4.320272922515869,M3,23,100
diversity_48k,3.7082417011260986,M3,23,150
diversity_48k,3.4946768283843994,M3,23,200
diversity_48k,3.307565689086914,M3,23,250
diversity_48k,3.7121670246124268,M3,23,300
diversity_48k,3.3698761463165283,M3,23,350
diversity_48k,2.786423444747925,M3,23,400
diversity_48k,1.5557273626327515,M3,23,450
diversity_48k,0.40503811836242676,M3,23,500
diversity_48k,0.06189879775047302,M3,23,550
diversity_48k,0.03667791560292244,M3,23,600
diversity_48k,0.013698750175535679,M3,23,650
diversity_48k,0.01190974935889244,M3,23,700
diversity_48k,0.009293385781347752,M3,23,750
diversity_48k,0.009620155207812786,M3,23,800
diversity_48k,0.007193165365606546,M3,23,850
diversity_48k,0.004326379392296076,M3,23,900
diversity_48k,0.0050230808556079865,M3,23,950
diversity_48k,0.002951383590698242,M3,23,1000
diversity_48k,18.004722595214844,M3,37,1
diversity_48k,8.087584495544434,M3,37,50
diversity_48k,4.733022212982178,M3,37,100
diversity_48k,3.9632155895233154,M3,37,150
diversity_48k,3.585496664047241,M3,37,200
diversity_48k,3.4935922622680664,M3,37,250
diversity_48k,3.285860776901245,M3,37,300
diversity_48k,3.309112787246704,M3,37,350
diversity_48k,2.4294750690460205,M3,37,400
diversity_48k,1.5958423614501953,M3,37,450
diversity_48k,1.352795124053955,M3,37,500
diversity_48k,0.6556797623634338,M3,37,550
diversity_48k,0.05306941270828247,M3,37,600
diversity_48k,0.031664326786994934,M3,37,650
diversity_48k,0.009615596383810043,M3,37,700
