architecture,loss,machine,seed,step
train_kmax3,18.372987747192383,M3,11,1
train_kmax3,6.46469259262085,M3,11,50
train_kmax3,4.214628219604492,M3,11,100
train_kmax3,3.783642053604126,M3,11,150
train_kmax3,3.7462308406829834,M3,11,200
train_kmax3,3.6386966705322266,M3,11,250
train_kmax3,3.3155956268310547,M3,11,300
train_kmax3,2.7680389881134033,M3,11,350
train_kmax3,2.3200876712799072,M3,11,400
train_kmax3,1.9494953155517578,M3,11,450
train_kmax3,1.5241559743881226,M3,11,500
train_kmax3,0.8336289525032043,M3,11,550
train_kmax3,0.3855229318141937,M3,11,600
train_kmax3,0.20963309705257416,M3,11,650
train_kmax3,0.09105337411165237,M3,11,700
train_kmax3,0.10387661308050156,M3,11,750
train_kmax3,0.03158736601471901,M3,11,800
train_kmax3,0.026167234405875206,M3,11,850
train_kmax3,0.017933664843440056,M3,11,900
train_kmax3,0.0087991738691926,M3,11,950
train_kmax3,0.014284525997936726,M3,11,1000
train_kmax3,18.53205680847168,M3,23,1
train_kmax3,7.998767852783203,M3,23,50
train_kmax3,4.320272922515869,M3,23,100
train_kmax3,3.708242177963257,M3,23,150
train_kmax3,3.4946768283843994,M3,23,200
train_kmax3,3.307565927505493,M3,23,250
train_kmax3,3.31379771232605,M3,23,300
train_kmax3,3.179271936416626,M3,23,350
train_kmax3,2.6705474853515625,M3,23,400
train_kmax3,1.441717267036438,M3,23,450
train_kmax3,0.2917375862598419,M3,23,500
train_kmax3,0.049550604075193405,M3,23,550
train_kmax3,0.03713170066475868,M3,23,600
train_kmax3,0.012601000256836414,M3,23,650
train_kmax3,0.016614310443401337,M3,23,700
train_kmax3,0.009336869232356548,M3,23,750
train_kmax3,0.007153086364269257,M3,23,800
train_kmax3,0.008214299567043781,M3,23,850
train_kmax3,0.004433360416442156,M3,23,900
train_kmax3,0.007048400584608316,M3,23,950
train_kmax3,0.003970325458794832,M3,23,1000
train_kmax3,18.004722595214844,M3,37,1
train_kmax3,8.087584495544434,M3,37,50
train_kmax3,4.733022212982178,M3,37,100
train_kmax3,3.9632155895233154,M3,37,150
train_kmax3,3.585496664047241,M3,37,200
train_kmax3,3.4935922622680664,M3,37,250
train_kmax3,3.5927181243896484,M3,37,300
train_kmax3,3.287388563156128,M3,37,350
train_kmax3,2.723637342453003,M3,37,400
train_kmax3,1.2943334579467773,M3,37,450
train_kmax3,1.167044997215271,M3,37,500
train_kmax3,0.7062649130821228,M3,37,550
train_kmax3,0.09061893075704575,M3,37,600
train_kmax3,0.03639785572886467,M3,37,650
train_kmax3,0.01485748216509819,M3,37,700
train_kmax3,0.01027175597846508,M3,37,750
train_kmax3,0.013653770089149475,M3,37,800
train_kmax3,0.0061521586030721664,M3,37,850
train_kmax3,0.00793857965618372,M3,37,900
train_kmax3,0.004115527495741844,M3,37,950
train_kmax3,0.004565326031297445,M3,37,1000
train_kmax3,20.242294311523438,M4,11,1
train_kmax3,5.071836471557617,M4,11,50
train_kmax3,3.4324893951416016,M4,11,100
train_kmax3,2.754671096801758,M4,11,150
train_kmax3,2.698713541030884,M4,11,200
train_kmax3,2.1662497520446777,M4,11,250
train_kmax3,2.270705461502075,M4,11,300
train_kmax3,2.4031715393066406,M4,11,350
train_kmax3,2.0635416507720947,M4,11,400
train_kmax3,1.8648549318313599,M4,11,450
train_kmax3,1.1647392511367798,M4,11,500
train_kmax3,1.1954638957977295,M4,11,550
train_kmax3,1.1469006538391113,M4,11,600
train_kmax3,1.0215030908584595,M4,11,650
train_kmax3,0.65601646900177,M4,11,700
train_kmax3,0.4009242355823517,M4,11,750
train_kmax3,0.2897985279560089,M4,11,800
train_kmax3,0.2797633409500122,M4,11,850
train_kmax3,0.15862081944942474,M4,11,900
train_kmax3,0.05021148547530174,M4,11,950
train_kmax3,0.032430585473775864,M4,11,1000
train_kmax3,22.295942306518555,M4,23,1
train_kmax3,7.32881498336792,M4,23,50
train_kmax3,4.04387903213501,M4,23,100
train_kmax3,3.4774904251098633,M4,23,150
train_kmax3,2.8674049377441406,M4,23,200
train_kmax3,2.6262223720550537,M4,23,250
train_kmax3,2.6326589584350586,M4,23,300
train_kmax3,2.139890670776367,M4,23,350
train_kmax3,1.6352810859680176,M4,23,400
train_kmax3,1.0881961584091187,M4,23,450
train_kmax3,0.7579102516174316,M4,23,500
