depth,examples,final_accuracy,generated_action_tokens_mean,model_forwards_mean,result_type,termination_accuracy,tool_calls_mean,tool_strength,total_context_tokens_mean
1,64,1.0,6.0,2.0,reference_oracle,1.0,1.0,T1,14.0
1,64,1.0,6.0,2.0,reference_oracle,1.0,1.0,T2,14.0
1,64,1.0,6.0,2.0,reference_oracle,1.0,1.0,T3,14.0
2,64,1.0,10.0,3.0,reference_oracle,1.0,2.0,T1,22.0
2,64,1.0,10.0,3.0,reference_oracle,1.0,2.0,T2,22.0
2,64,1.0,10.0,3.0,reference_oracle,1.0,2.0,T3,22.0
3,64,1.0,14.0,4.0,reference_oracle,1.0,3.0,T1,30.0
3,64,1.0,14.0,4.0,reference_oracle,1.0,3.0,T2,30.0
3,64,1.0,14.0,4.0,reference_oracle,1.0,3.0,T3,30.0
4,64,1.0,18.0,5.0,reference_oracle,1.0,4.0,T1,38.0
4,64,1.0,18.0,5.0,reference_oracle,1.0,4.0,T2,38.0
4,64,1.0,18.0,5.0,reference_oracle,1.0,4.0,T3,38.0
6,64,1.0,26.0,7.0,reference_oracle,1.0,6.0,T1,54.0
6,64,1.0,26.0,7.0,reference_oracle,1.0,6.0,T2,54.0
6,64,1.0,26.0,7.0,reference_oracle,1.0,6.0,T3,54.0
8,64,1.0,34.0,9.0,reference_oracle,1.0,8.0,T1,70.0
8,64,1.0,34.0,9.0,reference_oracle,1.0,8.0,T2,70.0
8,64,1.0,34.0,9.0,reference_oracle,1.0,8.0,T3,70.0
