depth,examples,result_type,termination_accuracy,tool_strength
1,64,reference_oracle,1.0,T1
1,64,reference_oracle,1.0,T2
1,64,reference_oracle,1.0,T3
2,64,reference_oracle,1.0,T1
2,64,reference_oracle,1.0,T2
2,64,reference_oracle,1.0,T3
3,64,reference_oracle,1.0,T1
3,64,reference_oracle,1.0,T2
3,64,reference_oracle,1.0,T3
4,64,reference_oracle,1.0,T1
4,64,reference_oracle,1.0,T2
4,64,reference_oracle,1.0,T3
6,64,reference_oracle,1.0,T1
6,64,reference_oracle,1.0,T2
6,64,reference_oracle,1.0,T3
8,64,reference_oracle,1.0,T1
8,64,reference_oracle,1.0,T2
8,64,reference_oracle,1.0,T3
