budget_tokens,ci_high,ci_low,condition,dataset,mean_answer_logprob_delta,n_examples,ties,wins
64.0,2.943410277366638,-0.6881750235334039,bridge_preserving,hotpotqa,1.0855007395148277,8,0,5
64.0,2.4277246400713914,-3.9885344207286835,combined_structural,hotpotqa,-0.6038732826709747,8,0,4
128.0,1.7096185088157654,-0.4966922998428345,bridge_preserving,hotpotqa,0.4129639267921448,8,3,3
128.0,1.5058559775352478,-4.810204282402992,combined_structural,hotpotqa,-1.4656438007950783,8,0,3
192.0,1.8455993123352528,-0.2095426730811596,bridge_preserving,hotpotqa,0.6403779275715351,8,1,4
192.0,2.0433189574629034,-1.8968979381024837,combined_structural,hotpotqa,-0.1447571348398924,8,0,2
64.0,1.362503319978714,-0.021246671676635742,bridge_preserving,qasper,0.5416926741600037,8,4,3
64.0,1.040844902396202,-1.3837298832833766,combined_structural,qasper,-0.1520090252161026,8,1,3
128.0,0.03512495756149292,-0.0030258893966674805,bridge_preserving,qasper,0.010699689388275146,8,6,1
128.0,0.06836070045828793,-1.2086649149656297,combined_structural,qasper,-0.3889797404408455,8,2,2
192.0,1.5501302033662796,-0.0419081449508667,bridge_preserving,qasper,0.5028151124715805,8,5,2
192.0,0.4466252326965332,-0.05935681127011776,combined_structural,qasper,0.16892647743225098,8,0,4
