budget_tokens,condition,dataset,mean_answer_logprob,mean_answer_token_accuracy,mean_budget_violation,mean_complete_evidence,mean_end_to_end_time_ns,mean_evidence_recall,mean_materialization_time_ns,mean_materialized_kv_bytes,mean_peak_device_bytes,mean_selection_time_ns,n_examples
64,agreement,hotpotqa,-6.714412152767181,0.1458333358168602,0.0,0.0,1966338130.625,0.16111111111111112,552323781.125,7340032.0,2829605888.0,59484.25,8
128,agreement,hotpotqa,-4.867948226630688,0.1666666716337204,0.0,0.0,2213925659.375,0.24791666666666667,978026175.875,14680064.0,2829630976.0,57719.75,8
192,agreement,hotpotqa,-4.175264865159988,0.3541666716337204,0.0,0.0,2597465512.375,0.4527777777777778,1324252868.125,22020096.0,2829655040.0,52581.25,8
64,base_topk,hotpotqa,-5.308270633220673,0.1875000037252903,0.0,0.0,2594421274.25,0.16284722222222223,655140388.5,7340032.0,2830128128.0,53183.375,8
128,base_topk,hotpotqa,-4.445960395038128,0.2083333395421505,0.0,0.0,2470060966.75,0.26875,1082533113.25,14680064.0,2829630976.0,38170.625,8
192,base_topk,hotpotqa,-4.157277973368764,0.3541666679084301,0.0,0.125,2872669348.0,0.4638888888888889,1429467450.0,22020096.0,2829655040.0,56894.875,8
64,bridge_preserving,hotpotqa,-4.222769893705845,0.2916666716337204,0.0,0.0,1678864062.375,0.33819444444444446,553061928.375,7340032.0,2829606912.0,53324.25,8
128,bridge_preserving,hotpotqa,-4.032996468245983,0.2500000074505806,0.0,0.0,2214423141.375,0.41874999999999996,981579974.0,14680064.0,2829630976.0,62494.625,8
192,bridge_preserving,hotpotqa,-3.516900045797229,0.2916666716337204,0.0,0.125,2593251245.625,0.6486111111111111,1321497631.625,22020096.0,2829655040.0,64981.625,8
64,budget_tuned_topk,hotpotqa,-5.308270633220673,0.1875000037252903,0.0,0.0,2594421274.25,0.16284722222222223,655140388.5,7340032.0,2830128128.0,53441.875,8
128,budget_tuned_topk,hotpotqa,-4.445960395038128,0.2083333395421505,0.0,0.0,2470060966.75,0.26875,1082533113.25,14680064.0,2829630976.0,64755.625,8
192,budget_tuned_topk,hotpotqa,-4.157277973368764,0.3541666679084301,0.0,0.125,2872669348.0,0.4638888888888889,1429467450.0,22020096.0,2829655040.0,59324.375,8
64,combined_structural,hotpotqa,-5.912143915891647,0.1666666716337204,0.0,0.0,1680901190.375,0.22569444444444442,553859980.875,7340032.0,2829606912.0,113331.0,8
128,combined_structural,hotpotqa,-5.911604195833206,0.2500000074505806,0.0,0.0,2178110644.625,0.4024305555555555,977985868.0,14680064.0,2829630976.0,104501.625,8
