budget_tokens,ci_high,ci_low,condition,dataset,mean_answer_logprob_delta,n_examples,ties,wins
64,0.8509148990424968,-0.20140996558281282,bridge_preserving,hotpotqa,0.2634769082069397,24,4,10
64,0.24168196169969933,-0.26904234974645075,combined_structural,hotpotqa,0.004870043446620305,24,3,9
128,0.6670663780687995,-0.542683523800224,bridge_preserving,hotpotqa,0.053856671787798405,24,9,12
128,0.1774210982723161,-0.8238568504496167,combined_structural,hotpotqa,-0.2340297515814503,24,0,10
192,0.9421959219034756,0.09268580532322328,bridge_preserving,hotpotqa,0.45779871102422476,24,3,12
192,0.516572555201128,-0.21899351387595137,combined_structural,hotpotqa,0.1313341228912274,24,2,10
64,1.295359349871675,-0.35265308345357577,bridge_preserving,qasper,0.4160512139399846,24,6,8
64,0.40279809559384966,-0.7524574156229694,combined_structural,qasper,-0.15573278814554214,24,6,10
128,0.783592165261507,-0.31923555495838324,bridge_preserving,qasper,0.16802882651487985,24,12,8
128,-0.04707489293068653,-1.2163882298395037,combined_structural,qasper,-0.5652799010276794,24,2,6
192,0.805904799948136,-0.01993639568487803,bridge_preserving,qasper,0.2809022677441438,24,7,13
192,0.2868705050398906,-0.009289372308800618,combined_structural,qasper,0.13403723761439323,24,0,13
