budget_tokens,ci_high,ci_low,condition,dataset,mean_answer_logprob_delta,n_examples,sampling_seed,ties,wins
64,1.5485524396722514,-0.31030047284439205,bridge_preserving,hotpotqa,0.5660089241961638,24,20260906,3,14
64,0.0830005514745911,-1.5130765971417228,combined_structural,hotpotqa,-0.6507048023243746,24,20260906,2,10
128,1.9370780929612614,0.2711537157185376,bridge_preserving,hotpotqa,0.9673197430868944,24,20260906,7,12
128,0.08036484932526936,-1.1466567172668873,combined_structural,hotpotqa,-0.48653554047147435,24,20260906,2,8
192,0.6282183858333155,-0.21412165421837318,bridge_preserving,hotpotqa,0.1640729537854592,24,20260906,5,8
192,0.21977089916666334,-0.6877146764580782,combined_structural,hotpotqa,-0.22702489513903856,24,20260906,0,9
64,0.4207105321188767,-0.3703284541765849,bridge_preserving,qasper,0.06872270504633586,24,20260906,7,13
64,0.44354754375914723,-0.7950804923971494,combined_structural,qasper,-0.13438457498947778,24,20260906,5,10
128,0.0496801683058341,-0.31473963043342035,bridge_preserving,qasper,-0.12206552177667618,24,20260906,13,6
128,0.24263947531580898,-0.8028724890202283,combined_structural,qasper,-0.25485821813344955,24,20260906,5,9
192,0.15083711855113494,-0.25045643498500186,bridge_preserving,qasper,-0.0509189118941625,24,20260906,11,6
192,0.1654044502104322,-0.510563155884544,combined_structural,qasper,-0.1751429463426272,24,20260906,3,8
64,0.8509148990424968,-0.20140996558281282,bridge_preserving,hotpotqa,0.2634769082069397,24,20260917,4,10
64,0.24168196169969933,-0.26904234974645075,combined_structural,hotpotqa,0.004870043446620305,24,20260917,3,9
128,0.6670663780687995,-0.542683523800224,bridge_preserving,hotpotqa,0.053856671787798405,24,20260917,9,12
128,0.1774210982723161,-0.8238568504496167,combined_structural,hotpotqa,-0.2340297515814503,24,20260917,0,10
192,0.9421959219034756,0.09268580532322328,bridge_preserving,hotpotqa,0.45779871102422476,24,20260917,3,12
192,0.516572555201128,-0.21899351387595137,combined_structural,hotpotqa,0.1313341228912274,24,20260917,2,10
64,1.295359349871675,-0.35265308345357577,bridge_preserving,qasper,0.4160512139399846,24,20260917,6,8
64,0.40279809559384966,-0.7524574156229694,combined_structural,qasper,-0.15573278814554214,24,20260917,6,10
128,0.783592165261507,-0.31923555495838324,bridge_preserving,qasper,0.16802882651487985,24,20260917,12,8
128,-0.04707489293068653,-1.2163882298395037,combined_structural,qasper,-0.5652799010276794,24,20260917,2,6
192,0.805904799948136,-0.01993639568487803,bridge_preserving,qasper,0.2809022677441438,24,20260917,7,13
192,0.2868705050398906,-0.009289372308800618,combined_structural,qasper,0.13403723761439323,24,20260917,0,13
64,0.7912982396471002,-1.4263581386146444,bridge_preserving,hotpotqa,-0.2411411516368389,24,20260929,4,13
64,0.6629094924777746,-1.7934918565830835,combined_structural,hotpotqa,-0.5276485237603387,24,20260929,0,10
128,0.9027781287208199,-0.7951077807073792,bridge_preserving,hotpotqa,0.041290260230501495,24,20260929,10,9
128,0.9293828168883911,-0.8344927817893525,combined_structural,hotpotqa,0.06171981866161028,24,20260929,0,14
192,0.6382286526883639,-0.5530170319213843,bridge_preserving,hotpotqa,0.04191790365924438,24,20260929,5,11
192,0.9755598907591775,-0.4612447320095574,combined_structural,hotpotqa,0.22697821414719024,24,20260929,0,10
64,0.8900370430201291,-0.2584846496582031,bridge_preserving,qasper,0.31370850404103595,24,20260929,10,11
64,0.39521917551755903,-0.4526763991763194,combined_structural,qasper,0.013171409567197164,24,20260929,8,9
128,0.1867373959471782,-0.5752375207841396,bridge_preserving,qasper,-0.15827368199825287,24,20260929,14,5
128,0.22739620326707746,-0.35077488863219813,combined_structural,qasper,-0.06177337716023127,24,20260929,4,9
192,0.42671893897155905,-0.12186092200378577,bridge_preserving,qasper,0.12984448174635568,24,20260929,10,8
192,0.303781172260642,-0.25710171150664485,combined_structural,qasper,0.031041227281093597,24,20260929,2,11
