budget_tokens,condition,dataset,mean_answer_logprob,n_evaluations
64,agreement,hotpotqa,-4.092005615329577,72
128,agreement,hotpotqa,-3.386091893642313,72
192,agreement,hotpotqa,-3.143970434760882,72
64,base_topk,hotpotqa,-3.784689631209605,72
128,base_topk,hotpotqa,-3.132302763664888,72
192,base_topk,hotpotqa,-2.763926247548726,72
64,bridge_preserving,hotpotqa,-3.5885747376208506,72
128,bridge_preserving,hotpotqa,-2.7781472052964897,72
192,bridge_preserving,hotpotqa,-2.542663058059083,72
64,budget_tuned_topk,hotpotqa,-3.784689631209605,72
128,budget_tuned_topk,hotpotqa,-3.132302763664888,72
192,budget_tuned_topk,hotpotqa,-2.763926247548726,72
64,combined_structural,hotpotqa,-4.175850725422303,72
128,combined_structural,hotpotqa,-3.3519179214619927,72
192,combined_structural,hotpotqa,-2.7201637669155994,72
64,community,hotpotqa,-3.8341921058793864,72
128,community,hotpotqa,-3.3014189707529216,72
192,community,hotpotqa,-2.8213068914289274,72
64,entropy_adaptive_sharpen,hotpotqa,-3.784689631209605,72
128,entropy_adaptive_sharpen,hotpotqa,-3.132302763664888,72
192,entropy_adaptive_sharpen,hotpotqa,-2.763926247548726,72
64,oracle_evidence,hotpotqa,-3.169137680178715,72
128,oracle_evidence,hotpotqa,-2.10947243636474,72
192,oracle_evidence,hotpotqa,-2.0998810277993067,72
64,persistence,hotpotqa,-3.9065856523811817,72
128,persistence,hotpotqa,-3.184747600617508,72
192,persistence,hotpotqa,-2.8110783561650248,72
64,power_sharpen,hotpotqa,-3.784689631209605,72
128,power_sharpen,hotpotqa,-3.132302763664888,72
192,power_sharpen,hotpotqa,-2.763926247548726,72
64,agreement,qasper,-4.725264140301281,72
128,agreement,qasper,-4.1472176694207725,72
192,agreement,qasper,-4.03500215171112,72
64,base_topk,qasper,-4.42616420570347,72
128,base_topk,qasper,-3.867620218131277,72
192,base_topk,qasper,-3.8962603956460953,72
64,bridge_preserving,qasper,-4.160003398027685,72
128,bridge_preserving,qasper,-3.905057010551294,72
192,bridge_preserving,qasper,-3.776317783113983,72
64,budget_tuned_topk,qasper,-4.42616420570347,72
128,budget_tuned_topk,qasper,-3.867620218131277,72
192,budget_tuned_topk,qasper,-3.8962603956460953,72
64,combined_structural,qasper,-4.518479523559411,72
128,combined_structural,qasper,-4.161590716905064,72
192,combined_structural,qasper,-3.899615222795142,72
64,community,qasper,-4.656764039562808,72
128,community,qasper,-4.17673950187034,72
192,community,qasper,-4.066810384392738,72
64,entropy_adaptive_sharpen,qasper,-4.42616420570347,72
128,entropy_adaptive_sharpen,qasper,-3.867620218131277,72
192,entropy_adaptive_sharpen,qasper,-3.8962603956460953,72
64,oracle_evidence,qasper,-4.106819050179587,72
128,oracle_evidence,qasper,-3.6727257697946496,72
192,oracle_evidence,qasper,-3.7681057337257595,72
64,persistence,qasper,-4.558307524356577,72
128,persistence,qasper,-4.071945365932253,72
192,persistence,qasper,-3.9333493121796184,72
64,power_sharpen,qasper,-4.42616420570347,72
128,power_sharpen,qasper,-3.867620218131277,72
192,power_sharpen,qasper,-3.8962603956460953,72
