bridge_selected,bridge_strength,budget_chunks,budget_violation,condition,evidence_recall,example_id,hop_count,lexical_overlap,materialized_tokens,path_complete,quality,qwen_equivalent_kv_bytes,seed,selector_time_ns
0.0,0.4,2,0,base_topk,0.5,bridge-11-0080,2,high,64,0.0,0.25,262144,11,70800
0.0,0.4,2,0,budget_tuned_topk,0.5,bridge-11-0080,2,high,64,0.0,0.25,262144,11,33100
0.0,0.4,2,0,power_sharpen,0.5,bridge-11-0080,2,high,64,0.0,0.25,262144,11,83100
0.0,0.4,2,0,entropy_adaptive_sharpen,0.5,bridge-11-0080,2,high,64,0.0,0.25,262144,11,133700
0.0,0.4,2,0,persistence,0.5,bridge-11-0080,2,high,64,0.0,0.25,262144,11,25300
0.0,0.4,2,0,agreement,0.5,bridge-11-0080,2,high,64,0.0,0.25,262144,11,21400
0.0,0.4,2,0,community,0.5,bridge-11-0080,2,high,64,0.0,0.25,262144,11,23700
0.0,0.4,2,0,bridge_preserving,0.5,bridge-11-0080,2,high,64,0.0,0.25,262144,11,54500
1.0,0.4,2,0,combined_structural,1.0,bridge-11-0080,2,high,64,1.0,1.0,262144,11,70800
1.0,0.4,2,0,oracle_evidence,1.0,bridge-11-0080,2,high,64,1.0,1.0,262144,11,28200
0.0,0.4,3,0,base_topk,0.5,bridge-11-0080,2,high,96,0.0,0.25,393216,11,23300
0.0,0.4,3,0,budget_tuned_topk,0.5,bridge-11-0080,2,high,96,0.0,0.25,393216,11,16700
0.0,0.4,3,0,power_sharpen,0.5,bridge-11-0080,2,high,96,0.0,0.25,393216,11,46400
0.0,0.4,3,0,entropy_adaptive_sharpen,0.5,bridge-11-0080,2,high,96,0.0,0.25,393216,11,100200
0.0,0.4,3,0,persistence,0.5,bridge-11-0080,2,high,96,0.0,0.25,393216,11,21200
0.0,0.4,3,0,agreement,0.5,bridge-11-0080,2,high,96,0.0,0.25,393216,11,19000
0.0,0.4,3,0,community,0.5,bridge-11-0080,2,high,96,0.0,0.25,393216,11,19400
0.0,0.4,3,0,bridge_preserving,0.5,bridge-11-0080,2,high,96,0.0,0.25,393216,11,42100
1.0,0.4,3,0,combined_structural,1.0,bridge-11-0080,2,high,96,1.0,1.0,393216,11,70400
1.0,0.4,3,0,oracle_evidence,1.0,bridge-11-0080,2,high,96,1.0,1.0,393216,11,32800
0.0,0.4,4,0,base_topk,0.5,bridge-11-0080,2,high,128,0.0,0.25,524288,11,20300
0.0,0.4,4,0,budget_tuned_topk,0.5,bridge-11-0080,2,high,128,0.0,0.25,524288,11,19200
0.0,0.4,4,0,power_sharpen,0.5,bridge-11-0080,2,high,128,0.0,0.25,524288,11,51200
0.0,0.4,4,0,entropy_adaptive_sharpen,0.5,bridge-11-0080,2,high,128,0.0,0.25,524288,11,110400
0.0,0.4,4,0,persistence,0.5,bridge-11-0080,2,high,128,0.0,0.25,524288,11,22200
0.0,0.4,4,0,agreement,0.5,bridge-11-0080,2,high,128,0.0,0.25,524288,11,34200
0.0,0.4,4,0,community,0.5,bridge-11-0080,2,high,128,0.0,0.25,524288,11,20100
0.0,0.4,4,0,bridge_preserving,0.5,bridge-11-0080,2,high,128,0.0,0.25,524288,11,45000
1.0,0.4,4,0,combined_structural,1.0,bridge-11-0080,2,high,128,1.0,1.0,524288,11,55200
1.0,0.4,4,0,oracle_evidence,1.0,bridge-11-0080,2,high,128,1.0,1.0,524288,11,27000
0.0,0.4,6,0,base_topk,0.5,bridge-11-0080,2,high,192,0.0,0.25,786432,11,19400
0.0,0.4,6,0,budget_tuned_topk,0.5,bridge-11-0080,2,high,192,0.0,0.25,786432,11,18300
0.0,0.4,6,0,power_sharpen,0.5,bridge-11-0080,2,high,192,0.0,0.25,786432,11,46100
0.0,0.4,6,0,entropy_adaptive_sharpen,0.5,bridge-11-0080,2,high,192,0.0,0.25,786432,11,109100
0.0,0.4,6,0,persistence,0.5,bridge-11-0080,2,high,192,0.0,0.25,786432,11,24900
0.0,0.4,6,0,agreement,0.5,bridge-11-0080,2,high,192,0.0,0.25,786432,11,22200
0.0,0.4,6,0,community,0.5,bridge-11-0080,2,high,192,0.0,0.25,786432,11,27100
1.0,0.4,6,0,bridge_preserving,1.0,bridge-11-0080,2,high,192,1.0,1.0,786432,11,46200
1.0,0.4,6,0,combined_structural,1.0,bridge-11-0080,2,high,192,1.0,1.0,786432,11,54500
1.0,0.4,6,0,oracle_evidence,1.0,bridge-11-0080,2,high,192,1.0,1.0,786432,11,28500
0.0,0.4,8,0,base_topk,0.5,bridge-11-0080,2,high,256,0.0,0.25,1048576,11,19900
0.0,0.4,8,0,budget_tuned_topk,0.5,bridge-11-0080,2,high,256,0.0,0.25,1048576,11,19900
0.0,0.4,8,0,power_sharpen,0.5,bridge-11-0080,2,high,256,0.0,0.25,1048576,11,49500
0.0,0.4,8,0,entropy_adaptive_sharpen,0.5,bridge-11-0080,2,high,256,0.0,0.25,1048576,11,173000
0.0,0.4,8,0,persistence,0.5,bridge-11-0080,2,high,256,0.0,0.25,1048576,11,24900
0.0,0.4,8,0,agreement,0.5,bridge-11-0080,2,high,256,0.0,0.25,1048576,11,36800
0.0,0.4,8,0,community,0.5,bridge-11-0080,2,high,256,0.0,0.25,1048576,11,21200
1.0,0.4,8,0,bridge_preserving,1.0,bridge-11-0080,2,high,256,1.0,1.0,1048576,11,50500
1.0,0.4,8,0,combined_structural,1.0,bridge-11-0080,2,high,256,1.0,1.0,1048576,11,57000
1.0,0.4,8,0,oracle_evidence,1.0,bridge-11-0080,2,high,256,1.0,1.0,1048576,11,31800
0.0,0.16,2,0,base_topk,0.3333333333333333,bridge-11-0081,3,low,64,0.0,0.16666666666666666,262144,11,20200
0.0,0.16,2,0,budget_tuned_topk,0.3333333333333333,bridge-11-0081,3,low,64,0.0,0.16666666666666666,262144,11,17100
0.0,0.16,2,0,power_sharpen,0.3333333333333333,bridge-11-0081,3,low,64,0.0,0.16666666666666666,262144,11,43700
0.0,0.16,2,0,entropy_adaptive_sharpen,0.3333333333333333,bridge-11-0081,3,low,64,0.0,0.16666666666666666,262144,11,103300
0.0,0.16,2,0,persistence,0.3333333333333333,bridge-11-0081,3,low,64,0.0,0.16666666666666666,262144,11,22400
0.0,0.16,2,0,agreement,0.3333333333333333,bridge-11-0081,3,low,64,0.0,0.16666666666666666,262144,11,19200
0.0,0.16,2,0,community,0.3333333333333333,bridge-11-0081,3,low,64,0.0,0.16666666666666666,262144,11,18600
1.0,0.16,2,0,bridge_preserving,0.3333333333333333,bridge-11-0081,3,low,64,0.0,0.16666666666666666,262144,11,40600
1.0,0.16,2,0,combined_structural,0.6666666666666666,bridge-11-0081,3,low,64,0.0,0.3333333333333333,262144,11,50500
0.0,0.16,2,0,oracle_evidence,0.6666666666666666,bridge-11-0081,3,low,64,0.0,0.3333333333333333,262144,11,25800
0.0,0.16,3,0,base_topk,0.3333333333333333,bridge-11-0081,3,low,96,0.0,0.16666666666666666,393216,11,17300
0.0,0.16,3,0,budget_tuned_topk,0.3333333333333333,bridge-11-0081,3,low,96,0.0,0.16666666666666666,393216,11,16300
0.0,0.16,3,0,power_sharpen,0.3333333333333333,bridge-11-0081,3,low,96,0.0,0.16666666666666666,393216,11,48500
0.0,0.16,3,0,entropy_adaptive_sharpen,0.3333333333333333,bridge-11-0081,3,low,96,0.0,0.16666666666666666,393216,11,107200
0.0,0.16,3,0,persistence,0.3333333333333333,bridge-11-0081,3,low,96,0.0,0.16666666666666666,393216,11,36200
0.0,0.16,3,0,agreement,0.3333333333333333,bridge-11-0081,3,low,96,0.0,0.16666666666666666,393216,11,24100
0.0,0.16,3,0,community,0.3333333333333333,bridge-11-0081,3,low,96,0.0,0.16666666666666666,393216,11,20100
1.0,0.16,3,0,bridge_preserving,0.6666666666666666,bridge-11-0081,3,low,96,0.0,0.3333333333333333,393216,11,65300
1.0,0.16,3,0,combined_structural,1.0,bridge-11-0081,3,low,96,1.0,1.0,393216,11,55500
1.0,0.16,3,0,oracle_evidence,1.0,bridge-11-0081,3,low,96,1.0,1.0,393216,11,27000
0.0,0.16,4,0,base_topk,0.6666666666666666,bridge-11-0081,3,low,128,0.0,0.3333333333333333,524288,11,17900
0.0,0.16,4,0,budget_tuned_topk,0.6666666666666666,bridge-11-0081,3,low,128,0.0,0.3333333333333333,524288,11,17200
0.0,0.16,4,0,power_sharpen,0.6666666666666666,bridge-11-0081,3,low,128,0.0,0.3333333333333333,524288,11,44500
0.0,0.16,4,0,entropy_adaptive_sharpen,0.6666666666666666,bridge-11-0081,3,low,128,0.0,0.3333333333333333,524288,11,100700
0.0,0.16,4,0,persistence,0.6666666666666666,bridge-11-0081,3,low,128,0.0,0.3333333333333333,524288,11,21600
0.0,0.16,4,0,agreement,0.6666666666666666,bridge-11-0081,3,low,128,0.0,0.3333333333333333,524288,11,20000
0.0,0.16,4,0,community,0.6666666666666666,bridge-11-0081,3,low,128,0.0,0.3333333333333333,524288,11,25200
1.0,0.16,4,0,bridge_preserving,0.6666666666666666,bridge-11-0081,3,low,128,0.0,0.3333333333333333,524288,11,44300
1.0,0.16,4,0,combined_structural,1.0,bridge-11-0081,3,low,128,1.0,1.0,524288,11,54300
1.0,0.16,4,0,oracle_evidence,1.0,bridge-11-0081,3,low,128,1.0,1.0,524288,11,27300
1.0,0.16,6,0,base_topk,1.0,bridge-11-0081,3,low,192,1.0,1.0,786432,11,18500
1.0,0.16,6,0,budget_tuned_topk,1.0,bridge-11-0081,3,low,192,1.0,1.0,786432,11,18000
1.0,0.16,6,0,power_sharpen,1.0,bridge-11-0081,3,low,192,1.0,1.0,786432,11,48900
1.0,0.16,6,0,entropy_adaptive_sharpen,1.0,bridge-11-0081,3,low,192,1.0,1.0,786432,11,98800
1.0,0.16,6,0,persistence,1.0,bridge-11-0081,3,low,192,1.0,1.0,786432,11,21400
1.0,0.16,6,0,agreement,1.0,bridge-11-0081,3,low,192,1.0,1.0,786432,11,20200
1.0,0.16,6,0,community,1.0,bridge-11-0081,3,low,192,1.0,1.0,786432,11,19400
1.0,0.16,6,0,bridge_preserving,1.0,bridge-11-0081,3,low,192,1.0,1.0,786432,11,42200
1.0,0.16,6,0,combined_structural,1.0,bridge-11-0081,3,low,192,1.0,1.0,786432,11,52400
1.0,0.16,6,0,oracle_evidence,1.0,bridge-11-0081,3,low,192,1.0,1.0,786432,11,34100
1.0,0.16,8,0,base_topk,1.0,bridge-11-0081,3,low,256,1.0,1.0,1048576,11,19100
1.0,0.16,8,0,budget_tuned_topk,1.0,bridge-11-0081,3,low,256,1.0,1.0,1048576,11,17900
1.0,0.16,8,0,power_sharpen,1.0,bridge-11-0081,3,low,256,1.0,1.0,1048576,11,47200
1.0,0.16,8,0,entropy_adaptive_sharpen,1.0,bridge-11-0081,3,low,256,1.0,1.0,1048576,11,113700
1.0,0.16,8,0,persistence,1.0,bridge-11-0081,3,low,256,1.0,1.0,1048576,11,23800
1.0,0.16,8,0,agreement,1.0,bridge-11-0081,3,low,256,1.0,1.0,1048576,11,22100
1.0,0.16,8,0,community,1.0,bridge-11-0081,3,low,256,1.0,1.0,1048576,11,23800
1.0,0.16,8,0,bridge_preserving,1.0,bridge-11-0081,3,low,256,1.0,1.0,1048576,11,51500
1.0,0.16,8,0,combined_structural,1.0,bridge-11-0081,3,low,256,1.0,1.0,1048576,11,56900
1.0,0.16,8,0,oracle_evidence,1.0,bridge-11-0081,3,low,256,1.0,1.0,1048576,11,29300
0.0,0.28,2,0,base_topk,0.5,bridge-11-0082,2,high,64,0.0,0.25,262144,11,20300
0.0,0.28,2,0,budget_tuned_topk,0.5,bridge-11-0082,2,high,64,0.0,0.25,262144,11,17200
0.0,0.28,2,0,power_sharpen,0.5,bridge-11-0082,2,high,64,0.0,0.25,262144,11,51500
0.0,0.28,2,0,entropy_adaptive_sharpen,0.5,bridge-11-0082,2,high,64,0.0,0.25,262144,11,101400
0.0,0.28,2,0,persistence,0.5,bridge-11-0082,2,high,64,0.0,0.25,262144,11,21300
0.0,0.28,2,0,agreement,0.5,bridge-11-0082,2,high,64,0.0,0.25,262144,11,19800
0.0,0.28,2,0,community,0.5,bridge-11-0082,2,high,64,0.0,0.25,262144,11,19000
0.0,0.28,2,0,bridge_preserving,0.5,bridge-11-0082,2,high,64,0.0,0.25,262144,11,43600
1.0,0.28,2,0,combined_structural,1.0,bridge-11-0082,2,high,64,1.0,1.0,262144,11,58400
1.0,0.28,2,0,oracle_evidence,1.0,bridge-11-0082,2,high,64,1.0,1.0,262144,11,26200
0.0,0.28,3,0,base_topk,0.5,bridge-11-0082,2,high,96,0.0,0.25,393216,11,36800
0.0,0.28,3,0,budget_tuned_topk,0.5,bridge-11-0082,2,high,96,0.0,0.25,393216,11,19300
0.0,0.28,3,0,power_sharpen,0.5,bridge-11-0082,2,high,96,0.0,0.25,393216,11,49400
0.0,0.28,3,0,entropy_adaptive_sharpen,0.5,bridge-11-0082,2,high,96,0.0,0.25,393216,11,105700
1.0,0.28,3,0,persistence,1.0,bridge-11-0082,2,high,96,1.0,1.0,393216,11,22600
0.0,0.28,3,0,agreement,0.5,bridge-11-0082,2,high,96,0.0,0.25,393216,11,19500
0.0,0.28,3,0,community,0.5,bridge-11-0082,2,high,96,0.0,0.25,393216,11,24600
0.0,0.28,3,0,bridge_preserving,0.5,bridge-11-0082,2,high,96,0.0,0.25,393216,11,47200
1.0,0.28,3,0,combined_structural,1.0,bridge-11-0082,2,high,96,1.0,1.0,393216,11,52800
1.0,0.28,3,0,oracle_evidence,1.0,bridge-11-0082,2,high,96,1.0,1.0,393216,11,26600
0.0,0.28,4,0,base_topk,0.5,bridge-11-0082,2,high,128,0.0,0.25,524288,11,17400
0.0,0.28,4,0,budget_tuned_topk,0.5,bridge-11-0082,2,high,128,0.0,0.25,524288,11,16900
0.0,0.28,4,0,power_sharpen,0.5,bridge-11-0082,2,high,128,0.0,0.25,524288,11,44000
0.0,0.28,4,0,entropy_adaptive_sharpen,0.5,bridge-11-0082,2,high,128,0.0,0.25,524288,11,102300
1.0,0.28,4,0,persistence,1.0,bridge-11-0082,2,high,128,1.0,1.0,524288,11,21200
0.0,0.28,4,0,agreement,0.5,bridge-11-0082,2,high,128,0.0,0.25,524288,11,19700
0.0,0.28,4,0,community,0.5,bridge-11-0082,2,high,128,0.0,0.25,524288,11,19400
0.0,0.28,4,0,bridge_preserving,0.5,bridge-11-0082,2,high,128,0.0,0.25,524288,11,42900
1.0,0.28,4,0,combined_structural,1.0,bridge-11-0082,2,high,128,1.0,1.0,524288,11,48800
1.0,0.28,4,0,oracle_evidence,1.0,bridge-11-0082,2,high,128,1.0,1.0,524288,11,31800
0.0,0.28,6,0,base_topk,0.5,bridge-11-0082,2,high,192,0.0,0.25,786432,11,19200
0.0,0.28,6,0,budget_tuned_topk,0.5,bridge-11-0082,2,high,192,0.0,0.25,786432,11,18500
0.0,0.28,6,0,power_sharpen,0.5,bridge-11-0082,2,high,192,0.0,0.25,786432,11,46400
0.0,0.28,6,0,entropy_adaptive_sharpen,0.5,bridge-11-0082,2,high,192,0.0,0.25,786432,11,100500
1.0,0.28,6,0,persistence,1.0,bridge-11-0082,2,high,192,1.0,1.0,786432,11,23100
1.0,0.28,6,0,agreement,1.0,bridge-11-0082,2,high,192,1.0,1.0,786432,11,21500
0.0,0.28,6,0,community,0.5,bridge-11-0082,2,high,192,0.0,0.25,786432,11,21000
1.0,0.28,6,0,bridge_preserving,1.0,bridge-11-0082,2,high,192,1.0,1.0,786432,11,50200
1.0,0.28,6,0,combined_structural,1.0,bridge-11-0082,2,high,192,1.0,1.0,786432,11,52600
1.0,0.28,6,0,oracle_evidence,1.0,bridge-11-0082,2,high,192,1.0,1.0,786432,11,27500
1.0,0.28,8,0,base_topk,1.0,bridge-11-0082,2,high,256,1.0,1.0,1048576,11,20900
1.0,0.28,8,0,budget_tuned_topk,1.0,bridge-11-0082,2,high,256,1.0,1.0,1048576,11,19600
1.0,0.28,8,0,power_sharpen,1.0,bridge-11-0082,2,high,256,1.0,1.0,1048576,11,50900
1.0,0.28,8,0,entropy_adaptive_sharpen,1.0,bridge-11-0082,2,high,256,1.0,1.0,1048576,11,105200
1.0,0.28,8,0,persistence,1.0,bridge-11-0082,2,high,256,1.0,1.0,1048576,11,26500
1.0,0.28,8,0,agreement,1.0,bridge-11-0082,2,high,256,1.0,1.0,1048576,11,22600
1.0,0.28,8,0,community,1.0,bridge-11-0082,2,high,256,1.0,1.0,1048576,11,21800
1.0,0.28,8,0,bridge_preserving,1.0,bridge-11-0082,2,high,256,1.0,1.0,1048576,11,44800
1.0,0.28,8,0,combined_structural,1.0,bridge-11-0082,2,high,256,1.0,1.0,1048576,11,60000
1.0,0.28,8,0,oracle_evidence,1.0,bridge-11-0082,2,high,256,1.0,1.0,1048576,11,31300
0.0,0.4,2,0,base_topk,0.3333333333333333,bridge-11-0083,3,high,64,0.0,0.16666666666666666,262144,11,21300
0.0,0.4,2,0,budget_tuned_topk,0.3333333333333333,bridge-11-0083,3,high,64,0.0,0.16666666666666666,262144,11,18500
0.0,0.4,2,0,power_sharpen,0.3333333333333333,bridge-11-0083,3,high,64,0.0,0.16666666666666666,262144,11,51700
0.0,0.4,2,0,entropy_adaptive_sharpen,0.3333333333333333,bridge-11-0083,3,high,64,0.0,0.16666666666666666,262144,11,152600
